"Y2009","Y2010","Y2011","Country","Element"
246676,248607,246236,"Samoa","Production"
124499,121186,119943.42,"Sao Tome and Principe","Production"
7911018,7755364,7816104,"Saudi Arabia","Production"
5191046.92,5349971.43,3842109,"Senegal","Production"
24542222,24806015,23571632,"Serbia","Production"
5056664,5798796,6022213,"Sierra Leone","Production"
9143359,7956662,9974446,"Slovakia","Production"
2225830,2213552,2317218,"Slovenia","Production"
833888,857104,850499,"Solomon Islands","Production"
988213,1133852,898099,"Somalia","Production"
50431282,48140368,47960331,"South Africa","Production"
76431271,79834813,81907864,"Spain","Production"
9148067,9780281,9300800,"Sri Lanka","Production"
21822116,18542974,20820452,"Sudan (former)","Production"
495445,506163,500858,"Suriname","Production"
5254201,5277772,5301391,"Swaziland","Production"
9255295,7783940,8730588,"Sweden","Production"
6353723,5722328,6876817,"Switzerland","Production"
14192923,13472201.1,15632291,"Syrian Arab Republic","Production"
4887307,5125124.2,5161769.4,"Tajikistan","Production"
160685057.37,156802067.61,189231708.03,"Thailand","Production"
2569229,2606374,2599039,"The former Yugoslav Republic of Macedonia","Production"
430063,405433.18,290389,"Timor-Leste","Production"
3392902,3440239,3669594,"Togo","Production"
132891,130591,132225.8,"Trinidad and Tobago","Production"
7902897,6719400,7673583.28,"Tunisia","Production"
112784489,116635558,120441501,"Turkey","Production"
5766943,5543313,4864032,"Turkmenistan","Production"
27927642,28840294,28387630,"Uganda","Production"
104240543,99556777,134448703,"Ukraine","Production"
1238584,1361746,672082,"United Arab Emirates","Production"
48756768,46155490,49331135,"United Kingdom","Production"
25702501,29542416,31344043,"United Republic of Tanzania","Production"
1035417047,897979141,865500947.3,"United States of America","Production"
6588118,6564734,7575530,"Uruguay","Production"
25680352,27032820,28029974,"Uzbekistan","Production"
339979,488865,459675,"Vanuatu","Production"
18318122.2,15126525.2,15257851.6,"Venezuela (Bolivarian Republic of)","Production"
89126266.22,91561064.22,97218595.57,"Viet Nam","Production"
5877502.93,6459659.39,6124039.34,"Yemen","Production"
7766584,9022119,9339121,"Zambia","Production"
4545549,5358275,6227216,"Zimbabwe","Production"
