"Country","max_Y2009","max_Y2010","max_Y2011","min_Y2009","min_Y2010","min_Y2011"
"Afghanistan",0.300912879239713,0.311981794399353,0.338863453439828,0.201213726951917,0.20863347720987,0.24212307020564
"Albania",0.843592150208315,0.852207926639108,0.844904052083578,0.838254156294354,0.848172679437584,0.841615301484352
"Algeria",0.545309553647624,0.616983536927491,0.644100777944724,0.498426168227953,0.566997025918477,0.594654888587739
"Angola",0.976881964592289,0.97559116857716,0.975476601951575,0.948774728230199,0.94701953763304,0.947153805446308
"Antigua and Barbuda",0.981644981412639,0.982543070590029,0.982708933717579,0.456861833952912,0.409361183107181,0.413760806916426
"Argentina",0.998632689109997,0.998780883858782,0.998688159327359,0.994482950251756,0.9953957980463,0.994793848361701
"Armenia",0.700701817550515,0.698850643569874,0.670793904962279,0.588018557699885,0.59052722497227,0.568499502861812
"Australia",1,1,1,0.998466209278197,0.998517699270771,0.998592270819168
"Austria",0.722301762866075,0.717127483416751,0.730399464244852,0.696386068921153,0.688491667085371,0.705075936366897
"Azerbaijan",0.504231046822275,0.596205525995034,0.562134714352456,0.467618756116823,0.549896529494041,0.521019602997934
"Bahamas",1,1,1,0.794431646265988,0.822699354990204,0.835608183653022
"Bangladesh",0.18977763806439,0.221166121808815,0.229265455873696,0.146156578549305,0.179503114431864,0.188412661057402
"Barbados",0.998793276294642,0.998589310265811,0.998498180970985,0.977151813798554,0.968882475939505,0.965597949784046
"Belarus",0.882301541879814,0.881216567056464,0.892432417500895,0.869883147374013,0.867580618655903,0.8825413560174
"Belgium",0.738135801434815,0.759896570500522,0.737686577778727,0.715399575975478,0.735030934756691,0.713327746329449
"Belize",0.944698541108619,0.943346694140344,0.928455637981181,0.939524754099422,0.938977716621298,0.922614320272321
"Benin",0.667805387680871,0.632692030993329,0.640322743385259,0.646635268982913,0.612561445810676,0.621436666802241
"Bermuda",1,1,1,0.443229270232651,0.416603053435115,0.426273977911258
"Bolivia (Plurinational State of)",0.89369336161501,0.871604149964348,0.873009440126165,0.884665236439443,0.861317530245962,0.86314162379763
"Bosnia and Herzegovina",0.776804553589469,0.857336567034208,0.86311700666033,0.671820933925734,0.733097981352854,0.739687435843834
"Botswana",0.807389923946947,0.810665965980358,0.79930259264537,0.13624265555165,0.0915238439915327,0.170303187788665
"Brazil",0.956889850772931,0.957926329387904,0.954823086472838,0.953182989171733,0.954077525938336,0.951003617096663
"Brunei Darussalam",0.780542986425339,0.790615091946734,0.769322235434007,0.293452222517966,0.280997674910167,0.280490912179378
"Bulgaria",0.959540886168132,0.93557274626759,0.937554746639165,0.953659979586968,0.931239690236045,0.931503525903929
"Burkina Faso",0.475384217897039,0.45233713382236,0.503656126035536,0.431219146762229,0.409405252284756,0.454345381899203
"Cabo Verde",1,1,1,0.913640008017639,0.904846803353399,0.90360825762524
"Cambodia",0.40090884938789,0.409058319531278,0.50878030839976,0.35341702517242,0.36494028486591,0.471076985762186
"Cameroon",0.833496274495307,0.814964731697395,0.81243744755898,0.784400228772275,0.776973028330294,0.774057687974928
"Canada",0.994843677357387,0.995196163437011,0.995115446656996,0.990963941774642,0.990565523371139,0.990612729508427
"Central African Republic",0.953167193993936,0.955053951394839,0.956803689502651,0.898673647295993,0.904690000905989,0.905630544038849
"Chad",0.591941170798176,0.553316441308106,0.575862459772533,0.415591565597378,0.39110563830543,0.461441288213886
"Chile",0.896781165813908,0.886152161786581,0.867837913156448,0.886336442713128,0.877325287385621,0.85873834565587
"China, Hong Kong SAR",0.931865624544881,0.930787532142943,0.928973293768546,0.555779406767319,0.553483453894403,0.552
"China, Macao SAR",1,1,1,1,1,1
"China, mainland",0.712238994693533,0.711370693696979,0.71274894158756,0.605158366130038,0.604063027538651,0.605840938897903
