"Y2009","Y2010","Y2011","Country"
0.0996991522877957,0.103348317189483,0.0967403832341883,"Afghanistan"
0.00533799391396068,0.00403524720152349,0.00328875059922666,"Albania"
0.0468833854196705,0.0499865110090146,0.0494458893569849,"Algeria"
0.0281072363620897,0.0285716309441202,0.028322796505267,"Angola"
0.524783147459727,0.573181887482848,0.568948126801153,"Antigua and Barbuda"
0.00414973885824129,0.00338508581248257,0.00389431096565808,"Argentina"
0.11268325985063,0.108323418597605,0.102294402100467,"Armenia"
0.00153379072180344,0.00148230072922933,0.00140772918083218,"Australia"
0.0259156939449215,0.0286358163313804,0.025323527877955,"Austria"
0.0366122907054516,0.0463089965009923,0.0411151113545221,"Azerbaijan"
0.205568353734012,0.177300645009796,0.164391816346978,"Bahamas"
0.0436210595150847,0.041663007376951,0.0408527948162937,"Bangladesh"
0.0216414624960881,0.0297068343263061,0.0329002311869388,"Barbados"
0.0124183945058012,0.0136359484005611,0.00989106148349495,"Belarus"
0.0227362254593368,0.0248656357438311,0.0243588314492785,"Belgium"
0.00517378700919712,0.00436897751904536,0.00584131770885979,"Belize"
0.0211701186979582,0.0201305851826529,0.0188860765830171,"Benin"
0.556770729767349,0.583396946564885,0.573726022088742,"Bermuda"
0.00902812517556734,0.0102866197183862,0.00986781632853544,"Bolivia (Plurinational State of)"
0.104983619663735,0.124238585681354,0.123429570816496,"Bosnia and Herzegovina"
0.671147268395297,0.719142121988825,0.628999404856705,"Botswana"
0.00370686160119702,0.00384880344956733,0.00381946937617453,"Brazil"
0.487090763907373,0.509617417036567,0.488831323254629,"Brunei Darussalam"
0.00588090658116435,0.00433305603154474,0.00605122073523629,"Bulgaria"
0.0441650711348102,0.0429318815376048,0.0493107441363333,"Burkina Faso"
0.0863599919823612,0.095153196646601,0.09639174237476,"Cabo Verde"
0.0474918242154702,0.0441180346653681,0.0377033226375745,"Cambodia"
0.0490960457230319,0.037991703367101,0.0383797595840515,"Cameroon"
0.00387973558274524,0.00463064006587216,0.00450271714856861,"Canada"
0.0544935466979434,0.0503639504888507,0.0511731454638029,"Central African Republic"
0.176349605200798,0.162210803002676,0.114421171558647,"Chad"
0.0104447231007805,0.00882687440096007,0.00909956750057844,"Chile"
0.376086217777562,0.37730407824854,0.376973293768546,"China, Hong Kong SAR"
0,0,0,"China, Macao SAR"
0.107080628563495,0.107307666158328,0.106908002689657,"China, mainland"
0.195344101319497,0.205649014708898,0.205931648461065,"China, Taiwan Province of"
0.0255696902517624,0.0274312197674011,0.027133749709353,"Colombia"
0.0480266820190378,0.0484576888387779,0.0489303474429992,"Congo"
0.0288512191617133,0.0270208878232137,0.0285526040993736,"Costa Rica"
0.014503021118894,0.0149506166145771,0.0147981161780228,"Côte d'Ivoire"
0.0046283232196513,0.00398698241187081,0.00536767122714237,"Croatia"
0.0485306130675668,0.0609728846073277,0.0479901150363197,"Cuba"
0.0205012174145173,0.021324999075663,0.0216442260964026,"Cyprus"
0.00326431405016919,0.00327158843776504,0.00355038208953723,"Czech Republic"
0.235528351064081,0.222556952358565,0.205994113773928,"Democratic People's Republic of Korea"
0.00217231010346083,0.00296298724964541,0.00147983110078528,"Denmark"
0.837771883289125,0.853959012575687,0.839096648858669,"Djibouti"
0.0423562708199661,0.034286760331335,0.0362207223606949,"Dominica"
0.00814393127294652,0.00889065278645985,0.00995395526572324,"Dominican Republic"
0.0133251663990998,0.015554353061808,0.0156355293014933,"Ecuador"
0.00953658133662296,0.00925887451051879,0.00919628031935489,"Egypt"
0.00480596893605471,0.00539529432178711,0.00553480318900307,"El Salvador"
0.0108662562702918,0.0125670596689969,0.0177688341680564,"Estonia"
0.305052559271235,0.290520545890365,0.284503297075382,"Ethiopia"
0.00764864683322831,0.00949545827609013,0.00749240773848873,"Fiji"
0.0130853246640774,0.0172741048410629,0.0172216472466181,"Finland"
0.00726289189543012,0.00729271331735858,0.0071055409124706,"France"
0.142862275879415,0.138593224103467,0.135921105730428,"French Polynesia"
0.0460805701649682,0.051698716993773,0.0553263689934555,"Gabon"
0.037950850989243,0.0387145735835065,0.0643353263090052,"Gambia"
0.0379553768190357,0.0653033540550051,0.0501875027155307,"Georgia"
0.00315748966607953,0.00253599923326749,0.00229560127416208,"Germany"
0.00309538667812765,0.00305710199701456,0.00305905942437535,"Ghana"
0.00648831776421773,0.00672098152966585,0.00693522521217637,"Greece"
0.216556876835772,0.227681016540695,0.238471533504813,"Grenada"
0.012355423005721,0.0116388732914768,0.0123049320410924,"Guatemala"
0.0790743521483347,0.0791236999011649,0.0748825639985073,"Guinea"
0.172285567567788,0.147212901815914,0.150350888732601,"Guinea-Bissau"
0.00712293272722344,0.00816134388278754,0.00709434706116173,"Guyana"
0.0510886182192424,0.0524529794294608,0.0570177851292343,"Haiti"
0.0117275777685479,0.0121603409326937,0.0136743942919483,"Honduras"
0.0051363041614149,0.00431180700248991,0.00443570377944866,"Hungary"
0.00243135011441648,0.00206916937629323,0.00284828683923934,"Iceland"
0.0510209416476598,0.0529832405224962,0.044359970718459,"India"
0.0177588533261809,0.0147948011275049,0.0179509402103219,"Indonesia"
0.0501733604975953,0.0557210509191614,0.0644659517732926,"Iran (Islamic Republic of)"
0.0346840350279742,0.0293904796461024,0.0296597417161635,"Iraq"
0.0171699393583455,0.0144364164196978,0.0128198821162454,"Ireland"
0.0608328954339654,0.0541312315131376,0.0612234558160085,"Israel"
0.0256519224139212,0.0248072179472002,0.0256994638543257,"Italy"
0.0302025549791189,0.0302656213964957,0.0323836733617134,"Jamaica"
