"","N
America","C
America","Caribbean","Andes","Trop. S.
America","Temp. S.
America","W
Africa","C
Africa","E
Africa","S
Africa","IOI","NW
Europe","SW
Europe","NE
Europe","SE
Europe","SE
Mediterranean","W
Asia","C
Asia","S
Asia","E
Asia","SE
Asia","Pacific","ANZ"
"N
America",44.3086232724027,5.34137626638953,5.55604364442687,16.0317957152226,18.8887181848925,79.8258509923712,0.69396021979897,7.10173858383069,2.69800972866321,19.7561099354442,2.15975192914553,107.274181524815,111.190479107954,59.8254135506749,63.0745930450853,43.4368916617104,37.9879059351012,61.9316053422497,3.86624840974836,15.361826177766,2.15456293138323,18.5914984338424,84.7908004093914
"C
America",69.9572398958506,327.962606545226,199.896575846795,170.015545765933,336.135434943106,56.3507431009705,401.710918856242,649.863945590483,292.819563257104,755.74894888057,441.046810916435,33.1754828458125,28.8055797496211,24.4023985697176,48.0963216668318,88.8638860049409,55.8184949826385,34.9605650639979,52.4312176780676,98.4174085077843,169.115282388689,339.985538849573,47.0269506592853
"Caribbean",5.03764778304463,5.6650285615131,17.1941362923141,10.6348409340756,13.6536687797075,0.11073547769926,23.6737307557601,41.6305134040837,54.9448889877962,7.25497192052486,15.2265446327586,0.232121295967051,0.426187752342953,0.648466219677361,2.32651243815906,3.78442441765306,7.27406968103297,10.6319795749149,4.35469750982066,4.34708947805015,6.46215379197238,183.995240566527,5.57889640725897
"Andes",268.696440171176,96.945671827864,116.993560941935,160.898953402551,231.845354646247,127.565956441299,37.6482522750979,104.062737205036,82.9902617307343,138.218261867506,32.8427778975624,257.031369485591,232.209083055306,376.455339519508,174.51076112042,259.211643544001,168.774754939638,338.375882489863,100.653486237914,175.155305891703,23.5873519174696,65.5114495540787,214.681925594784
"Trop. S.
America",47.4186765826661,39.7748796377221,199.318495893875,125.085894328114,236.427412926773,38.0746672710293,580.962654333785,610.909893692023,188.63737760298,506.240122602736,396.855972354606,27.987028649158,20.6142851868659,12.7977899076877,11.9498016392033,17.3261144256539,28.0194782529028,17.0257317751962,36.402058046203,89.3106004903602,134.02796276939,407.095306060836,55.8430163111363
"Temp. S.
America",1,0.0248293673669523,0.118603967450791,0.667343064988455,3.84841784877608,11.9290881394561,0.294943634486188,0.41891804649619,1.07263767454022,0.908836662896066,0.183521396308449,2.21148936483395,0.223569358517955,2.38221912899265,1.56080725569223,3.45782183803883,3.84559383888433,2.75135834683242,1.59201113846803,2.32889365499251,1.34881543061327,1.19467539351993,1.66666666666667
"W
Africa",37.0827336045866,46.2158991695653,205.987904818268,119.590029410293,190.369757279089,24.382334458997,525.273906317787,149.405761258073,135.34244436303,85.0283195787338,288.737652136819,35.0636496797836,35.9278597126918,19.8791530687829,21.765806683758,62.1080697019207,87.4518576361236,17.7420372498303,287.93292421907,217.711652094852,365.888138467695,185.39529874196,59.6402441507306
"C
Africa",37.0827336045866,45.6930904826416,157.169749312838,112.113648238227,181.120684065967,24.382334458997,222.369599071157,99.7672250275264,114.456708196751,78.1090432682518,288.737652136819,35.0359674361739,35.9082044461169,17.7444007083296,21.765806683758,62.1080697019207,85.9255514948538,17.5383011247962,267.661459820441,216.506745988956,365.800405558319,135.700510516821,59.6402441507306
"E
Africa",24.6230904581605,11.2778530419532,21.5851327575775,13.8349713305471,22.4058119627938,5.08714612740919,184.870202387111,57.4895484480358,119.48576744314,34.8542176647857,12.9013550959209,24.3146401063095,51.3133237334744,13.809640874479,26.7965205833737,37.3946125546073,32.958552228534,13.5573799875279,60.9282461960361,8.67091342046595,7.94536097254513,20.4635031790471,35.3823224465054
"S
Africa",6.9757786570857,6.98032879447377,13.4573307565033,6.5540934438252,8.28785220671488,1.5437123839231,182.707943691066,52.1071379856524,110.36110880467,30.7657419491497,3.4028918921333,0.984917557212956,5.42590819360254,2.2647098054959,5.9996931178861,19.3650126691028,23.3760692751527,10.8129513695439,55.7630964554317,5.62377420829521,4.56859923413168,7.61983082455283,9.63994428392317
