"Country","max_Y2009","max_Y2010","max_Y2011","min_Y2009","min_Y2010","min_Y2011"
"Afghanistan",0.165864098448368,0.181770005299417,0.180761099365751,0.142322097378277,0.152623211446741,0.151162790697674
"Albania",0.855890944498539,0.87327954437589,0.875761837787154,0.75267770204479,0.766967252017086,0.761368963900609
"Algeria",0.249818971759594,0.285663082437276,0.287841191066998,0.196234612599565,0.236917562724014,0.227578872740163
"Angola",0.912314326784859,0.914933837429111,0.914883720930233,0.864398658361284,0.862948960302457,0.864651162790698
"Antigua and Barbuda",0.923689449236894,0.924590163934426,0.917197452229299,0.719973457199734,0.721967213114754,0.703821656050955
"Argentina",0.906150341685649,0.905967450271248,0.904524886877828,0.848291571753986,0.84629294755877,0.849321266968326
"Armenia",0.332709405708938,0.302436693741042,0.322748815165877,0.192793635938231,0.1820353559484,0.180094786729858
"Australia",0.995940460081191,0.991387126019946,0.989559691330005,0.916553901668922,0.910698096101541,0.904221516114389
"Austria",0.712495252563616,0.69284064665127,0.714669738863287,0.580326623623244,0.580446497305619,0.599846390168971
"Azerbaijan",0.308506308506309,0.316368078175896,0.319541171650963,0.214896214896215,0.214576547231271,0.214666120442442
"Bahamas",0.913803145020384,0.918685121107266,0.922033898305085,0.605125218404193,0.611880046136101,0.599435028248588
"Bangladesh",0.207563386334336,0.212537569772435,0.21572840567254,0.18263859045982,0.188492915414341,0.189944134078212
"Barbados",0.85177087888063,0.860726643598616,0.87510766580534,0.752076956711849,0.765570934256055,0.782515073212748
"Belarus",0.759548611111111,0.782365591397849,0.787216494845361,0.628038194444444,0.658494623655914,0.652371134020619
"Belgium",0.770202987361164,0.779539448848622,0.783908045977011,0.672539256989659,0.684031710079275,0.684674329501916
"Belize",0.836898395721925,0.838170624450308,0.837511190689346,0.724598930481283,0.727352682497801,0.717994628469113
"Benin",0.523828756058158,0.520722199425523,0.516532258064516,0.485056542810985,0.489125974558884,0.483064516129032
"Bermuda",0.834384858044164,0.844615384615385,0.821635883905013,0.537854889589905,0.626666666666667,0.600527704485488
"Bolivia (Plurinational State of)",0.70911214953271,0.704585026117237,0.704936217415419,0.654205607476635,0.649448636099826,0.651691625069329
"Bosnia and Herzegovina",0.936253421978882,0.933125972006221,0.930088837388953,0.791161517403207,0.794712286158632,0.791425260718424
"Botswana",0.816533333333333,0.800208116545265,0.812853470437018,0.722133333333333,0.677419354838709,0.695115681233933
