"Country","max_Y2009","max_Y2010","max_Y2011","min_Y2009","min_Y2010","min_Y2011"
"Afghanistan",0.340136054421769,0.340599455040872,0.325102880658436,0.164625850340136,0.170299727520436,0.170096021947874
"Albania",0.902007083825266,0.913560237709346,0.917101147028154,0.572609208972846,0.580767152890329,0.583420229405631
"Algeria",0.509446254071661,0.530808729139923,0.547146401985112,0.319218241042345,0.326700898587933,0.339330024813896
"Angola",0.977160493827161,0.97524154589372,0.975074183976261,0.824074074074075,0.816425120772947,0.810089020771513
"Antigua and Barbuda",0.994787141615986,0.995491433724076,0.9983429991715,0.577758470894874,0.583408476104599,0.573322286661144
"Argentina",0.989396411092985,0.987735077677841,0.986088379705401,0.857259380097879,0.848732624693377,0.852700490998363
"Armenia",0.68223819301848,0.644923076923077,0.669313669880885,0.288501026694045,0.291076923076923,0.266591038003403
"Australia",1,1,1,0.815013404825737,0.813593539703903,0.805498281786942
"Austria",0.863139735480161,0.855477855477855,0.854293628808864,0.635422656699252,0.643356643356644,0.644875346260388
"Azerbaijan",0.528880866425993,0.531212484993998,0.541099940863395,0.285198555956679,0.28031212484994,0.280307510348906
"Bahamas",0.999294781382228,0.999349381912817,0.999340804218853,0.693229901269393,0.688353936239427,0.689518787079763
"Bangladesh",0.362089914945322,0.393480791618161,0.393691588785047,0.246658566221142,0.279394644935972,0.281542056074767
"Barbados",0.99784327821711,0.997157071783937,0.999260355029586,0.782890007189073,0.787491115849324,0.793639053254438
"Belarus",0.885633802816901,0.897222222222222,0.900725041829336,0.649577464788732,0.663888888888889,0.641940881204685
"Belgium",0.872502937720329,0.884100174723355,0.896432681242808,0.642773207990599,0.680838672102505,0.693901035673188
"Belize",0.929054054054054,0.930718954248366,0.924963924963925,0.796621621621622,0.803267973856209,0.782106782106782
"Benin",0.602941176470588,0.577348066298343,0.582830315224681,0.523109243697479,0.513121546961326,0.521797451374916
"Bermuda",0.993803253292022,0.995145631067961,0.994845360824742,0.500387296669249,0.584142394822006,0.565292096219931
"Bolivia (Plurinational State of)",0.759384023099134,0.743785850860421,0.733649289099526,0.659287776708374,0.649139579349904,0.637914691943128
"Bosnia and Herzegovina",0.947396963123644,0.949695964621338,0.94980694980695,0.591648590021692,0.59812050856827,0.600661886376172
"Botswana",0.926624737945493,0.923000987166831,0.927165354330709,0.678197064989518,0.632773938795656,0.638779527559055
"Brazil",0.886938202247191,0.891260840560374,0.892049127343245,0.784410112359551,0.788525683789193,0.788623141564318
"Brunei Darussalam",0.706099815157117,0.712217194570136,0.705939629990263,0.39833641404806,0.415384615384616,0.425511197663096
"Bulgaria",0.911165444172779,0.934136546184739,0.925455987311657,0.748166259168704,0.758232931726908,0.746233148295004
"Burkina Faso",0.665441176470588,0.670537010159652,0.672058823529412,0.206617647058823,0.211901306240929,0.223529411764706
"Cabo Verde",0.874782608695652,0.877397831526272,0.872268907563025,0.690434782608695,0.688073394495413,0.683193277310924
"Cambodia",0.386363636363636,0.380843785632839,0.399556048834628,0.235227272727272,0.234891676168757,0.246392896781354
"Cameroon",0.896551724137931,0.897297297297297,0.896672504378284,0.701754385964912,0.71051051051051,0.710449503794513
"Canada",0.966357308584687,0.964327485380117,0.96508875739645,0.72969837587007,0.728654970760234,0.720710059171598
"Central African Republic",0.943333333333333,0.939690301548492,0.941794664510914,0.835833333333333,0.837000814995925,0.840743734842361
"Chad",0.543956043956044,0.53494623655914,0.525745257452574,0.34478021978022,0.346774193548387,0.345528455284553
"Chile",0.86455798864558,0.852682145716573,0.833734939759036,0.669099756690998,0.673338670936749,0.665060240963855
"China, Hong Kong SAR",0.765597147950089,0.767317939609236,0.772141014617369,0.398395721925134,0.403197158081705,0.384350816852967
"China, Macao SAR",0.778846153846154,0.783783783783784,0.789664551223935,0.4,0.411196911196911,0.398912058023572
"China, mainland",0.823018458197611,0.823746701846966,0.820288362512873,0.345819761129207,0.344063324538259,0.342945417095777
"China, Taiwan Province of",0.740562248995984,0.747090768037238,0.749614791987673,0.369477911646586,0.373933281613654,0.36055469953775
"Colombia",0.738837405223252,0.74017094017094,0.743787489288775,0.58972198820556,0.595726495726496,0.596401028277635
"Congo",0.948867786705625,0.945414847161572,0.945787545787546,0.847333820306793,0.839155749636099,0.840293040293041
"Costa Rica",0.906338694418165,0.915391539153915,0.903993203058624,0.71996215704825,0.746174617461746,0.755310110450298
"Côte d'Ivoire",0.559952746603662,0.565011820330969,0.569835680751174,0.438865918487891,0.446808510638298,0.458920187793428
"Croatia",0.885152284263959,0.876610169491525,0.871380471380471,0.673223350253807,0.677966101694915,0.682154882154882
"Cuba",0.982768204558088,0.98536299765808,0.986332574031891,0.768204558087827,0.763466042154567,0.768223234624146
"Cyprus",0.617940199335548,0.605550883095038,0.605536332179931,0.361295681063123,0.347350714886459,0.333910034602076
"Czech Republic",0.909615384615385,0.910299003322259,0.916666666666667,0.756410256410257,0.764784053156146,0.759765625
"Democratic People's Republic of Korea",0.751239669421488,0.749172185430464,0.738421955403088,0.350413223140496,0.364238410596027,0.379073756432247
"Denmark",0.892123287671233,0.883623275344931,0.887613293051359,0.681506849315069,0.653269346130774,0.653776435045317
"Djibouti",0.957274826789838,0.961538461538462,0.958199356913183,0.785219399538106,0.795604395604396,0.793140407288317
"Dominica",0.935632183908046,0.925206410879068,0.927507447864945,0.751264367816092,0.762020398251579,0.76514399205561
"Dominican Republic",0.995008319467554,0.994909090909091,0.994444444444444,0.754575707154742,0.724363636363636,0.743055555555555
"Ecuador",0.901336073997944,0.892278360343184,0.897959183673469,0.759506680369989,0.746425166825548,0.763848396501457
"Egypt",0.656156156156156,0.630265210608424,0.628586609989373,0.482982982982983,0.457618304732189,0.4596174282678
"El Salvador",0.748598130841121,0.729862475442043,0.735265700483092,0.544859813084112,0.532416502946955,0.534299516908213
"Estonia",0.892962743938498,0.915592028135991,0.923382519863791,0.667060910703726,0.686400937866354,0.67366628830874
"Ethiopia",0.828647925033467,0.827404479578393,0.825459317585302,0.649263721552878,0.636363636363637,0.637795275590551
"Fiji",0.742900997697621,0.780674846625767,0.778366111951589,0.64313123561013,0.68021472392638,0.691376701966717
"Finland",0.887553041018388,0.891103202846975,0.891910739191074,0.700848656294201,0.711032028469751,0.704323570432357
"France",0.905414220482714,0.907590759075908,0.910340314136126,0.662752772341814,0.671287128712872,0.675392670157068
"French Polynesia",0.900974025974026,0.895167895167895,0.889443059019119,0.680194805194805,0.677313677313677,0.676641729010806
"Gabon",0.937160120845921,0.93935790725327,0.936469150885767,0.862839879154079,0.856718192627824,0.84850335980452
"Gambia",0.543526785714286,0.554956896551724,0.544956140350877,0.376116071428572,0.355603448275862,0.362938596491228
"Georgia",0.483319076133447,0.441523118766999,0.48748921484038,0.34901625320787,0.316409791477788,0.334771354616049
"Germany",0.894804361770366,0.892124420913302,0.898154042011458,0.687620269403464,0.684976836532097,0.703373647358371
"Ghana",0.74811320754717,0.744064577397911,0.751022262607905,0.699056603773585,0.695156695156695,0.702862335302135
"Greece",0.905803996194101,0.907329842931937,0.920418848167539,0.648905803996194,0.668586387434555,0.65130890052356
"Grenada",0.983962264150943,0.98193315266486,0.978995433789954,0.666981132075471,0.663053297199639,0.651141552511415
"Guatemala",0.72189349112426,0.722444889779559,0.723152709359606,0.552268244575937,0.542084168336673,0.537931034482759
"Guinea",0.73534338358459,0.744166666666667,0.741638795986622,0.516750418760469,0.525833333333334,0.526755852842809
"Guinea-Bissau",0.630337078651685,0.65364308342133,0.646288209606987,0.47191011235955,0.498416050686379,0.489082969432315
"Guyana",0.939170506912442,0.922303473491773,0.945848375451264,0.731797235023041,0.718464351005484,0.740974729241878
"Haiti",0.990343347639485,0.988752556237219,0.98568281938326,0.820815450643777,0.839468302658487,0.832599118942731
"Honduras",0.720528455284553,0.719712525667351,0.717974180734856,0.54979674796748,0.54312114989733,0.552135054617676
"Hungary",0.921276595744681,0.904453441295547,0.905660377358491,0.670212765957447,0.68744939271255,0.671698113207548
"Iceland",0.857666911225238,0.848689138576779,0.846792452830189,0.662509170946441,0.655430711610487,0.649811320754717
"India",0.598393574297189,0.586565752128666,0.61465271170314,0.383534136546185,0.369914853358562,0.393910561370124
"Indonesia",0.533151680290645,0.527573529411765,0.541924095322154,0.372388737511353,0.386029411764706,0.375110326566638
"Iran (Islamic Republic of)",0.675080558539205,0.678078409718388,0.693110647181628,0.392588614393126,0.37161789066814,0.379436325678496
"Iraq",0.580769230769231,0.593971631205674,0.568052930056711,0.349038461538462,0.37322695035461,0.338374291115312
"Ireland",0.944148936170213,0.93836344314559,0.943684210526316,0.784574468085107,0.77577045696068,0.753684210526316
"Israel",0.663663663663664,0.632040050062578,0.615041427660931,0.36936936936937,0.364205256570713,0.335245379222435
"Italy",0.907816711590297,0.90700412007063,0.905182567726737,0.662533692722372,0.658622719246616,0.651943462897526
"Jamaica",0.977963525835866,0.974703557312253,0.972814107274063,0.774316109422492,0.777865612648221,0.750183688464364
"Japan",0.766917293233083,0.766730401529637,0.773444753946147,0.452067669172933,0.453154875717018,0.458681522748375
"Jordan",0.478151260504202,0.53125,0.543778801843318,0.315126050420168,0.346875,0.344854070660522
"Kazakhstan",0.661803713527851,0.658694246929541,0.689326177698271,0.423076923076923,0.399482870071105,0.387596899224806
"Kenya",0.980072463768116,0.983170947741364,0.979591836734694,0.827898550724638,0.802480070859167,0.812615955473098
"Kiribati",0.553877831159918,0.550910316925152,0.567604667124228,0.409059711736445,0.414699932569117,0.43582704186685
"Kuwait",0.741116751269036,0.734206471494607,0.726428571428571,0.48150833937636,0.496147919876733,0.48
"Kyrgyzstan",0.62987012987013,0.631004366812227,0.636627906976744,0.414141414141414,0.404657933042212,0.410610465116279
"Lao People's Democratic Republic",0.536186770428016,0.541249036237471,0.537946428571429,0.227237354085604,0.222050886661526,0.223214285714286
"Latvia",0.913015042511445,0.890034364261168,0.901779828609097,0.671680837148463,0.657044673539519,0.673038892551088
"Lebanon",0.636990595611285,0.626506024096386,0.635773317591499,0.379310344827586,0.334939759036145,0.365407319952774
"Lesotho",0.9599609375,0.972007722007722,0.987523992322457,0.8310546875,0.852316602316602,0.878119001919386
"Liberia",0.694499017681729,0.693532338308458,0.692687747035573,0.619842829076621,0.604975124378109,0.606719367588933
"Libya",0.575625,0.583896742470805,0.597032640949555,0.38125,0.389059618930547,0.396439169139466
"Lithuania",0.912238805970149,0.919446192573946,0.935693215339233,0.700895522388059,0.73882945248584,0.706194690265487
"Luxembourg",0.945360824742268,0.940564635958395,0.945086705202312,0.716494845360825,0.679049034175334,0.690269749518304
"Madagascar",1,1,1,0.897260273972603,0.890397672162949,0.888679245283019
"Malawi",0.976407914764079,0.971233913701741,0.964176829268293,0.872907153729071,0.865253595760787,0.852134146341464
"Malaysia",0.589716684155299,0.591506572295248,0.601823708206687,0.394543546694648,0.390293225480283,0.391084093211753
"Maldives",0.678538812785388,0.690703735881842,0.705042016806723,0.42648401826484,0.439617723718506,0.441176470588236
"Mali",0.531488549618321,0.502970297029703,0.507751937984496,0.297709923664123,0.291089108910891,0.296511627906977
"Malta",0.611634349030471,0.601830663615561,0.612312811980033,0.304709141274238,0.309496567505721,0.303937881308929
"Mauritania",0.748081841432225,0.716032608695652,0.724462365591398,0.670076726342711,0.653532608695652,0.670698924731183
"Mauritius",1,1,1,0.838870431893688,0.838763575605681,0.82960413080895
"Mexico",0.718847352024922,0.710421638822593,0.716227018385292,0.563084112149533,0.536197295147175,0.533972821742606
"Mongolia",0.89440203562341,0.891608391608392,0.900890868596882,0.744274809160306,0.738927738927739,0.736080178173719
"Montenegro",0.891531874405328,0.895968143354903,0.905756495160469,0.518078020932445,0.532603285216526,0.523688232297504
"Morocco",0.507292327203551,0.52072864321608,0.525993883792049,0.299302473050095,0.337939698492462,0.334556574923547
"Mozambique",0.948653198653199,0.956345998383185,0.953883495145631,0.904040404040404,0.910266774454325,0.910194174757282
"Myanmar",0.505027932960894,0.511853448275862,0.513255567338282,0.239106145251397,0.25323275862069,0.252386002120891
"Namibia",0.921929824561403,0.923951048951049,0.928692699490662,0.859649122807017,0.854895104895105,0.855687606112054
"Nepal",0.689655172413793,0.688005886681383,0.692307692307692,0.393869731800766,0.388520971302428,0.380261248185776
"Netherlands",0.868798955613577,0.870493991989319,0.86509900990099,0.652088772845953,0.674232309746328,0.704826732673267
"New Caledonia",0.942788074133763,0.942971887550201,0.944178628389155,0.723609991941982,0.716465863453815,0.720095693779905
"New Zealand",1,1,1,0.706182281708094,0.727748691099476,0.712455516014235
"Nicaragua",0.66832298136646,0.678090575275398,0.678313253012048,0.618633540372671,0.614443084455324,0.614457831325301
"Niger",0.336809176225235,0.335751295336788,0.336745138178096,0.18769551616267,0.179274611398964,0.184237461617195
"Nigeria",0.647237401335762,0.658725431804646,0.682511737089202,0.406800242865817,0.418106015485408,0.450117370892019
"Norway",0.867381111855325,0.867937372362151,0.873333333333333,0.683858004018754,0.690265486725664,0.685333333333333
"Occupied Palestinian Territory",0.621811785400176,0.5875,0.6005291005291,0.273526824978012,0.248076923076923,0.229276895943562
"Pakistan",0.54228855721393,0.556103575832306,0.556372549019608,0.416666666666666,0.436498150431566,0.444852941176471
"Panama",0.917054986020503,0.914206642066421,0.916666666666667,0.827586206896552,0.82380073800738,0.82037037037037
"Paraguay",0.660714285714286,0.680608365019011,0.673692427790789,0.545031055900621,0.558174904942965,0.562841530054645
"Peru",0.707174231332357,0.713062098501071,0.701344656758669,0.567349926793558,0.568165596002855,0.556970983722576
"Philippines",0.514680483592401,0.540152155536771,0.52003410059676,0.246977547495683,0.266272189349113,0.256606990622335
"Poland",0.89906103286385,0.898181818181818,0.90046565774156,0.695422535211268,0.705454545454545,0.69674039580908
"Portugal",0.910762574364521,0.919137466307278,0.909821941412981,0.655489453758788,0.665768194070081,0.646754738655945
"Republic of Korea",0.772477064220183,0.769327467001886,0.778045838359469,0.324770642201834,0.344437460716531,0.333534378769602
"Republic of Moldova",0.9496,0.948840927258193,0.940298507462687,0.74,0.72581934452438,0.73605655930872
"Romania",0.93133514986376,0.935855263157895,0.936440677966102,0.707901907356948,0.711074561403509,0.708156779661017
"Russian Federation",0.892326732673267,0.886123210952085,0.885714285714286,0.711014851485148,0.705662725575607,0.710030395136778
"Rwanda",0.975889781859931,0.974785100286533,0.976744186046512,0.799081515499426,0.806303724928367,0.806579693703914
"Saint Kitts and Nevis",0.968008255933953,0.970772442588727,0.972162740899358,0.697626418988649,0.695198329853863,0.73982869379015
"Saint Lucia",0.983809523809524,0.983440662373505,0.982041587901701,0.782857142857143,0.78656853725851,0.782608695652174
"Saint Vincent and the Grenadines",0.970042796005706,0.96396928529238,0.932025227750526,0.678316690442225,0.54341405788541,0.656622284512965
"Samoa",0.55200880572372,0.556786703601108,0.553571428571429,0.386351128233351,0.399445983379501,0.41015625
