"","N
America","C
America","Caribbean","Andes","Trop. S.
America","Temp. S.
America","W
Africa","C
Africa","E
Africa","S
Africa","IOI","NW
Europe","SW
Europe","NE
Europe","SE
Europe","SE
Mediterranean","W
Asia","C
Asia","S
Asia","E
Asia","SE
Asia","Pacific","ANZ"
"North
America",41.6182366385798,7.1453088380488,9.23588759000268,25.1238148142878,29.3984380828438,225.350396648482,0.710132093346868,6.69813315154671,17.8090757919011,69.0542728139936,9.02137908819493,151.618139688599,199.424874204357,256.393297013814,134.423583697052,90.019149725672,88.1826355951397,139.667167197222,14.2117670722571,10.6663949370297,3.87425114625581,51.6846709244194,85.2380047231279
"Latin
America",396.189423005705,1129.10642457105,523.113330585363,597.455080996096,982.796537472234,209.928516256989,1079.34696673128,1215.70196419171,733.026031301748,1565.92389748261,549.863257972358,311.609857082856,221.262874153495,310.98502575586,264.479653578583,432.10898748225,346.033947561767,332.553641536802,246.878544884097,344.431519644374,424.576075064576,448.967401938423,354.826612867217
"Africa",150.675983083873,213.49334776992,640.54421790344,520.947980986376,802.481981323259,91.6122922980556,1297.31899295123,485.34793174171,497.825402839387,343.655048212729,1058.21905278875,149.03877137224,334.743169245615,82.2721301696547,146.470002328084,315.702892572224,444.080974713699,158.490459060658,1093.55897221285,884.780047372393,1362.6815271809,572.698812845847,337.071730327178
"Europe",443.209373231411,443.428222579111,387.488412364719,330.373963375197,560.496741389881,378.300040166653,97.667326680905,114.098019301665,144.694958517191,209.545354583155,100.733976326583,572.359310299339,507.862425136186,476.952289402828,231.811215443486,333.247696425397,340.812486357134,198.587653484136,266.357339775292,152.450623124558,188.39381136547,268.63687149774,663.763660995999
"W Asia and
SE Mediterranean",1149.23269909106,747.755628374882,764.225411231689,786.187031427757,1196.15453122854,1199.93811206977,361.544624324355,416.225740350098,550.142453142127,622.453164184979,220.240622501602,1470.74760423699,1355.96241491577,1603.55653275003,925.421187661364,1569.34580477277,1540.46464557471,1478.31218744771,822.428988208378,737.363297185467,354.755142220222,802.118504441952,1384.57100639289
"Central
Asia",724.160072387941,301.442759185788,341.186261445451,441.413566948082,626.829984116105,812.066829205366,172.231841682007,248.832457153303,302.860588565508,374.203562675186,110.685637457215,847.418328859963,796.072502814989,1067.92783590324,655.742308684329,1139.10307730546,1118.12130744064,1275.61201473604,479.663630823938,597.391821044014,146.223117418159,508.113342398836,691.023553266813
"South
Asia",422.486962094079,576.067396234874,1089.59863632583,778.864832892695,1292.56045069569,457.36944694799,1090.61359191764,537.456882790618,495.397878132693,505.772389765049,1183.71538506043,472.807761864932,350.867631407693,438.757750550254,223.661025797236,523.947525948345,574.754850528212,240.865353147329,1250.01727402145,912.166989924337,1563.36919787835,1229.93154585003,557.797004605617
"East
Asia",627.352950128158,247.47141570489,665.155814501666,473.335504050182,936.621825696467,217.091109010381,613.033336411729,213.187680456892,105.007005954197,282.085874766792,1075.80278683084,260.50738428758,293.298848919895,120.665014605687,105.182980254792,297.114609781626,300.111409287942,109.181598629323,947.715146398877,939.796915867642,1298.61934375078,516.635921275933,226.189139363853
"Southeast
Asia",406.856613525935,553.240016962315,1054.40326456143,755.910294651485,1267.31786634571,450.020050788479,998.759982299094,487.835249017111,391.152639100935,468.631439803893,1174.22998208815,466.044136534481,330.716540099269,436.202186983185,199.648689530869,425.548293342986,488.512986984199,237.568730100839,1169.22117406534,897.051672283121,1540.54635924174,1203.61589874517,536.995276353329
"Pacific",9.13142213419755,20.6659371222882,51.9294232551554,10.4509695586549,41.5738260203654,3.46593321526332,26.2753997371614,36.0541073764271,80.7337836337432,18.9989620138245,30.414023156058,25.879945374324,17.3407279689223,2.40401065271424,2.66343609518516,4.01798213932285,6.26077336112039,1.20717683968461,32.6399688023731,7.82142237495149,71.4019045029327,451.285186466698,19.6761820645329
