"","N
America","C
America","Caribbean","Andes","Trop. S.
America","Temp. S.
America","W
Africa","C
Africa","E
Africa","S
Africa","IOI","NW
Europe","SW
Europe","NE
Europe","SE
Europe","SE
Mediterranean","W
Asia","C
Asia","S
Asia","E
Asia","SE
Asia","Pacific","ANZ"
"North
America",0.38028353258438,0.0019397143498834,0.00932191643790583,0.0145319251133867,0.0644626262117992,0.0200496498790357,0,0,0.0594274294218784,0.0625847241817998,0.00372194962082151,0.162618148127378,0.225103739718773,0.110166644272479,0.273907305673449,0.231632235509915,0.200216477318514,0.303621446958943,0,0.0618507388352658,0.0146563290995787,0.00339338081273567,0.188456694479103
"Latin
America",10.0174556943117,30.0671700142111,12.4735358948977,10.647799255078,21.4236453522747,6.42561761456938,15.9038730530243,22.2914290958617,16.0435177189686,33.6112439233772,8.96249461828389,6.5223506666168,5.20380642927364,7.69283219751347,6.14755502564052,10.6939868827915,6.04273805063731,6.28625062428135,5.01178080742424,6.72837853793464,7.48109024221789,7.66718282911199,5.66004062407921
"Africa",3.47485871364448,3.77665187321344,13.3172814925939,9.20957107511634,14.0018280204371,2.16354730646965,28.965497008616,9.89693617504144,15.2161989236046,7.16357884728224,23.8591550652739,2.75599743974344,4.11536458743386,2.06247160942962,2.28354482698256,7.25439278892471,7.84290570773863,1.3542817470295,23.8927617182023,15.5906529085903,24.8596790098048,12.1312759943876,4.1836170573859
"Europe",1.17984545969894,0.288457988012634,0.355084579755737,1.13918586578389,1.3805867191117,0.401217584060218,0.0588820611389583,0.192033549263855,1.04298318817883,0.226222756519884,0.527234436996221,1.53967533724437,1.2296555613564,1.51147370518984,0.452143227086917,0.529738564797627,0.504726031022053,0.268089436189253,1.21287028835559,0.324144205700638,0.20230956850578,1.59725756081149,1.25160318263655
"W Asia and
SE Mediterranean",21.7986562981782,8.59384816047137,11.7139825456016,13.9688438219468,18.4408788052564,21.2643035783598,10.4824438140308,9.49092370043237,15.3560672455561,12.6060965529758,4.07837934761083,26.4885177936375,26.0897233331831,33.0269530427338,21.3899775475335,39.1452598321386,36.4787664525076,37.5510308496686,19.5072629526111,18.3346807876884,4.96177085711484,16.5696507423282,21.5584780551415
"Central
Asia",20.4702791289039,7.32553521115085,9.12169127787715,11.5285315817434,15.8615223328577,20.8303609276846,4.71625009506853,6.59483773699085,8.85183409137184,10.3456421271229,3.03180700720426,24.4515584756656,23.8316909890993,29.7878756223192,19.6077960402176,34.4697805335353,32.3437283464611,37.1355830537533,13.9872347980343,17.7103252867007,3.83178915652335,13.3911202626818,19.5918833012639
"South
Asia",2.71898114739787,3.87009110147872,13.9041857444661,9.46459151011428,14.9168422397611,3.43880909923161,22.9952874944055,8.90151596534787,9.64409906110184,6.95644138685925,23.6538648487361,1.71866003866144,2.54952641278388,1.24008441686565,1.88041744820206,7.46280597381243,7.89618028849067,1.51328083829869,22.5871177687428,15.5496354043926,25.7372384971387,16.5340217627729,3.29530871222334
"East
Asia",2.4717800866013,2.7928556110726,11.2600911462827,7.4786642513918,13.9121700106071,3.12362790649187,13.7446383015454,3.46514763706846,2.75781621039664,4.56055120735938,22.3770509998236,2.0072042891606,2.06236010907459,1.36192043085284,1.2432605432153,4.41984885498344,4.94773481421706,1.67291404435283,17.7873617985839,19.2315461661899,25.0410871031899,8.31321859084586,2.73353906842364
"Southeast
Asia",1.72907531576982,2.45758949348935,11.6247197805599,7.94692070241203,13.4201643860942,2.96747530901385,17.2875582102963,6.1954036251772,4.10973283262862,4.81537943805385,23.1012798363357,1.42415961945006,1.40989604305154,1.20422183909684,0.764448618882678,3.43319139138815,4.37297667772822,1.41600199482905,18.2759795599286,15.0588451288567,24.7697052282097,14.8640907342316,2.45591892952056
"Pacific",0.00329012580650393,0.0545541143615603,0.497569589495895,0.148603154723598,0.519254777199304,0.00553677388496299,0.327380190584492,0.598695871153832,0.861746528476437,0.163968610603385,0.351907672420012,0.042812882323388,0.00943119949799652,0,0.00165918387072368,0.00312348373973169,0.0435038561288779,0,0.243662920443046,0.0109630525933456,0.40938739225573,5.57343088740196,0.1
