"Country","Region_crops","Element","Y2009","Y2010","Y2011","Region"
"Afghanistan","Africa","Fat supply quantity (g/capita/day)",7.2,7.5,6.8,"West Asia"
"Afghanistan","Africa","Food supply (kcal/capita/day)",246,250,255,"West Asia"
"Afghanistan","Africa","Food supply quantity (g/capita/day)",58,58,61,"West Asia"
"Afghanistan","Africa","Protein supply quantity (g/capita/day)",5.2,4.9,5.4,"West Asia"
"Afghanistan","East Asia","Protein supply quantity (g/capita/day)",3.2,3.7,4.2,"West Asia"
"Afghanistan","Southeast Asia","Fat supply quantity (g/capita/day)",0.3,0.3,0.3,"West Asia"
"Afghanistan","North America","Fat supply quantity (g/capita/day)",0.9,1.6,1.6,"West Asia"
"Afghanistan","North America","Food supply (kcal/capita/day)",21,30,34,"West Asia"
"Afghanistan","North America","Food supply quantity (g/capita/day)",22,26,32,"West Asia"
"Afghanistan","North America","Protein supply quantity (g/capita/day)",0.1,0.2,0.2,"West Asia"
"Afghanistan","Europe","Food supply quantity (g/capita/day)",30,29,28,"West Asia"
"Afghanistan","Europe","Protein supply quantity (g/capita/day)",0,0,0,"West Asia"
"Afghanistan","Central Asia","Protein supply quantity (g/capita/day)",38.3,37.9,38,"West Asia"
"Afghanistan","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",509,507,515,"West Asia"
"Afghanistan","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",40.6,39.9,40.3,"West Asia"
"Afghanistan","Latin America","Food supply (kcal/capita/day)",90,91,81,"West Asia"
"Afghanistan","Latin America","Food supply quantity (g/capita/day)",38,36,34,"West Asia"
"Afghanistan","Latin America","Protein supply quantity (g/capita/day)",1,1.1,1.4,"West Asia"
"Afghanistan","East Asia","Food supply quantity (g/capita/day)",76,91,100,"West Asia"
"Afghanistan","Southeast Asia","Food supply (kcal/capita/day)",243,250,257,"West Asia"
"Afghanistan","Southeast Asia","Food supply quantity (g/capita/day)",71,72,78,"West Asia"
"Afghanistan","Southeast Asia","Protein supply quantity (g/capita/day)",3.1,3.4,3.9,"West Asia"
"Afghanistan","Europe","Food supply (kcal/capita/day)",92,90,87,"West Asia"
"Afghanistan","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",6.9,6.7,6.6,"West Asia"
"Afghanistan","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",1559,1544,1550,"West Asia"
"Afghanistan","South Asia","Fat supply quantity (g/capita/day)",1.5,1.5,1.6,"West Asia"
"Afghanistan","South Asia","Food supply (kcal/capita/day)",281,285,297,"West Asia"
"Afghanistan","South Asia","Food supply quantity (g/capita/day)",81,81,89,"West Asia"
"Afghanistan","South Asia","Protein supply quantity (g/capita/day)",5.3,5.2,6,"West Asia"
"Afghanistan","East Asia","Food supply (kcal/capita/day)",181,201,213,"West Asia"
"Afghanistan","East Asia","Fat supply quantity (g/capita/day)",1,1.9,1.9,"West Asia"
"Afghanistan","Central Asia","Food supply (kcal/capita/day)",1421,1408,1408,"West Asia"
"Afghanistan","Pacific","Fat supply quantity (g/capita/day)",0,0,0,"West Asia"
"Afghanistan","Pacific","Food supply (kcal/capita/day)",0,0,0,"West Asia"
"Afghanistan","Pacific","Food supply quantity (g/capita/day)",0,0,0,"West Asia"
"Afghanistan","Central Asia","Food supply quantity (g/capita/day)",460,456,455,"West Asia"
"Afghanistan","Latin America","Fat supply quantity (g/capita/day)",6,6.2,5.5,"West Asia"
"Afghanistan","Central Asia","Fat supply quantity (g/capita/day)",4.9,5.2,4.9,"West Asia"
"Afghanistan","Europe","Fat supply quantity (g/capita/day)",0.7,0.2,0.3,"West Asia"
"Afghanistan","Pacific","Protein supply quantity (g/capita/day)",0,0,0,"West Asia"
"Albania","Africa","Protein supply quantity (g/capita/day)",2.6,2.5,2.4,"SE Europe"
"Albania","Europe","Protein supply quantity (g/capita/day)",0.9,0.8,0.8,"SE Europe"
"Albania","Africa","Food supply quantity (g/capita/day)",91,84,78,"SE Europe"
"Albania","North America","Protein supply quantity (g/capita/day)",0.9,1,1.1,"SE Europe"
"Albania","Europe","Food supply quantity (g/capita/day)",166,160,159,"SE Europe"
"Albania","Latin America","Food supply quantity (g/capita/day)",253,289,291,"SE Europe"
"Albania","East Asia","Protein supply quantity (g/capita/day)",2.6,2.7,2.7,"SE Europe"
"Albania","East Asia","Food supply quantity (g/capita/day)",248,286,293,"SE Europe"
"Albania","Europe","Food supply (kcal/capita/day)",296,267,265,"SE Europe"
"Albania","Central Asia","Food supply (kcal/capita/day)",1070,1139,1169,"SE Europe"
"Albania","Central Asia","Protein supply quantity (g/capita/day)",33,34.8,35.7,"SE Europe"
"Albania","North America","Food supply quantity (g/capita/day)",153,169,178,"SE Europe"
"Albania","Africa","Food supply (kcal/capita/day)",152,146,134,"SE Europe"
"Albania","Latin America","Food supply (kcal/capita/day)",173,191,190,"SE Europe"
"Albania","South Asia","Protein supply quantity (g/capita/day)",1.7,1.7,1.7,"SE Europe"
"Albania","Pacific","Food supply quantity (g/capita/day)",0,0,0,"SE Europe"
"Albania","East Asia","Fat supply quantity (g/capita/day)",0.9,1,1,"SE Europe"
"Albania","Pacific","Protein supply quantity (g/capita/day)",0,0,0,"SE Europe"
"Albania","Latin America","Protein supply quantity (g/capita/day)",6.1,6.5,6.7,"SE Europe"
"Albania","North America","Food supply (kcal/capita/day)",214,197,185,"SE Europe"
"Albania","Southeast Asia","Protein supply quantity (g/capita/day)",1.4,1.4,1.3,"SE Europe"
"Albania","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",34.8,36.6,37.7,"SE Europe"
"Albania","Central Asia","Food supply quantity (g/capita/day)",521,573,615,"SE Europe"
"Albania","East Asia","Food supply (kcal/capita/day)",195,217,215,"SE Europe"
"Albania","Africa","Fat supply quantity (g/capita/day)",8.5,7.8,7.4,"SE Europe"
"Albania","South Asia","Food supply quantity (g/capita/day)",101,96,93,"SE Europe"
"Albania","Central Asia","Fat supply quantity (g/capita/day)",6.2,6.3,6.5,"SE Europe"
"Albania","Latin America","Fat supply quantity (g/capita/day)",2.1,2.5,2.4,"SE Europe"
"Albania","Southeast Asia","Food supply (kcal/capita/day)",264,242,233,"SE Europe"
"Albania","Southeast Asia","Food supply quantity (g/capita/day)",88,84,81,"SE Europe"
"Albania","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",1430,1472,1509,"SE Europe"
"Albania","North America","Fat supply quantity (g/capita/day)",14.3,11,8.9,"SE Europe"
"Albania","South Asia","Food supply (kcal/capita/day)",281,259,252,"SE Europe"
"Albania","Southeast Asia","Fat supply quantity (g/capita/day)",0.1,0.2,0.1,"SE Europe"
"Albania","Pacific","Fat supply quantity (g/capita/day)",0,0,0,"SE Europe"
"Albania","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",739,786,835,"SE Europe"
"Albania","South Asia","Fat supply quantity (g/capita/day)",0.1,0.2,0.1,"SE Europe"
"Albania","Europe","Fat supply quantity (g/capita/day)",8.7,7.9,7.5,"SE Europe"
"Albania","Pacific","Food supply (kcal/capita/day)",0,0,0,"SE Europe"
"Albania","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",14.9,14.2,14.1,"SE Europe"
"Algeria","North America","Protein supply quantity (g/capita/day)",0.2,0.2,0.2,"SE Mediterranean"
"Algeria","Latin America","Food supply quantity (g/capita/day)",284,302,295,"SE Mediterranean"
"Algeria","East Asia","Protein supply quantity (g/capita/day)",1,1.1,1.1,"SE Mediterranean"
"Algeria","Africa","Protein supply quantity (g/capita/day)",4,4.3,4.8,"SE Mediterranean"
"Algeria","Europe","Protein supply quantity (g/capita/day)",0.5,0.4,0.4,"SE Mediterranean"
"Algeria","South Asia","Protein supply quantity (g/capita/day)",3.9,4.4,5,"SE Mediterranean"
"Algeria","North America","Food supply quantity (g/capita/day)",38,43,31,"SE Mediterranean"
"Algeria","Europe","Food supply quantity (g/capita/day)",125,126,122,"SE Mediterranean"
"Algeria","Africa","Food supply quantity (g/capita/day)",39,36,43,"SE Mediterranean"
"Algeria","Central Asia","Food supply (kcal/capita/day)",1595,1530,1570,"SE Mediterranean"
"Algeria","Latin America","Protein supply quantity (g/capita/day)",7.3,8.6,8.3,"SE Mediterranean"
"Algeria","East Asia","Food supply quantity (g/capita/day)",147,159,168,"SE Mediterranean"
"Algeria","Europe","Food supply (kcal/capita/day)",365,340,317,"SE Mediterranean"
"Algeria","Latin America","Food supply (kcal/capita/day)",310,347,323,"SE Mediterranean"
"Algeria","North America","Food supply (kcal/capita/day)",48,72,66,"SE Mediterranean"
"Algeria","Africa","Food supply (kcal/capita/day)",129,125,135,"SE Mediterranean"
"Algeria","Pacific","Protein supply quantity (g/capita/day)",0,0,0,"SE Mediterranean"
"Algeria","East Asia","Food supply (kcal/capita/day)",211,279,268,"SE Mediterranean"
"Algeria","Southeast Asia","Protein supply quantity (g/capita/day)",0.6,0.6,0.7,"SE Mediterranean"
"Algeria","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",51.3,49.7,51.3,"SE Mediterranean"
"Algeria","Central Asia","Protein supply quantity (g/capita/day)",47.5,45.5,46.6,"SE Mediterranean"
"Algeria","North America","Fat supply quantity (g/capita/day)",3.2,5.7,5.8,"SE Mediterranean"
"Algeria","Africa","Fat supply quantity (g/capita/day)",7.3,5.3,6.6,"SE Mediterranean"
"Algeria","East Asia","Fat supply quantity (g/capita/day)",16.1,22.5,21.9,"SE Mediterranean"
"Algeria","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",2072,1993,2009,"SE Mediterranean"
"Algeria","Latin America","Fat supply quantity (g/capita/day)",6.6,6,5.9,"SE Mediterranean"
"Algeria","Southeast Asia","Food supply (kcal/capita/day)",318,317,278,"SE Mediterranean"
"Algeria","Southeast Asia","Food supply quantity (g/capita/day)",104,98,96,"SE Mediterranean"
"Algeria","Central Asia","Food supply quantity (g/capita/day)",665,646,671,"SE Mediterranean"
"Algeria","Pacific","Food supply quantity (g/capita/day)",1,1,0,"SE Mediterranean"
"Algeria","South Asia","Food supply (kcal/capita/day)",437,451,422,"SE Mediterranean"
"Algeria","South Asia","Food supply quantity (g/capita/day)",162,162,166,"SE Mediterranean"
"Algeria","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",13,10.4,12.1,"SE Mediterranean"
"Algeria","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",823,801,809,"SE Mediterranean"
"Algeria","South Asia","Fat supply quantity (g/capita/day)",0.8,1,0.8,"SE Mediterranean"
"Algeria","Southeast Asia","Fat supply quantity (g/capita/day)",0.2,0.4,0.1,"SE Mediterranean"
"Algeria","Pacific","Fat supply quantity (g/capita/day)",0.2,0.3,0.1,"SE Mediterranean"
"Algeria","Central Asia","Fat supply quantity (g/capita/day)",5.8,5.6,5.8,"SE Mediterranean"
"Algeria","Europe","Fat supply quantity (g/capita/day)",6.7,4.3,5.7,"SE Mediterranean"
"Algeria","Pacific","Food supply (kcal/capita/day)",2,3,1,"SE Mediterranean"
"Angola","East Asia","Protein supply quantity (g/capita/day)",1.7,1.7,1.7,"Central Africa"
"Angola","East Asia","Protein supply quantity (g/capita/day)",1.7,1.7,1.7,"Southern Africa"
"Angola","East Asia","Food supply quantity (g/capita/day)",47,48,51,"Central Africa"
"Angola","East Asia","Food supply quantity (g/capita/day)",47,48,51,"Southern Africa"
"Angola","Africa","Protein supply quantity (g/capita/day)",1.9,2.2,2.2,"Central Africa"
"Angola","Africa","Protein supply quantity (g/capita/day)",1.9,2.2,2.2,"Southern Africa"
"Angola","Latin America","Food supply quantity (g/capita/day)",929,932,934,"Central Africa"
"Angola","Latin America","Food supply quantity (g/capita/day)",929,932,934,"Southern Africa"
"Angola","South Asia","Protein supply quantity (g/capita/day)",3.1,3.2,3,"Central Africa"
"Angola","South Asia","Protein supply quantity (g/capita/day)",3.1,3.2,3,"Southern Africa"
"Angola","Latin America","Protein supply quantity (g/capita/day)",23.1,23.3,23.3,"Central Africa"
"Angola","Latin America","Protein supply quantity (g/capita/day)",23.1,23.3,23.3,"Southern Africa"
"Angola","Europe","Food supply quantity (g/capita/day)",37,37,39,"Central Africa"
"Angola","Europe","Food supply quantity (g/capita/day)",37,37,39,"Southern Africa"
"Angola","Europe","Protein supply quantity (g/capita/day)",0,0,0,"Central Africa"
"Angola","Europe","Protein supply quantity (g/capita/day)",0,0,0,"Southern Africa"
"Angola","Central Asia","Food supply (kcal/capita/day)",295,303,330,"Central Africa"
"Angola","Central Asia","Food supply (kcal/capita/day)",295,303,330,"Southern Africa"
"Angola","Central Asia","Food supply quantity (g/capita/day)",215,224,245,"Central Africa"
"Angola","Central Asia","Food supply quantity (g/capita/day)",215,224,245,"Southern Africa"
"Angola","Europe","Food supply (kcal/capita/day)",124,123,126,"Central Africa"
"Angola","Europe","Food supply (kcal/capita/day)",124,123,126,"Southern Africa"
"Angola","Africa","Food supply quantity (g/capita/day)",37,41,42,"Central Africa"
"Angola","Africa","Food supply quantity (g/capita/day)",37,41,42,"Southern Africa"
"Angola","North America","Protein supply quantity (g/capita/day)",0,0,0,"Central Africa"
"Angola","North America","Protein supply quantity (g/capita/day)",0,0,0,"Southern Africa"
"Angola","Africa","Food supply (kcal/capita/day)",183,180,183,"Central Africa"
"Angola","Africa","Food supply (kcal/capita/day)",183,180,183,"Southern Africa"
"Angola","Pacific","Protein supply quantity (g/capita/day)",0,0,0,"Central Africa"
"Angola","Pacific","Protein supply quantity (g/capita/day)",0,0,0,"Southern Africa"
"Angola","East Asia","Food supply (kcal/capita/day)",177,180,190,"Central Africa"
"Angola","East Asia","Food supply (kcal/capita/day)",177,180,190,"Southern Africa"
"Angola","Latin America","Fat supply quantity (g/capita/day)",19.8,19.6,19.7,"Central Africa"
"Angola","Latin America","Fat supply quantity (g/capita/day)",19.8,19.6,19.7,"Southern Africa"
"Angola","Southeast Asia","Protein supply quantity (g/capita/day)",3,3.1,2.9,"Central Africa"
"Angola","Southeast Asia","Protein supply quantity (g/capita/day)",3,3.1,2.9,"Southern Africa"
"Angola","Latin America","Food supply (kcal/capita/day)",1298,1306,1308,"Central Africa"
"Angola","Latin America","Food supply (kcal/capita/day)",1298,1306,1308,"Southern Africa"
"Angola","Central Asia","Fat supply quantity (g/capita/day)",1,0.9,1,"Central Africa"
"Angola","Central Asia","Fat supply quantity (g/capita/day)",1,0.9,1,"Southern Africa"
"Angola","North America","Food supply quantity (g/capita/day)",13,14,14,"Central Africa"
"Angola","North America","Food supply quantity (g/capita/day)",13,14,14,"Southern Africa"
"Angola","Africa","Fat supply quantity (g/capita/day)",10.6,10.3,10.1,"Central Africa"
"Angola","Africa","Fat supply quantity (g/capita/day)",10.6,10.3,10.1,"Southern Africa"
"Angola","East Asia","Fat supply quantity (g/capita/day)",9.3,9.4,10,"Central Africa"
"Angola","East Asia","Fat supply quantity (g/capita/day)",9.3,9.4,10,"Southern Africa"
"Angola","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",429,435,465,"Central Africa"
"Angola","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",429,435,465,"Southern Africa"
"Angola","Central Asia","Protein supply quantity (g/capita/day)",8,8.1,8.9,"Central Africa"
"Angola","Central Asia","Protein supply quantity (g/capita/day)",8,8.1,8.9,"Southern Africa"
"Angola","South Asia","Food supply (kcal/capita/day)",297,296,296,"Central Africa"
"Angola","South Asia","Food supply (kcal/capita/day)",297,296,296,"Southern Africa"
"Angola","Southeast Asia","Food supply (kcal/capita/day)",295,294,294,"Central Africa"
"Angola","Southeast Asia","Food supply (kcal/capita/day)",295,294,294,"Southern Africa"
"Angola","Southeast Asia","Food supply quantity (g/capita/day)",204,207,197,"Central Africa"
"Angola","Southeast Asia","Food supply quantity (g/capita/day)",204,207,197,"Southern Africa"
"Angola","North America","Food supply (kcal/capita/day)",13,14,14,"Central Africa"
"Angola","North America","Food supply (kcal/capita/day)",13,14,14,"Southern Africa"
"Angola","North America","Fat supply quantity (g/capita/day)",0.6,0.6,0.6,"Central Africa"
"Angola","North America","Fat supply quantity (g/capita/day)",0.6,0.6,0.6,"Southern Africa"
"Angola","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",8.1,8.2,9,"Central Africa"
"Angola","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",8.1,8.2,9,"Southern Africa"
"Angola","Europe","Fat supply quantity (g/capita/day)",0.4,0.3,0.5,"Central Africa"
"Angola","Europe","Fat supply quantity (g/capita/day)",0.4,0.3,0.5,"Southern Africa"
"Angola","Pacific","Food supply quantity (g/capita/day)",1,0,0,"Central Africa"
"Angola","Pacific","Food supply quantity (g/capita/day)",1,0,0,"Southern Africa"
"Angola","South Asia","Fat supply quantity (g/capita/day)",0.6,0.6,0.6,"Central Africa"
"Angola","South Asia","Fat supply quantity (g/capita/day)",0.6,0.6,0.6,"Southern Africa"
"Angola","South Asia","Food supply quantity (g/capita/day)",204,207,197,"Central Africa"
"Angola","South Asia","Food supply quantity (g/capita/day)",204,207,197,"Southern Africa"
"Angola","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",1.5,1.4,1.7,"Central Africa"
"Angola","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",1.5,1.4,1.7,"Southern Africa"
"Angola","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",262,272,293,"Central Africa"
"Angola","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",262,272,293,"Southern Africa"
"Angola","Southeast Asia","Fat supply quantity (g/capita/day)",0.5,0.4,0.4,"Central Africa"
"Angola","Southeast Asia","Fat supply quantity (g/capita/day)",0.5,0.4,0.4,"Southern Africa"
"Angola","Pacific","Fat supply quantity (g/capita/day)",0.1,0,0,"Central Africa"
"Angola","Pacific","Fat supply quantity (g/capita/day)",0.1,0,0,"Southern Africa"
"Angola","Pacific","Food supply (kcal/capita/day)",1,0,0,"Central Africa"
"Angola","Pacific","Food supply (kcal/capita/day)",1,0,0,"Southern Africa"
"Antigua and Barbuda","Africa","Food supply quantity (g/capita/day)",37,40,48,"Caribbean"
"Antigua and Barbuda","Southeast Asia","Protein supply quantity (g/capita/day)",3.1,3.1,3.1,"Caribbean"
"Antigua and Barbuda","South Asia","Protein supply quantity (g/capita/day)",3.8,3.6,3.9,"Caribbean"
"Antigua and Barbuda","East Asia","Food supply (kcal/capita/day)",254,253,263,"Caribbean"
"Antigua and Barbuda","Africa","Food supply (kcal/capita/day)",144,148,157,"Caribbean"
"Antigua and Barbuda","Southeast Asia","Food supply (kcal/capita/day)",431,425,404,"Caribbean"
"Antigua and Barbuda","Pacific","Protein supply quantity (g/capita/day)",0.2,0.2,0,"Caribbean"
"Antigua and Barbuda","Central Asia","Food supply (kcal/capita/day)",497,524,523,"Caribbean"
"Antigua and Barbuda","North America","Food supply (kcal/capita/day)",13,13,23,"Caribbean"
"Antigua and Barbuda","Africa","Fat supply quantity (g/capita/day)",1.4,1.6,2,"Caribbean"
"Antigua and Barbuda","Latin America","Food supply (kcal/capita/day)",115,115,130,"Caribbean"
"Antigua and Barbuda","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",801,823,835,"Caribbean"
"Antigua and Barbuda","Africa","Protein supply quantity (g/capita/day)",3.4,3.5,3.9,"Caribbean"
"Antigua and Barbuda","East Asia","Protein supply quantity (g/capita/day)",3,3,3.3,"Caribbean"
"Antigua and Barbuda","North America","Fat supply quantity (g/capita/day)",0,0,0,"Caribbean"
"Antigua and Barbuda","Southeast Asia","Fat supply quantity (g/capita/day)",1.4,1.4,0.6,"Caribbean"
"Antigua and Barbuda","Southeast Asia","Food supply quantity (g/capita/day)",148,143,135,"Caribbean"
"Antigua and Barbuda","North America","Food supply quantity (g/capita/day)",21,18,30,"Caribbean"
"Antigua and Barbuda","North America","Protein supply quantity (g/capita/day)",0.1,0,0,"Caribbean"
"Antigua and Barbuda","Europe","Food supply quantity (g/capita/day)",98,89,109,"Caribbean"
"Antigua and Barbuda","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",14.1,14.4,14.8,"Caribbean"
"Antigua and Barbuda","Europe","Protein supply quantity (g/capita/day)",1,1,1.1,"Caribbean"
"Antigua and Barbuda","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",328,331,345,"Caribbean"
"Antigua and Barbuda","Latin America","Fat supply quantity (g/capita/day)",2.4,2.5,4,"Caribbean"
"Antigua and Barbuda","East Asia","Fat supply quantity (g/capita/day)",11.6,11.5,11.5,"Caribbean"
"Antigua and Barbuda","Latin America","Food supply quantity (g/capita/day)",126,113,132,"Caribbean"
"Antigua and Barbuda","Latin America","Protein supply quantity (g/capita/day)",3.1,2.9,3.6,"Caribbean"
"Antigua and Barbuda","East Asia","Food supply quantity (g/capita/day)",202,193,222,"Caribbean"
"Antigua and Barbuda","Europe","Food supply (kcal/capita/day)",308,302,310,"Caribbean"
"Antigua and Barbuda","Pacific","Fat supply quantity (g/capita/day)",0.8,0.8,0.1,"Caribbean"
"Antigua and Barbuda","Pacific","Food supply (kcal/capita/day)",14,14,3,"Caribbean"
"Antigua and Barbuda","Europe","Fat supply quantity (g/capita/day)",1,1.2,1.6,"Caribbean"
"Antigua and Barbuda","South Asia","Food supply (kcal/capita/day)",441,431,415,"Caribbean"
"Antigua and Barbuda","Central Asia","Fat supply quantity (g/capita/day)",3.7,4,4,"Caribbean"
"Antigua and Barbuda","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",4.4,4.9,5.3,"Caribbean"
"Antigua and Barbuda","South Asia","Fat supply quantity (g/capita/day)",1.4,1.4,0.6,"Caribbean"
"Antigua and Barbuda","Central Asia","Food supply quantity (g/capita/day)",238,240,258,"Caribbean"
"Antigua and Barbuda","South Asia","Food supply quantity (g/capita/day)",158,151,140,"Caribbean"
"Antigua and Barbuda","Pacific","Food supply quantity (g/capita/day)",11,10,2,"Caribbean"
"Antigua and Barbuda","Central Asia","Protein supply quantity (g/capita/day)",13.2,13.7,13.8,"Caribbean"
"Argentina","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",3.1,2.9,2.8,"Temp. S. America"
"Argentina","South Asia","Fat supply quantity (g/capita/day)",0.7,0.7,0.6,"Temp. S. America"
"Argentina","Africa","Food supply (kcal/capita/day)",92,101,93,"Temp. S. America"
"Argentina","East Asia","Fat supply quantity (g/capita/day)",7.8,7.8,7.9,"Temp. S. America"
"Argentina","Africa","Food supply quantity (g/capita/day)",25,27,25,"Temp. S. America"
"Argentina","Africa","Fat supply quantity (g/capita/day)",1.2,1.3,1.1,"Temp. S. America"
"Argentina","North America","Fat supply quantity (g/capita/day)",30.1,29.9,31.3,"Temp. S. America"
"Argentina","East Asia","Protein supply quantity (g/capita/day)",3.4,3.7,3.7,"Temp. S. America"
"Argentina","Africa","Protein supply quantity (g/capita/day)",2.1,2.2,2.1,"Temp. S. America"
"Argentina","Latin America","Fat supply quantity (g/capita/day)",2.3,2.7,2.5,"Temp. S. America"
"Argentina","Central Asia","Fat supply quantity (g/capita/day)",2.6,2.6,2.6,"Temp. S. America"
"Argentina","Central Asia","Food supply (kcal/capita/day)",943,951,945,"Temp. S. America"
"Argentina","Central Asia","Food supply quantity (g/capita/day)",462,470,468,"Temp. S. America"
"Argentina","Central Asia","Protein supply quantity (g/capita/day)",24.2,24.3,24,"Temp. S. America"
"Argentina","Europe","Protein supply quantity (g/capita/day)",0.3,0.3,0.3,"Temp. S. America"
"Argentina","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",1384,1386,1383,"Temp. S. America"
"Argentina","Latin America","Protein supply quantity (g/capita/day)",6.5,6.4,6.8,"Temp. S. America"
"Argentina","Pacific","Fat supply quantity (g/capita/day)",0.4,0.5,0.3,"Temp. S. America"
"Argentina","North America","Food supply quantity (g/capita/day)",103,98,99,"Temp. S. America"
"Argentina","Southeast Asia","Fat supply quantity (g/capita/day)",0.6,0.7,0.5,"Temp. S. America"
"Argentina","Southeast Asia","Food supply (kcal/capita/day)",509,518,518,"Temp. S. America"
"Argentina","North America","Food supply (kcal/capita/day)",315,310,323,"Temp. S. America"
"Argentina","Europe","Fat supply quantity (g/capita/day)",0.8,0.6,0.4,"Temp. S. America"
"Argentina","North America","Protein supply quantity (g/capita/day)",0,0,0,"Temp. S. America"
"Argentina","Europe","Food supply quantity (g/capita/day)",146,154,155,"Temp. S. America"
"Argentina","Pacific","Protein supply quantity (g/capita/day)",0,0,0,"Temp. S. America"
"Argentina","East Asia","Food supply quantity (g/capita/day)",252,242,235,"Temp. S. America"
"Argentina","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",616,612,611,"Temp. S. America"
"Argentina","Latin America","Food supply quantity (g/capita/day)",213,212,225,"Temp. S. America"
"Argentina","Latin America","Food supply (kcal/capita/day)",206,208,211,"Temp. S. America"
"Argentina","Southeast Asia","Food supply quantity (g/capita/day)",192,193,197,"Temp. S. America"
"Argentina","Southeast Asia","Protein supply quantity (g/capita/day)",3.2,3.5,3.6,"Temp. S. America"
"Argentina","Europe","Food supply (kcal/capita/day)",423,428,431,"Temp. S. America"
"Argentina","Pacific","Food supply quantity (g/capita/day)",1,1,1,"Temp. S. America"
"Argentina","East Asia","Food supply (kcal/capita/day)",236,241,238,"Temp. S. America"
"Argentina","South Asia","Protein supply quantity (g/capita/day)",3.6,3.9,3.9,"Temp. S. America"
"Argentina","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",24.4,24.5,24.2,"Temp. S. America"
