"","N
America","C
America","Caribbean","Andes","Trop. S.
America","Temp. S.
America","W
Africa","C
Africa","E
Africa","S
Africa","IOI","NW
Europe","SW
Europe","NE
Europe","SE
Europe","SE
Mediterranean","W
Asia","C
Asia","S
Asia","E
Asia","SE
Asia","Pacific","ANZ"
"North
America",1.62998174658124,0.570951831008901,0.717125254515974,1.76987826982864,2.14197178260081,21.0393591854504,0.0295148144943962,0.268037770332522,1.88101945099097,6.77112160971886,0.864904070859482,9.69482039198139,15.3319966849274,26.3513675507037,11.4957860793803,7.64372556693365,7.76020002911784,12.7524628802957,1.49947397429746,0.407142666508237,0.376536874010383,4.85370124334591,3.69981305900075
"Latin
America",15.8298546977914,21.7866506724502,12.1439041149372,20.100556903833,28.1248667126948,2.57855636800671,37.2023892196669,28.3612528474834,13.4665652304227,25.433374835607,3.99188950239086,11.7556881710606,7.62432906892322,4.88604809692807,8.52169455627818,11.7313855993026,20.2866997071851,13.8792957452897,11.6585268561292,13.3224971388959,17.0267886683299,7.00366215121509,22.3432493278018
"Africa",5.52813859991785,10.2471990815983,9.38159484270128,17.2018618568859,23.8788711492429,1.09362355363179,25.6533279083573,16.1634134393218,13.1072252049074,10.7769346271092,4.88914044582337,8.95524292740058,26.853623206311,2.75663539243053,10.7201847575853,12.1270371867605,21.1428449630027,11.145354306416,12.1634950865975,11.5217018970106,15.3753754351532,4.67538972304757,23.6449195157731
"Europe",11.4746017307109,3.57748995396497,0.29745441382946,1.29427297368289,1.30786901374579,1.24332827601069,0.0531961736837392,0.231404632007763,0.232805340969247,0.278157520055257,0.240068054314149,17.6612578389965,26.965323684971,5.94019870709586,5.9880462373626,6.15226196970118,5.07346639011213,0.886407785879448,4.96824695939494,6.1160281386233,0.15736484536334,1.20033053485929,25.8703514126436
"W Asia and
SE Mediterranean",14.1506215450695,5.0634193513119,1.92483339126075,2.95030832798383,3.47834701992853,3.40917868355198,1.84106685970518,2.54722891189586,4.15588154367889,2.11159526294426,0.845828817684975,20.7493401863029,30.1528372654997,9.62308763255109,9.33530227272044,12.5885029726609,12.1482013801626,6.72675203651172,8.35473866837174,9.72789509450907,1.46495303869232,4.87508762531675,28.696184063199
"Central
Asia",2.99062256488471,1.0871100244199,1.31354776341606,1.54610923860954,1.94458625996069,2.36896574416581,0.713225961881523,0.847171737897234,1.15512983490878,1.3057072206092,0.487452268189962,3.33200943996855,3.23205928153361,3.66681671431335,2.70394363423172,5.06308531268174,5.58562857502842,5.62375913090278,2.21896766884468,2.94190125509893,0.419019915963751,3.4514273252218,2.53465801479319
"South
Asia",1.28540295013616,2.74845471170426,5.52586876396885,1.47386251393308,4.95579046767852,0.609639279831144,5.5200308063646,2.51477958972938,3.82531099098696,2.52889463700417,5.69029004578992,3.19432380475793,2.31173502246798,0.528928565832095,1.08649801093908,2.17942333273388,2.49669683390515,0.575761378133336,8.23502522749218,4.82005044195228,11.5318915930976,28.8724989390876,2.96232922722812
"East
Asia",54.1119533834427,12.7166139199792,20.0319072789224,12.8255053723854,36.4824005141498,7.78677655938419,4.41480523270956,4.46281594863629,1.2224795566043,10.026009065589,8.50050425218838,11.516238025529,14.0225361472427,3.06441865974523,2.65653133477355,10.9284370996675,6.78810409324474,1.22878638786808,8.25493041756655,11.9679262345214,8.35776000747319,6.89234737530036,4.42021581729758
"Southeast
Asia",1.11971017284364,2.11182142642782,5.14387770300259,1.22623810825989,4.61298103965956,0.511499074645453,4.44517826776072,1.04612704773852,1.03201623408745,1.98011934617926,5.56821595653826,2.97738890677441,2.06788525707515,0.440516196855768,0.36787273528508,0.770227589280784,0.971255220452404,0.310948405128742,7.00878253046193,3.8997792469396,10.6277728601681,28.6170340138353,2.39500414891354
"Pacific",0.909858085230395,1.84059454149506,3.63652163770235,0.556081445967936,3.3201326284537,0.341056547641369,0.880719291630722,0.280870904013984,0.258781312765489,1.43713176858735,1.83736477130995,2.86936358082292,1.94325880124649,0.251188768056857,0.286135784786771,0.376610416495342,0.408720556012483,0.168300260697193,3.10158042815527,0.615375586266464,6.55883615711307,27.4159112638842,2.10584070448956
