"Country","max_Y2009","max_Y2010","max_Y2011","min_Y2009","min_Y2010","min_Y2011"
"Afghanistan",0.117391304347826,0.134490238611714,0.138888888888889,0.0869565217391305,0.0932754880694144,0.102564102564103
"Albania",0.981210855949896,0.984282907662082,0.984761904761905,0.881002087682673,0.874263261296661,0.870476190476191
"Algeria",0.207221350078493,0.22992125984252,0.228527607361963,0.149136577708006,0.166929133858268,0.16717791411043
"Angola",0.950684931506849,0.943548387096774,0.94488188976378,0.89041095890411,0.884408602150538,0.879265091863517
"Antigua and Barbuda",0.995934959349594,0.995934959349594,1,0.853658536585366,0.857723577235773,0.83955223880597
"Argentina",0.963068181818182,0.957746478873239,0.951704545454545,0.920454545454546,0.909859154929577,0.909090909090909
"Armenia",0.312633832976445,0.287305122494432,0.311688311688312,0.156316916488222,0.149220489977728,0.138528138528139
"Australia",1,1,1,0.879888268156425,0.871060171919771,0.864553314121037
"Austria",0.981042654028436,0.978048780487805,0.97624703087886,0.864928909952607,0.868292682926829,0.864608076009501
"Azerbaijan",0.19078947368421,0.191666666666667,0.196308724832215,0.131578947368421,0.125,0.12751677852349
"Bahamas",1,1,1,0.722627737226277,0.727611940298507,0.712686567164179
"Bangladesh",0.257019438444924,0.252723311546841,0.247216035634744,0.226781857451404,0.222222222222222,0.21380846325167
"Barbados",0.997282608695652,0.994884910485934,0.997474747474748,0.845108695652174,0.846547314578006,0.845959595959596
"Belarus",0.940874035989717,0.942643391521197,0.944309927360775,0.796915167095115,0.815461346633416,0.803874092009685
"Belgium",0.997474747474748,0.997690531177829,1,0.866161616161617,0.891454965357968,0.882775119617225
"Belize",0.771561771561772,0.780542986425339,0.780885780885781,0.701631701631702,0.701357466063348,0.696969696969697
"Benin",0.588803088803089,0.570564516129032,0.55,0.542471042471042,0.536290322580645,0.514583333333333
"Bermuda",0.962406015037594,0.971631205673759,0.970037453183521,0.676691729323308,0.74468085106383,0.756554307116105
"Bolivia (Plurinational State of)",0.852173913043478,0.817919075144509,0.794943820224719,0.776811594202899,0.748554913294798,0.727528089887641
"Bosnia and Herzegovina",0.98993288590604,0.991496598639456,0.99151103565365,0.860738255033557,0.863945578231293,0.865874363327674
"Botswana",0.820253164556962,0.805699481865285,0.814910025706941,0.741772151898734,0.702072538860104,0.709511568123393
"Brazil",0.95933014354067,0.958041958041958,0.956521739130435,0.923444976076555,0.923076923076923,0.917620137299771
"Brunei Darussalam",0.6426735218509,0.635658914728682,0.637755102040816,0.501285347043702,0.496124031007752,0.507653061224489
"Bulgaria",0.992822966507177,0.99546485260771,0.99554565701559,0.949760765550239,0.938775510204082,0.942093541202673
"Burkina Faso",0.42330383480826,0.436310395314788,0.437781109445277,0.361356932153392,0.376281112737921,0.379310344827586
"Cabo Verde",0.722772277227723,0.723039215686274,0.705463182897862,0.650990099009901,0.649509803921569,0.6270783847981
"Cambodia",0.292517006802721,0.300668151447661,0.31359649122807,0.256235827664399,0.265033407572383,0.271929824561404
"Cameroon",0.713493530499076,0.714545454545455,0.711191335740072,0.632162661737523,0.636363636363636,0.63898916967509
"Canada",0.995604395604396,0.995726495726496,0.995575221238938,0.883516483516484,0.888888888888889,0.878318584070796
"Central African Republic",0.758513931888545,0.736363636363636,0.730886850152905,0.637770897832817,0.618181818181818,0.614678899082569
"Chad",0.535433070866142,0.533980582524272,0.523255813953488,0.374015748031496,0.378640776699029,0.374031007751938
"Chile",0.899509803921569,0.902843601895735,0.889150943396226,0.833333333333333,0.836492890995261,0.827830188679245
"China, Hong Kong SAR",0.674285714285714,0.679886685552408,0.675141242937853,0.388571428571428,0.396600566572238,0.398305084745763
"China, Macao SAR",0.672185430463576,0.683168316831683,0.683385579937304,0.503311258278146,0.518151815181518,0.501567398119122
"China, mainland",0.663701067615658,0.666092943201377,0.666666666666667,0.459074733096085,0.461273666092943,0.458762886597938
"China, Taiwan Province of",0.547884187082405,0.54646017699115,0.549668874172185,0.389755011135857,0.391592920353982,0.388520971302428
"Colombia",0.814569536423841,0.824915824915825,0.827586206896552,0.771523178807947,0.781144781144781,0.782758620689655
"Congo",0.873239436619718,0.86986301369863,0.870307167235495,0.721830985915493,0.705479452054794,0.713310580204778
"Costa Rica",0.737569060773481,0.741847826086957,0.745358090185676,0.69060773480663,0.698369565217391,0.70026525198939
"Côte d'Ivoire",0.5,0.511682242990654,0.520833333333333,0.424882629107981,0.439252336448598,0.439814814814815
"Croatia",0.98936170212766,0.989071038251366,0.989010989010989,0.86968085106383,0.890710382513661,0.898351648351648
"Cuba",0.990925589836661,0.991820040899795,0.992606284658041,0.936479128856624,0.932515337423313,0.942698706099815
"Cyprus",0.401898734177215,0.406153846153846,0.397476340694006,0.253164556962025,0.252307692307692,0.236593059936908
"Czech Republic",0.989333333333333,0.989189189189189,0.992125984251969,0.909333333333333,0.918918918918919,0.918635170603675
"Democratic People's Republic of Korea",0.653846153846154,0.649350649350649,0.650214592274678,0.527777777777778,0.528138528138528,0.542918454935622
"Denmark",0.937185929648241,0.937799043062201,0.934010152284264,0.821608040201005,0.825358851674641,0.807106598984772
"Djibouti",0.863157894736842,0.854330708661417,0.852713178294574,0.812631578947368,0.807086614173228,0.802325581395349
"Dominica",0.947368421052632,0.936,0.93979057591623,0.851674641148325,0.853333333333333,0.850785340314136
"Dominican Republic",0.996309963099631,0.996688741721854,0.996875,0.918819188191882,0.910596026490066,0.91875
"Ecuador",0.922131147540984,0.909803921568627,0.9140625,0.868852459016393,0.850980392156863,0.859375
"Egypt",0.480769230769231,0.460858585858586,0.479487179487179,0.430769230769231,0.414141414141414,0.430769230769231
"El Salvador",0.40174672489083,0.393805309734513,0.397379912663755,0.351528384279476,0.349557522123894,0.349344978165939
"Estonia",0.983213429256595,0.986332574031891,0.982300884955752,0.899280575539568,0.904328018223235,0.893805309734513
"Ethiopia",0.667296786389414,0.659735349716446,0.654411764705882,0.517958412098299,0.504725897920605,0.5
"Fiji",0.890214797136038,0.914549653579677,0.909722222222222,0.847255369928401,0.854503464203233,0.856481481481482
"Finland",0.966426858513189,0.965116279069767,0.962529274004684,0.875299760191847,0.874418604651163,0.873536299765808
