"Y2009","Y2010","Y2011","Country","Element"
26.7,26.6,28.4,"Kuwait","Protein supply quantity (g/capita/day)"
31.7,32.8,32.7,"Kyrgyzstan","Protein supply quantity (g/capita/day)"
33.9,34.2,34.4,"Lao People's Democratic Republic","Protein supply quantity (g/capita/day)"
2,1.2,1.3,"Latvia","Protein supply quantity (g/capita/day)"
31.2,33.5,33.4,"Lebanon","Protein supply quantity (g/capita/day)"
6.3,5.3,3.7,"Lesotho","Protein supply quantity (g/capita/day)"
20,19.5,19.6,"Liberia","Protein supply quantity (g/capita/day)"
39.4,38.4,38.9,"Libya","Protein supply quantity (g/capita/day)"
4,3.2,3.8,"Lithuania","Protein supply quantity (g/capita/day)"
0.7,1.4,1.1,"Luxembourg","Protein supply quantity (g/capita/day)"
24.2,24.4,24.2,"Madagascar","Protein supply quantity (g/capita/day)"
6.3,7.7,8.9,"Malawi","Protein supply quantity (g/capita/day)"
14.1,14.2,14.2,"Malaysia","Protein supply quantity (g/capita/day)"
12.9,13.2,13.1,"Maldives","Protein supply quantity (g/capita/day)"
40,40.8,41.1,"Mali","Protein supply quantity (g/capita/day)"
32.9,32.3,33.4,"Malta","Protein supply quantity (g/capita/day)"
18.3,18.9,17.7,"Mauritania","Protein supply quantity (g/capita/day)"
17.5,17.6,15.5,"Mauritius","Protein supply quantity (g/capita/day)"
32.4,32.7,31,"Mexico","Protein supply quantity (g/capita/day)"
1.2,1.7,1.3,"Mongolia","Protein supply quantity (g/capita/day)"
1.5,1.6,1.5,"Montenegro","Protein supply quantity (g/capita/day)"
54.7,55,55.5,"Morocco","Protein supply quantity (g/capita/day)"
12.2,10.6,11.5,"Mozambique","Protein supply quantity (g/capita/day)"
27.8,28.6,28.8,"Myanmar","Protein supply quantity (g/capita/day)"
11.7,10.9,11,"Namibia","Protein supply quantity (g/capita/day)"
23.2,22.8,24.2,"Nepal","Protein supply quantity (g/capita/day)"
1.1,1,1.1,"Netherlands","Protein supply quantity (g/capita/day)"
0.7,0.8,0.8,"New Caledonia","Protein supply quantity (g/capita/day)"
0.1,0.1,0.1,"New Zealand","Protein supply quantity (g/capita/day)"
29.6,29.4,30.4,"Nicaragua","Protein supply quantity (g/capita/day)"
54.2,55.8,56.3,"Niger","Protein supply quantity (g/capita/day)"
30.8,30.6,27.8,"Nigeria","Protein supply quantity (g/capita/day)"
3,4.3,3.3,"Norway","Protein supply quantity (g/capita/day)"
24.9,27.8,29.3,"Occupied Palestinian Territory","Protein supply quantity (g/capita/day)"
27.5,27.3,27.3,"Pakistan","Protein supply quantity (g/capita/day)"
6.5,6.4,6.6,"Panama","Protein supply quantity (g/capita/day)"
25.6,27,27.8,"Paraguay","Protein supply quantity (g/capita/day)"
13.3,13.4,13.8,"Peru","Protein supply quantity (g/capita/day)"
