Country,Data type,Region,Region_nice,Region_code,Region_macronew,Region_macro1,Region_macro1_nice,Region_macro2,Region_macro2_nice,Region_macro3,Region_macro3_nice
Afghanistan,Food supplies (2009-2011 mean) ,Asia_West,West Asia,WAS,W Asia and SE Mediterranean,Asia_West,West Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Albania,Food supplies (2009-2011 mean) ,Europe_Eastern_south,SE Europe,EEU-S,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Algeria,Food supplies (2009-2011 mean) ,Mediterranean_SouthandEast,SE Mediterranean,SEM,W Asia and SE Mediterranean,Mediterranean_SouthandEast,South and East Mediterranean,Africa,Africa,Developing_country,Developing countries
Angola,Food supplies (2009-2011 mean) ,Africa_Central,Central Africa,CAF,Africa,Africa_Central,Central Africa,Africa,Africa,Developing_country,Developing countries
Angola,Food supplies (2009-2011 mean) ,Africa_Southern,Southern Africa,SAF,Africa,Africa_Southern,Southern Africa,Africa,Africa,Developing_country,Developing countries
Antigua and Barbuda,Food supplies (2009-2011 mean) ,America_Caribbean,Caribbean,CAR,Latin America,America_Caribbean,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Argentina,Food supplies (2009-2011 mean) ,America_South_temperate,Temp. S. America,SAM-Tem,Latin America,America_South,South America,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Armenia,Food supplies (2009-2011 mean) ,Asia_Central,Central Asia,CAS,Central Asia,Asia_Central,Central Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Armenia,Food supplies (2009-2011 mean) ,Europe_Eastern_south,SE Europe,EEU-S,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developing_country,Developing countries
Australia,Food supplies (2009-2011 mean) ,Pacific_Region_ausnz,Australia New Zealand,PAC-ANZ,Pacific,Pacific_Region,Pacific,Australia and New Zealand,Asia and the Pacific,Developed_country,Developed countries
Austria,Food supplies (2009-2011 mean) ,Europe_Western_north,NW Europe,WEU-N,Europe,Europe_Western,Western Europe,Europe,Europe,Developed_country,Developed countries
Azerbaijan,Food supplies (2009-2011 mean) ,Asia_Central,Central Asia,CAS,Central Asia,Asia_Central,Central Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Bahamas,Food supplies (2009-2011 mean) ,America_Caribbean,Caribbean,CAR,Latin America,America_Caribbean,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Bangladesh,Food supplies (2009-2011 mean) ,Asia_South,South Asia,SAS,South Asia,Asia_South,South Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Barbados,Food supplies (2009-2011 mean) ,America_Caribbean,Caribbean,CAR,Latin America,America_Caribbean,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Belarus,Food supplies (2009-2011 mean) ,Europe_Eastern_north,NE Europe,EEU-N,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Belgium,Food supplies (2009-2011 mean) ,Europe_Western_north,NW Europe,WEU-N,Europe,Europe_Western,Western Europe,Europe,Europe,Developed_country,Developed countries
Belize,Food supplies (2009-2011 mean) ,America_Central_and_Mexico,Central America,CAM,Latin America,America_Central_and_Mexico,Central America and Mexico,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Benin,Food supplies (2009-2011 mean) ,Africa_West,West Africa,WAF,Africa,Africa_West,West Africa,Africa,Africa,Developing_country,Developing countries
Bermuda,Food supplies (2009-2011 mean) ,America_Caribbean,Caribbean,CAR,Latin America,America_Caribbean,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Bolivia (Plurinational State of),Food supplies (2009-2011 mean) ,America_South_andean,Andes,SAM-A,Latin America,America_South,South America,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Bolivia (Plurinational State of),Food supplies (2009-2011 mean) ,America_South_tropical,Trop. S. America,SAM-Tro,Latin America,America_South,South America,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Bosnia and Herzegovina,Food supplies (2009-2011 mean) ,Europe_Eastern_south,SE Europe,EEU-S,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Botswana,Food supplies (2009-2011 mean) ,Africa_Southern,Southern Africa,SAF,Africa,Africa_Southern,Southern Africa,Africa,Africa,Developing_country,Developing countries
Brazil,Food supplies (2009-2011 mean) ,America_South_tropical,Trop. S. America,SAM-Tro,Latin America,America_South,South America,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Brunei Darussalam,Food supplies (2009-2011 mean) ,Asia_Southeast,Southeast Asia,SEA,Southeast Asia,Asia_Southeast,Southeast Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Bulgaria,Food supplies (2009-2011 mean) ,Europe_Eastern_south,SE Europe,EEU-S,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Burkina Faso,Food supplies (2009-2011 mean) ,Africa_West,West Africa,WAF,Africa,Africa_West,West Africa,Africa,Africa,Developing_country,Developing countries
