Item,food_group,Region,Region_macronew,Notes
Sorghum,Cereals,Africa_West,Africa,Per Flores-Palacios (1998)
Yams,Starchy roots,Africa_West,Africa,Per Flores-Palacios (1998)
Cottonseed oil,Oilcrops,America_Caribbean,Latin America,"Added for G. hirsutum, potentially native to Caribbean (GRIN, 2014)"
Pimento,Spices,America_Caribbean,Latin America,"as determined from contributing species (Pimenta) (see Table 1, Khoury et al., 2014) Regions per Flores-Palacios (1998); GRIN (2014)"
"Roots, other",Starchy roots,America_Caribbean,Latin America,"as determined from contributing species (Xanthosoma) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Beans,Pulses,America_Central_and_Mexico,Latin America,"as determined from contributing species (Phaseolus) (see Table 1, Khoury et al., 2014) Regions per Flores-Palacios (1998); GRIN (2014)"
Cassava,Starchy roots,America_Central_and_Mexico,Latin America,As per Flores-Palacios (1998). L. Augusto Bercera Lopez (pers. comm. 2015) convinced most genetic diversity is from Mesoamerica
Cocoa beans,Stimulants,America_Central_and_Mexico,Latin America,As per GRIN (2014)
Cottonseed oil,Oilcrops,America_Central_and_Mexico,Latin America,Per Flores-Palacios (1998)
Maize,Cereals,America_Central_and_Mexico,Latin America,Per Flores-Palacios (1998)
Palm oil,Oilcrops,America_Central_and_Mexico,Latin America,"Including E. oleifera, as hybrids between American and African species contributed significantly to importance of crop (GRIN, 2014)"
Pimento,Spices,America_Central_and_Mexico,Latin America,"as determined from contributing species (Capsicum, Pimenta) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
"Roots, other",Starchy roots,America_Central_and_Mexico,Latin America,"as determined from contributing species (Xanthosoma) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Sweet potatoes,Starchy roots,America_Central_and_Mexico,Latin America,Per Flores-Palacios (1998)
Grapes,Alcoholic beverages,America_North,North America,"Important genes/rootstock from this region (GRIN, 2014)"
Sunflower,Oilcrops,America_North,North America,Per Flores-Palacios (1998)
Beans,Pulses,America_South_andean,Latin America,"as determined from contributing species (Phaseolus) (see Table 1, Khoury et al., 2014) Regions per Flores-Palacios (1998); GRIN (2014)"
Potatoes,Starchy roots,America_South_andean,Latin America,"Per Flores-Palacios (1998), with region further refined"
Tomatoes,Vegetables,America_South_andean,Latin America,"Per Flores-Palacios (1998), with region further refined"
Tea,Stimulants,America_South_temperate,Latin America,"as determined from contributing species (Ilex) (see Table 1, Khoury et al., 2014) (Mate native to Paraguay, Uruguay, Brazil, Argentina) (GRIN, 2014) "
Cassava,Starchy roots,America_South_tropical,Latin America,"Per Flores-Palacios (1998), with region further refined"
Cocoa beans,Stimulants,America_South_tropical,Latin America,"Per Flores-Palacios (1998), with region further refined"
Cottonseed oil,Oilcrops,America_South_tropical,Latin America,"Added for G. barbadense, native to tropical Ecuador, Peru (GRIN, 2014)"
Groundnut,Oilcrops,America_South_tropical,Latin America,"Per Flores-Palacios (1998), with region further refined"
Palm oil,Oilcrops,America_South_tropical,Latin America,"Including E. oleifera, as hybrids between American and African species contributed significantly to importance of crop (GRIN, 2014)"
Pimento,Spices,America_South_tropical,Latin America,"as determined from contributing species (Capsicum, Pimenta) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Pineapples,Fruits,America_South_tropical,Latin America,"Per Flores-Palacios (1998), with region further refined"
