"Region_crops","Region","Element","Average"
"Africa_Central","Africa_Central","Fat supply quantity (g/capita/day)",13.6594577518731
"Africa_Central","Africa_Central","Food supply (kcal/capita/day)",376.881011379003
"Africa_Central","Africa_Central","Food supply quantity (g/capita/day)",91.5148439666603
"Africa_Central","Africa_Central","Protein supply quantity (g/capita/day)",8.27729976810314
"Africa_Central","Africa_East","Fat supply quantity (g/capita/day)",10.009033277324
"Africa_Central","Africa_East","Food supply (kcal/capita/day)",402.4745747613
"Africa_Central","Africa_East","Food supply quantity (g/capita/day)",114.455205870775
"Africa_Central","Africa_East","Protein supply quantity (g/capita/day)",12.5118409159881
"Africa_Central","Africa_Indian_Ocean_Islands","Fat supply quantity (g/capita/day)",4.64163231195981
"Africa_Central","Africa_Indian_Ocean_Islands","Food supply (kcal/capita/day)",1048.89175149506
"Africa_Central","Africa_Indian_Ocean_Islands","Food supply quantity (g/capita/day)",288.732254851036
"Africa_Central","Africa_Indian_Ocean_Islands","Protein supply quantity (g/capita/day)",23.3368733937773
"Africa_Central","Africa_Southern","Fat supply quantity (g/capita/day)",8.90035952334976
"Africa_Central","Africa_Southern","Food supply (kcal/capita/day)",280.694839739934
"Africa_Central","Africa_Southern","Food supply quantity (g/capita/day)",73.9328456586278
"Africa_Central","Africa_Southern","Protein supply quantity (g/capita/day)",6.11355104378106
"Africa_Central","Africa_West","Fat supply quantity (g/capita/day)",21.105697684601
"Africa_Central","Africa_West","Food supply (kcal/capita/day)",831.458858197982
"Africa_Central","Africa_West","Food supply quantity (g/capita/day)",222.370442356067
"Africa_Central","Africa_West","Protein supply quantity (g/capita/day)",19.6974200913659
"Africa_Central","America_Caribbean","Fat supply quantity (g/capita/day)",8.85160971726113
"Africa_Central","America_Caribbean","Food supply (kcal/capita/day)",586.254762902286
"Africa_Central","America_Caribbean","Food supply quantity (g/capita/day)",157.14386144725
"Africa_Central","America_Caribbean","Protein supply quantity (g/capita/day)",12.1665831199747
"Africa_Central","America_Central_and_Mexico","Fat supply quantity (g/capita/day)",8.67462740887318
"Africa_Central","America_Central_and_Mexico","Food supply (kcal/capita/day)",197.086794198695
"Africa_Central","America_Central_and_Mexico","Food supply quantity (g/capita/day)",45.6941058056978
"Africa_Central","America_Central_and_Mexico","Protein supply quantity (g/capita/day)",3.51244325371583
"Africa_Central","America_North","Fat supply quantity (g/capita/day)",0.527093204141783
"Africa_Central","America_North","Food supply (kcal/capita/day)",100.710980667332
"Africa_Central","America_North","Food supply quantity (g/capita/day)",37.0820948995295
"Africa_Central","America_North","Protein supply quantity (g/capita/day)",3.04236350379679
"Africa_Central","America_South_andean","Fat supply quantity (g/capita/day)",5.88732414359039
"Africa_Central","America_South_andean","Food supply (kcal/capita/day)",338.842507081381
"Africa_Central","America_South_andean","Food supply quantity (g/capita/day)",98.2892500201201
"Africa_Central","America_South_andean","Protein supply quantity (g/capita/day)",6.35700588920835
"Africa_Central","America_South_temperate","Fat supply quantity (g/capita/day)",0.364577545871561
"Africa_Central","America_South_temperate","Food supply (kcal/capita/day)",95.6755113709931
"Africa_Central","America_South_temperate","Food supply quantity (g/capita/day)",25.0187187422866
"Africa_Central","America_South_temperate","Protein supply quantity (g/capita/day)",2.31555318120342
"Africa_Central","America_South_tropical","Fat supply quantity (g/capita/day)",17.8227667320395
"Africa_Central","America_South_tropical","Food supply (kcal/capita/day)",671.643416424965
"Africa_Central","America_South_tropical","Food supply quantity (g/capita/day)",142.20908380614
"Africa_Central","America_South_tropical","Protein supply quantity (g/capita/day)",10.0058072265188
"Africa_Central","Asia_Central","Fat supply quantity (g/capita/day)",0.157630284999798
"Africa_Central","Asia_Central","Food supply (kcal/capita/day)",58.1476174981199
"Africa_Central","Asia_Central","Food supply quantity (g/capita/day)",17.1290425167571
"Africa_Central","Asia_Central","Protein supply quantity (g/capita/day)",1.12086436782295
"Africa_Central","Asia_East","Fat supply quantity (g/capita/day)",9.263828949542
"Africa_Central","Asia_East","Food supply (kcal/capita/day)",856.810298502645
"Africa_Central","Asia_East","Food supply quantity (g/capita/day)",216.506236285258
"Africa_Central","Asia_East","Protein supply quantity (g/capita/day)",15.1623693508444
"Africa_Central","Asia_South","Fat supply quantity (g/capita/day)",9.03456100160021
"Africa_Central","Asia_South","Food supply (kcal/capita/day)",993.145439203874
"Africa_Central","Asia_South","Food supply quantity (g/capita/day)",267.660956724935
"Africa_Central","Asia_South","Protein supply quantity (g/capita/day)",20.9560811944282
"Africa_Central","Asia_Southeast","Fat supply quantity (g/capita/day)",14.3657178939886
"Africa_Central","Asia_Southeast","Food supply (kcal/capita/day)",1350.81419546677
"Africa_Central","Asia_Southeast","Food supply quantity (g/capita/day)",365.797925133785
"Africa_Central","Asia_Southeast","Protein supply quantity (g/capita/day)",24.6236846838296
"Africa_Central","Asia_West","Fat supply quantity (g/capita/day)",20.589055612511
"Africa_Central","Asia_West","Food supply (kcal/capita/day)",390.957100624364
"Africa_Central","Asia_West","Food supply quantity (g/capita/day)",97.8240662948312
"Africa_Central","Asia_West","Protein supply quantity (g/capita/day)",9.86338378828038
"Africa_Central","Europe_Eastern_north","Fat supply quantity (g/capita/day)",1.87807423384438
"Africa_Central","Europe_Eastern_north","Food supply (kcal/capita/day)",55.5144647777945
"Africa_Central","Europe_Eastern_north","Food supply quantity (g/capita/day)",17.743679036251
"Africa_Central","Europe_Eastern_north","Protein supply quantity (g/capita/day)",0.979156236117333
"Africa_Central","Europe_Eastern_south","Fat supply quantity (g/capita/day)",3.05200905194904
"Africa_Central","Europe_Eastern_south","Food supply (kcal/capita/day)",108.647458958758
"Africa_Central","Europe_Eastern_south","Food supply quantity (g/capita/day)",46.0040038181403
"Africa_Central","Europe_Eastern_south","Protein supply quantity (g/capita/day)",3.00250698435923
"Africa_Central","Europe_Western_north","Fat supply quantity (g/capita/day)",5.88330122217914
"Africa_Central","Europe_Western_north","Food supply (kcal/capita/day)",120.75734550844
"Africa_Central","Europe_Western_north","Food supply quantity (g/capita/day)",35.2454338829104
"Africa_Central","Europe_Western_north","Protein supply quantity (g/capita/day)",2.26395057743441
