"Item","Country","Element","Unit","Y2009","Y2010","Y2011","Average","Data.type","Region","Region_nice","Region_code","Region_macronew","Region_macro1","Region_macro1_nice","Region_macro2","Region_macro2_nice","Region_macro3","Region_macro3_nice","food_group","Region_crops"
"Apples","Albania","Food supply quantity (g/capita/day)","g/capita/day",49,59,61,56.33333333,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Spain","Food supply quantity (g/capita/day)","g/capita/day",34,33,33,33.33333333,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_south"
"Apples","Spain","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_south"
"Apples","Spain","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_south"
"Apples","Norway","Food supply quantity (g/capita/day)","g/capita/day",95,95,94,94.66666667,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Spain","Food supply (kcal/capita/day)","kcal/capita/day",17,16,16,16.33333333,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_south"
"Apples","Czech Republic","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Slovakia","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Slovakia","Food supply (kcal/capita/day)","kcal/capita/day",16,13,13,14,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Montenegro","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","Ukraine","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Belgium","Food supply (kcal/capita/day)","kcal/capita/day",27,24,12,21,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Hungary","Fat supply quantity (g/capita/day)","g/capita/day",0.2,0.2,0.3,0.233333333,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Austria","Food supply (kcal/capita/day)","kcal/capita/day",58,63,70,63.66666667,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Turkey","Food supply (kcal/capita/day)","kcal/capita/day",37,32,33,34,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developing_country","Developing countries","Fruits","Europe_Eastern_south"
"Apples","Portugal","Fat supply quantity (g/capita/day)","g/capita/day",0.3,0.2,0.3,0.266666667,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_south"
"Apples","Slovenia","Fat supply quantity (g/capita/day)","g/capita/day",0.3,0.3,0.3,0.3,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","France","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0,0.066666667,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","France","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0,0.066666667,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_south"
"Apples","The former Yugoslav Republic of Macedonia","Fat supply quantity (g/capita/day)","g/capita/day",0.2,0,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","The former Yugoslav Republic of Macedonia","Food supply (kcal/capita/day)","kcal/capita/day",31,7,21,19.66666667,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_south"
"Apples","France","Food supply quantity (g/capita/day)","g/capita/day",26,27,23,25.33333333,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Belarus","Food supply quantity (g/capita/day)","g/capita/day",64,62,58,61.33333333,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","France","Food supply quantity (g/capita/day)","g/capita/day",26,27,23,25.33333333,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_south"
"Apples","Belarus","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Eastern_north"
"Apples","Armenia","Fat supply quantity (g/capita/day)","g/capita/day",0.3,0.1,0.2,0.2,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Fruits","Asia_Central"
"Apples","Switzerland","Protein supply quantity (g/capita/day)","g/capita/day",0.2,0.2,0.3,0.233333333,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
"Apples","Turkey","Fat supply quantity (g/capita/day)","g/capita/day",0.2,0.2,0.2,0.2,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developing_country","Developing countries","Fruits","Europe_Eastern_south"
"Apples","Austria","Food supply quantity (g/capita/day)","g/capita/day",122,131,145,132.6666667,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Fruits","Europe_Western_north"
