"Y2009","Y2010","Y2011","Country"
0.164625850340136,0.170299727520436,0.170096021947874,"Afghanistan"
0.572609208972846,0.580767152890329,0.583420229405631,"Albania"
0.319218241042345,0.326700898587933,0.339330024813896,"Algeria"
0.824074074074075,0.816425120772947,0.810089020771513,"Angola"
0.577758470894874,0.583408476104599,0.573322286661144,"Antigua and Barbuda"
0.857259380097879,0.848732624693377,0.852700490998363,"Argentina"
0.288501026694045,0.291076923076923,0.266591038003403,"Armenia"
0.815013404825737,0.813593539703903,0.805498281786942,"Australia"
0.635422656699252,0.643356643356644,0.644875346260388,"Austria"
0.285198555956679,0.28031212484994,0.280307510348906,"Azerbaijan"
0.693229901269393,0.688353936239427,0.689518787079763,"Bahamas"
0.246658566221142,0.279394644935972,0.281542056074767,"Bangladesh"
0.782890007189073,0.787491115849324,0.793639053254438,"Barbados"
0.649577464788732,0.663888888888889,0.641940881204685,"Belarus"
0.642773207990599,0.680838672102505,0.693901035673188,"Belgium"
0.796621621621622,0.803267973856209,0.782106782106782,"Belize"
0.523109243697479,0.513121546961326,0.521797451374916,"Benin"
0.500387296669249,0.584142394822006,0.565292096219931,"Bermuda"
0.659287776708374,0.649139579349904,0.637914691943128,"Bolivia (Plurinational State of)"
0.591648590021692,0.59812050856827,0.600661886376172,"Bosnia and Herzegovina"
0.678197064989518,0.632773938795656,0.638779527559055,"Botswana"
0.784410112359551,0.788525683789193,0.788623141564318,"Brazil"
0.39833641404806,0.415384615384616,0.425511197663096,"Brunei Darussalam"
0.748166259168704,0.758232931726908,0.746233148295004,"Bulgaria"
0.206617647058823,0.211901306240929,0.223529411764706,"Burkina Faso"
0.690434782608695,0.688073394495413,0.683193277310924,"Cabo Verde"
0.235227272727272,0.234891676168757,0.246392896781354,"Cambodia"
0.701754385964912,0.71051051051051,0.710449503794513,"Cameroon"
0.72969837587007,0.728654970760234,0.720710059171598,"Canada"
0.835833333333333,0.837000814995925,0.840743734842361,"Central African Republic"
0.34478021978022,0.346774193548387,0.345528455284553,"Chad"
0.669099756690998,0.673338670936749,0.665060240963855,"Chile"
0.398395721925134,0.403197158081705,0.384350816852967,"China, Hong Kong SAR"
0.4,0.411196911196911,0.398912058023572,"China, Macao SAR"
0.345819761129207,0.344063324538259,0.342945417095777,"China, mainland"
0.369477911646586,0.373933281613654,0.36055469953775,"China, Taiwan Province of"
0.58972198820556,0.595726495726496,0.596401028277635,"Colombia"
0.847333820306793,0.839155749636099,0.840293040293041,"Congo"
0.71996215704825,0.746174617461746,0.755310110450298,"Costa Rica"
0.438865918487891,0.446808510638298,0.458920187793428,"Côte d'Ivoire"
0.673223350253807,0.677966101694915,0.682154882154882,"Croatia"
0.768204558087827,0.763466042154567,0.768223234624146,"Cuba"
0.361295681063123,0.347350714886459,0.333910034602076,"Cyprus"
0.756410256410257,0.764784053156146,0.759765625,"Czech Republic"
0.350413223140496,0.364238410596027,0.379073756432247,"Democratic People's Republic of Korea"
0.681506849315069,0.653269346130774,0.653776435045317,"Denmark"
0.785219399538106,0.795604395604396,0.793140407288317,"Djibouti"
0.751264367816092,0.762020398251579,0.76514399205561,"Dominica"
0.754575707154742,0.724363636363636,0.743055555555555,"Dominican Republic"
0.759506680369989,0.746425166825548,0.763848396501457,"Ecuador"
0.482982982982983,0.457618304732189,0.4596174282678,"Egypt"
0.544859813084112,0.532416502946955,0.534299516908213,"El Salvador"
0.667060910703726,0.686400937866354,0.67366628830874,"Estonia"
0.649263721552878,0.636363636363637,0.637795275590551,"Ethiopia"
0.64313123561013,0.68021472392638,0.691376701966717,"Fiji"
0.700848656294201,0.711032028469751,0.704323570432357,"Finland"
0.662752772341814,0.671287128712872,0.675392670157068,"France"
0.680194805194805,0.677313677313677,0.676641729010806,"French Polynesia"
0.862839879154079,0.856718192627824,0.84850335980452,"Gabon"
0.376116071428572,0.355603448275862,0.362938596491228,"Gambia"
0.34901625320787,0.316409791477788,0.334771354616049,"Georgia"
0.687620269403464,0.684976836532097,0.703373647358371,"Germany"
0.699056603773585,0.695156695156695,0.702862335302135,"Ghana"
0.648905803996194,0.668586387434555,0.65130890052356,"Greece"
0.666981132075471,0.663053297199639,0.651141552511415,"Grenada"
0.552268244575937,0.542084168336673,0.537931034482759,"Guatemala"
0.516750418760469,0.525833333333334,0.526755852842809,"Guinea"
0.47191011235955,0.498416050686379,0.489082969432315,"Guinea-Bissau"
0.731797235023041,0.718464351005484,0.740974729241878,"Guyana"
0.820815450643777,0.839468302658487,0.832599118942731,"Haiti"
0.54979674796748,0.54312114989733,0.552135054617676,"Honduras"
0.670212765957447,0.68744939271255,0.671698113207548,"Hungary"
0.662509170946441,0.655430711610487,0.649811320754717,"Iceland"
0.383534136546185,0.369914853358562,0.393910561370124,"India"
0.372388737511353,0.386029411764706,0.375110326566638,"Indonesia"
0.392588614393126,0.37161789066814,0.379436325678496,"Iran (Islamic Republic of)"
0.349038461538462,0.37322695035461,0.338374291115312,"Iraq"
0.784574468085107,0.77577045696068,0.753684210526316,"Ireland"
0.36936936936937,0.364205256570713,0.335245379222435,"Israel"
0.662533692722372,0.658622719246616,0.651943462897526,"Italy"
0.774316109422492,0.777865612648221,0.750183688464364,"Jamaica"
0.452067669172933,0.453154875717018,0.458681522748375,"Japan"
0.315126050420168,0.346875,0.344854070660522,"Jordan"
0.423076923076923,0.399482870071105,0.387596899224806,"Kazakhstan"
0.827898550724638,0.802480070859167,0.812615955473098,"Kenya"
0.409059711736445,0.414699932569117,0.43582704186685,"Kiribati"
