"Item","Country","Element","Y2009","Y2010","Y2011","Average"
"Alfalfa","Afghanistan","Area harvested",0,0,0,0
"Almonds","Afghanistan","Area harvested",11029,11210,13469,11902.6666666667
"Anise_badian_fennel_coriander","Afghanistan","Area harvested",10616,17000,18275,15297
"Apples","Afghanistan","Area harvested",8550,8550,8863,8654.33333333333
"Apricots","Afghanistan","Area harvested",8170,8320,8320,8270
"Areca_nuts","Afghanistan","Area harvested",0,0,0,0
"Artichokes","Afghanistan","Area harvested",0,0,0,0
"Asparagus","Afghanistan","Area harvested",0,0,0,0
"Avocados","Afghanistan","Area harvested",0,0,0,0
"Bambara_beans","Afghanistan","Area harvested",0,0,0,0
"Bananas & plantains","Afghanistan","Area harvested",0,0,0,0
"Barley","Afghanistan","Area harvested",267000,212000,190000,223000
"Beans","Afghanistan","Area harvested",0,0,0,0
"Beet_sugar","Afghanistan","Area harvested",1100,1170,1172,1147.33333333333
"Berries_nes","Afghanistan","Area harvested",3800,3800,3800,3800
"Blueberries","Afghanistan","Area harvested",0,0,0,0
"Brazil_nuts","Afghanistan","Area harvested",0,0,0,0
"Buckwheat","Afghanistan","Area harvested",0,0,0,0
"Cabbages","Afghanistan","Area harvested",0,0,0,0
"Carob","Afghanistan","Area harvested",0,0,0,0
"Carrots & turnips","Afghanistan","Area harvested",0,0,0,0
"Cashew","Afghanistan","Area harvested",0,0,0,0
"Cassava","Afghanistan","Area harvested",0,0,0,0
"Castor_oil","Afghanistan","Area harvested",0,0,0,0
"Cereals_nes","Afghanistan","Area harvested",0,0,0,0
"Cherries","Afghanistan","Area harvested",0,0,0,0
"Chestnut","Afghanistan","Area harvested",0,0,0,0
"Chickpeas","Afghanistan","Area harvested",0,0,0,0
"Chicory_roots","Afghanistan","Area harvested",0,0,0,0
"Chillies & peppers","Afghanistan","Area harvested",0,0,0,0
"Cinnamon","Afghanistan","Area harvested",0,0,0,0
"Clover","Afghanistan","Area harvested",0,0,0,0
"Cloves","Afghanistan","Area harvested",0,0,0,0
"Cocoa beans","Afghanistan","Area harvested",0,0,0,0
"Coconuts","Afghanistan","Area harvested",0,0,0,0
"Coffee","Afghanistan","Area harvested",0,0,0,0
"Cottonseed oil","Afghanistan","Area harvested",33000,33000,33000,33000
"Cowpeas","Afghanistan","Area harvested",0,0,0,0
