"Item","Country","Element","Y2009","Y2010","Y2011","Average"
"Alfalfa","Afghanistan","Production",0,0,0,0
"Almonds","Afghanistan","Production",43183,56000,60611,53264.6666666667
"Anise_badian_fennel_coriander","Afghanistan","Production",8373,10200,12055,10209.3333333333
"Apples","Afghanistan","Production",72765,59850,62041,64885.3333333333
"Apricots","Afghanistan","Production",60000,66560,56043,60867.6666666667
"Areca_nuts","Afghanistan","Production",0,0,0,0
"Artichokes","Afghanistan","Production",0,0,0,0
"Asparagus","Afghanistan","Production",0,0,0,0
"Avocados","Afghanistan","Production",0,0,0,0
"Bambara_beans","Afghanistan","Production",0,0,0,0
"Bananas & plantains","Afghanistan","Production",0,0,0,0
"Barley","Afghanistan","Production",486000,437000,305900,409633.333333333
"Beans","Afghanistan","Production",0,0,0,0
"Beet_sugar","Afghanistan","Production",16500,15200,15236,15645.3333333333
"Berries_nes","Afghanistan","Production",32300,24764,24606,27223.3333333333
"Blueberries","Afghanistan","Production",0,0,0,0
"Brazil_nuts","Afghanistan","Production",0,0,0,0
"Buckwheat","Afghanistan","Production",0,0,0,0
"Cabbages","Afghanistan","Production",0,0,0,0
"Carob","Afghanistan","Production",0,0,0,0
"Carrots & turnips","Afghanistan","Production",0,0,0,0
"Cashew","Afghanistan","Production",0,0,0,0
"Cassava","Afghanistan","Production",0,0,0,0
"Castor_oil","Afghanistan","Production",0,0,0,0
"Cereals_nes","Afghanistan","Production",0,0,0,0
"Cherries","Afghanistan","Production",0,0,0,0
"Chestnut","Afghanistan","Production",0,0,0,0
"Chickpeas","Afghanistan","Production",0,0,0,0
"Chicory_roots","Afghanistan","Production",0,0,0,0
"Chillies & peppers","Afghanistan","Production",0,0,0,0
"Cinnamon","Afghanistan","Production",0,0,0,0
"Clover","Afghanistan","Production",0,0,0,0
"Cloves","Afghanistan","Production",0,0,0,0
"Cocoa beans","Afghanistan","Production",0,0,0,0
"Coconuts","Afghanistan","Production",0,0,0,0
"Coffee","Afghanistan","Production",0,0,0,0
"Cottonseed oil","Afghanistan","Production",70738.8,54450,54450,59879.6
"Cowpeas","Afghanistan","Production",0,0,0,0
"Cranberries","Afghanistan","Production",0,0,0,0
"Cucumbers","Afghanistan","Production",0,0,0,0
"Currants","Afghanistan","Production",0,0,0,0
"Dates","Afghanistan","Production",0,0,0,0
"Eggplants","Afghanistan","Production",0,0,0,0
"Faba_beans","Afghanistan","Production",0,0,0,0
"Figs","Afghanistan","Production",11544,8658,8224,9475.33333333333
"Fonio","Afghanistan","Production",0,0,0,0
"Fruit_citrus_nes","Afghanistan","Production",2000,2000,2000,2000
"Fruit_fresh_nes","Afghanistan","Production",126195,100956,58891,95347.3333333333
"Fruit_pome_nes","Afghanistan","Production",0,0,0,0
