"","North
America","Latin
America","Africa","Europe","W Asia and
SE Mediterranean","Central
Asia","South
Asia","East
Asia","Southeast
Asia","Pacific"
"North
America",41.6182366385798,35.9693515904444,21.2294449435539,230.483547511943,103.042049920256,139.667167197222,14.2117670722571,10.6663949370297,3.87425114625581,82.4541202309416
"Latin
America",396.189423005705,700.606006383721,1002.01925709706,362.071786852591,405.659499524268,332.553641536802,246.878544884097,344.431519644374,424.576075064576,362.635711139807
"Africa",150.675983083873,401.050372802007,778.272465509773,207.705406018616,424.986219301238,158.490459060658,1093.55897221285,884.780047372393,1362.6815271809,356.618950811466
"Europe",443.209373231411,399.687440102784,129.996918461828,548.897208914936,365.541373023965,198.587653484136,266.357339775292,152.450623124558,188.39381136547,630.984930869428
"W Asia and
SE Mediterranean",1149.23269909106,847.86032160614,446.065138395845,1718.29031383513,1662.30960463971,1478.31218744771,822.428988208378,737.363297185467,354.755142220222,1336.25072339786
"Central
Asia",724.160072387941,441.773450583515,238.999637521391,1104.9617112414,1202.07833885555,1275.61201473604,479.663630823938,597.391821044014,146.223117418159,675.848158073039
"South
Asia",422.486962094079,757.967183817974,733.444874952724,480.836989462567,588.799418623162,240.865353147329,1250.01727402145,912.166989924337,1563.36919787835,613.557176640902
"East
Asia",627.352950128158,498.365945284839,367.306628777126,233.273236198717,316.094969142746,109.181598629323,947.715146398877,939.796915867642,1298.61934375078,250.285025120203
"Southeast
Asia",406.856613525935,740.628318555146,655.912518088176,461.221624386844,491.079786581784,237.568730100839,1169.22117406534,897.051672283121,1540.54635924174,592.298077417777
"Pacific",9.13142213419755,25.8430689994415,40.7241352314054,15.3653037406203,5.96358418368112,1.20717683968461,32.6399688023731,7.82142237495149,71.4019045029327,55.4826765475176
