"","North
America","Latin
America","Africa","Europe","W Asia and
SE Mediterranean","Central
Asia","South
Asia","East
Asia","Southeast
Asia","Pacific"
"North
America",1.62998174658124,2.96626286237935,2.12857097104185,19.7125991748346,9.02012132084593,12.7524628802957,1.49947397429746,0.407142666508237,0.376536874010383,3.79549812767997
"Latin
America",15.8298546977914,16.4901778100684,24.9396687859225,11.0159570150824,18.5511701398085,13.8792957452897,11.6585268561292,13.3224971388959,17.0267886683299,21.0706367306512
"Africa",5.52813859991785,11.8289299303951,16.7644359323527,13.6611581557983,19.7735905179534,11.145354306416,12.1634950865975,11.5217018970106,15.3753754351532,22.0711696397535
"Europe",11.4746017307109,1.64678860717194,0.146417716989632,15.0252959052938,6.23517732505495,0.886407785879448,4.96824695939494,6.1160281386233,0.15736484536334,23.8238350230362
"W Asia and
SE Mediterranean",14.1506215450695,3.20799913877405,2.47532002513074,19.4491210900773,13.5938661591961,6.72675203651172,8.35473866837174,9.72789509450907,1.46495303869232,26.7200894854475
"Central
Asia",2.99062256488471,1.38476572489978,0.914899266773722,4.22872823364575,5.72749389210733,5.62375913090278,2.21896766884468,2.94190125509893,0.419019915963751,2.61070479726994
"South
Asia",1.28540295013616,3.12085164794006,4.11738550138019,2.34066925486882,2.64051111452791,0.575761378133336,8.23502522749218,4.82005044195228,11.5318915930976,5.1118566920793
"East
Asia",54.1119533834427,20.6843220014306,4.30062151350564,8.8919180645793,8.98769722609864,1.22878638786808,8.25493041756655,11.9679262345214,8.35776000747319,4.62534636451324
"Southeast
Asia",1.11971017284364,2.80276625549091,2.69107777374139,1.86659021817807,0.966403669303023,0.310948405128742,7.00878253046193,3.8997792469396,10.6277728601681,4.57040345660299
"Pacific",0.909858085230395,2.12598276069166,0.821253959807058,1.70410866848332,0.453946978253676,0.168300260697193,3.10158042815527,0.615375586266464,6.55883615711307,4.20558190342597
