"Country","Region_crops","Element","Y2009","Y2010","Y2011","Region"
"Afghanistan","Africa","Fat supply quantity (g/capita/day)",7.2,7.5,6.8,"W Asia and SE Mediterranean"
"Afghanistan","Africa","Food supply (kcal/capita/day)",246,250,255,"W Asia and SE Mediterranean"
"Afghanistan","Africa","Food supply quantity (g/capita/day)",58,58,61,"W Asia and SE Mediterranean"
"Afghanistan","Africa","Protein supply quantity (g/capita/day)",5.2,4.9,5.4,"W Asia and SE Mediterranean"
"Afghanistan","East Asia","Protein supply quantity (g/capita/day)",3.2,3.7,4.2,"W Asia and SE Mediterranean"
"Afghanistan","Southeast Asia","Fat supply quantity (g/capita/day)",0.3,0.3,0.3,"W Asia and SE Mediterranean"
"Afghanistan","North America","Fat supply quantity (g/capita/day)",0.9,1.6,1.6,"W Asia and SE Mediterranean"
"Afghanistan","North America","Food supply (kcal/capita/day)",21,30,34,"W Asia and SE Mediterranean"
"Afghanistan","North America","Food supply quantity (g/capita/day)",22,26,32,"W Asia and SE Mediterranean"
"Afghanistan","North America","Protein supply quantity (g/capita/day)",0.1,0.2,0.2,"W Asia and SE Mediterranean"
"Afghanistan","Europe","Food supply quantity (g/capita/day)",30,29,28,"W Asia and SE Mediterranean"
"Afghanistan","Europe","Protein supply quantity (g/capita/day)",0,0,0,"W Asia and SE Mediterranean"
"Afghanistan","Central Asia","Protein supply quantity (g/capita/day)",38.3,37.9,38,"W Asia and SE Mediterranean"
"Afghanistan","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",509,507,515,"W Asia and SE Mediterranean"
"Afghanistan","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",40.6,39.9,40.3,"W Asia and SE Mediterranean"
"Afghanistan","Latin America","Food supply (kcal/capita/day)",90,91,81,"W Asia and SE Mediterranean"
"Afghanistan","Latin America","Food supply quantity (g/capita/day)",38,36,34,"W Asia and SE Mediterranean"
"Afghanistan","Latin America","Protein supply quantity (g/capita/day)",1,1.1,1.4,"W Asia and SE Mediterranean"
"Afghanistan","East Asia","Food supply quantity (g/capita/day)",76,91,100,"W Asia and SE Mediterranean"
"Afghanistan","Southeast Asia","Food supply (kcal/capita/day)",243,250,257,"W Asia and SE Mediterranean"
"Afghanistan","Southeast Asia","Food supply quantity (g/capita/day)",71,72,78,"W Asia and SE Mediterranean"
"Afghanistan","Southeast Asia","Protein supply quantity (g/capita/day)",3.1,3.4,3.9,"W Asia and SE Mediterranean"
"Afghanistan","Europe","Food supply (kcal/capita/day)",92,90,87,"W Asia and SE Mediterranean"
"Afghanistan","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",6.9,6.7,6.6,"W Asia and SE Mediterranean"
"Afghanistan","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",1559,1544,1550,"W Asia and SE Mediterranean"
"Afghanistan","South Asia","Fat supply quantity (g/capita/day)",1.5,1.5,1.6,"W Asia and SE Mediterranean"
"Afghanistan","South Asia","Food supply (kcal/capita/day)",281,285,297,"W Asia and SE Mediterranean"
"Afghanistan","South Asia","Food supply quantity (g/capita/day)",81,81,89,"W Asia and SE Mediterranean"
"Afghanistan","South Asia","Protein supply quantity (g/capita/day)",5.3,5.2,6,"W Asia and SE Mediterranean"
"Afghanistan","East Asia","Food supply (kcal/capita/day)",181,201,213,"W Asia and SE Mediterranean"
"Afghanistan","East Asia","Fat supply quantity (g/capita/day)",1,1.9,1.9,"W Asia and SE Mediterranean"
"Afghanistan","Central Asia","Food supply (kcal/capita/day)",1421,1408,1408,"W Asia and SE Mediterranean"
"Afghanistan","Pacific","Fat supply quantity (g/capita/day)",0,0,0,"W Asia and SE Mediterranean"
"Afghanistan","Pacific","Food supply (kcal/capita/day)",0,0,0,"W Asia and SE Mediterranean"
"Afghanistan","Pacific","Food supply quantity (g/capita/day)",0,0,0,"W Asia and SE Mediterranean"
"Afghanistan","Central Asia","Food supply quantity (g/capita/day)",460,456,455,"W Asia and SE Mediterranean"
