"Country","Region_crops","HA_value","PV_value","PQ_value","HA_percentage","PV_percentage","PQ_percentage"
"Afghanistan","Africa_Central",206000,NA,663000,0.0600561671513331,NA,0.079679497573537
"Afghanistan","Africa_East",120659,NA,457446.27,0.0351762964675374,NA,0.0549760014487007
"Afghanistan","Africa_Southern",95803.67,NA,652728.93,0.0279301030059765,NA,0.0784451179398377
"Afghanistan","Africa_West",244525.67,NA,1020933.33,0.071287740341319,NA,0.122696010242048
"Afghanistan","America_Caribbean",33000,NA,59879.6,0.00962064813589316,NA,0.00719634455943343
"Afghanistan","America_Central_and_Mexico",201666.67,NA,360252.93,0.0587928506911297,NA,0.0432952827478048
"Afghanistan","America_North",62891.33,NA,458692,0.0183350108099497,NA,0.0551257135761702
"Afghanistan","America_South_andean",20866.67,NA,251133.33,0.00608336029811508,NA,0.0301812632856248
"Afghanistan","America_South_temperate",0,NA,0,0,NA,0
"Afghanistan","America_South_tropical",33000,NA,59879.6,0.00962064813589316,NA,0.00719634455943343
"Afghanistan","Asia_Central",2647525,NA,4941761,0.771845650181228,NA,0.593902011475867
"Afghanistan","Asia_East",344486.67,NA,1665034,0.100429849684107,NA,0.200104181844429
"Afghanistan","Asia_South",298940.67,NA,1177030,0.0871516060478228,NA,0.14145574514175
"Afghanistan","Asia_Southeast",266733.33,NA,1166640.33,0.0777620458801538,NA,0.140207112131863
"Afghanistan","Asia_West",2791887.33,NA,5696533,0.813932292029946,NA,0.684610689820623
"Afghanistan","Europe_Eastern_north",12305.33,NA,82164,0.00358743182200152,NA,0.00987448904771055
"Afghanistan","Europe_Eastern_south",35918.67,NA,144752.33,0.0104715419872503,NA,0.017396369422321
"Afghanistan","Europe_Western_north",12305.33,NA,82164,0.00358743182200152,NA,0.00987448904771055
"Afghanistan","Europe_Western_south",31703.67,NA,109482,0.009242722838984,NA,0.0131575727803107
"Afghanistan","Mediterranean_SouthandEast",2694223.33,NA,5238501.33,0.785459838104375,NA,0.629564334860792
"Afghanistan","Not_Specified",153138.33,NA,833105.33,0.0446451511832816,NA,0.100122796561441
"Afghanistan","Pacific_Region_tropical",31859,NA,341600,0.00928800693822485,NA,0.04105356918721
"Albania","Africa_Central",0,0,0,0,0,0
"Albania","Africa_East",44565.33,117.87,119387.67,0.0861500408854454,0.0997520374398077,0.0163137394211366
