"Country","Region_crops","Average","Percentage","Element"
"Afghanistan","Asia_West",2791887.33,0.813932292029946,"Area harvested"
"Afghanistan","Mediterranean_SouthandEast",2694223.33,0.785459838104375,"Area harvested"
"Afghanistan","Asia_Central",2647525,0.771845650181228,"Area harvested"
"Afghanistan","Asia_East",344486.67,0.100429849684107,"Area harvested"
"Afghanistan","Asia_South",298940.67,0.0871516060478228,"Area harvested"
"Afghanistan","Asia_Southeast",266733.33,0.0777620458801538,"Area harvested"
"Afghanistan","Africa_West",244525.67,0.071287740341319,"Area harvested"
"Afghanistan","Africa_Central",206000,0.0600561671513331,"Area harvested"
"Afghanistan","America_Central_and_Mexico",201666.67,0.0587928506911297,"Area harvested"
"Afghanistan","Not_Specified",153138.33,0.0446451511832816,"Area harvested"
"Afghanistan","Africa_East",120659,0.0351762964675374,"Area harvested"
"Afghanistan","Africa_Southern",95803.67,0.0279301030059765,"Area harvested"
"Afghanistan","America_North",62891.33,0.0183350108099497,"Area harvested"
"Afghanistan","Europe_Eastern_south",35918.67,0.0104715419872503,"Area harvested"
"Afghanistan","America_South_tropical",33000,0.00962064813589316,"Area harvested"
"Afghanistan","America_Caribbean",33000,0.00962064813589316,"Area harvested"
"Afghanistan","Pacific_Region_tropical",31859,0.00928800693822485,"Area harvested"
"Afghanistan","Europe_Western_south",31703.67,0.009242722838984,"Area harvested"
"Afghanistan","America_South_andean",20866.67,0.00608336029811508,"Area harvested"
"Afghanistan","Europe_Eastern_north",12305.33,0.00358743182200152,"Area harvested"
"Afghanistan","Europe_Western_north",12305.33,0.00358743182200152,"Area harvested"
"Afghanistan","America_South_temperate",0,0,"Area harvested"
"Albania","Asia_West",373130.67,0.721305608555207,"Area harvested"
"Albania","Asia_Central",318280,0.615272791944311,"Area harvested"
"Albania","Mediterranean_SouthandEast",207690.33,0.401489912023801,"Area harvested"
"Albania","Europe_Western_south",125391.67,0.242396892319529,"Area harvested"
"Albania","Europe_Eastern_south",124131.33,0.239960506399587,"Area harvested"
"Albania","Europe_Western_north",77352.33,0.149531180226523,"Area harvested"
"Albania","Europe_Eastern_north",77352.33,0.149531180226523,"Area harvested"
"Albania","America_Central_and_Mexico",77255,0.149343029853141,"Area harvested"
"Albania","Asia_South",75273.67,0.145512885197922,"Area harvested"
"Albania","Africa_East",44565.33,0.0861500408854454,"Area harvested"
"Albania","America_South_andean",29737.67,0.0574864246789574,"Area harvested"
"Albania","Asia_East",27253.33,0.0526839023466119,"Area harvested"
"Albania","America_North",10486.67,0.0202719703691675,"Area harvested"
"Albania","Not_Specified",10118.33,0.0195599256909447,"Area harvested"
"Albania","Africa_Southern",9163.33,0.0177137980162343,"Area harvested"
"Albania","Asia_Southeast",8868.67,0.0171441854710719,"Area harvested"
"Albania","America_South_tropical",4160.33,0.00804240874233277,"Area harvested"
"Albania","America_Caribbean",3740,0.00722986126012229,"Area harvested"
"Albania","Pacific_Region_tropical",1949.33,0.00376828487973106,"Area harvested"
"Albania","Africa_West",1949.33,0.00376828487973106,"Area harvested"
"Albania","Africa_Central",0,0,"Area harvested"
"Albania","America_South_temperate",0,0,"Area harvested"
"Algeria","Asia_West",3630661.67,0.857191617768823,"Area harvested"
"Algeria","Mediterranean_SouthandEast",3494336.67,0.825005570730093,"Area harvested"
"Algeria","Asia_Central",3043472.33,0.718557444155172,"Area harvested"
"Algeria","Europe_Western_south",473899.67,0.111886719752494,"Area harvested"
"Algeria","Europe_Eastern_south",470440.33,0.111069976822269,"Area harvested"
"Algeria","Africa_East",338372.67,0.0798890788427708,"Area harvested"
"Algeria","Asia_East",277864.67,0.0656032667450669,"Area harvested"
"Algeria","Asia_South",255267.67,0.0602681623626412,"Area harvested"
"Algeria","America_South_andean",151168,0.0356904482578454,"Area harvested"
"Algeria","Europe_Western_north",115194.33,0.0271971400988447,"Area harvested"
"Algeria","Europe_Eastern_north",115194.33,0.0271971400988447,"Area harvested"
"Algeria","America_North",82721,0.0195302548842164,"Area harvested"
"Algeria","Not_Specified",79348.67,0.0187340548327943,"Area harvested"
"Algeria","Africa_Southern",72018.33,0.0170033769083499,"Area harvested"
"Algeria","America_Central_and_Mexico",52073.67,0.012294484445988,"Area harvested"
"Algeria","Asia_Southeast",51838.67,0.0122390014380723,"Area harvested"
"Algeria","America_South_tropical",39952,0.00943258354147331,"Area harvested"
"Algeria","America_Caribbean",24977.67,0.00589717558436002,"Area harvested"
"Algeria","Africa_West",219.67,5.18636270163056e-05,"Area harvested"
"Algeria","Africa_Central",219.67,5.18636270163056e-05,"Area harvested"
"Algeria","America_South_temperate",0,0,"Area harvested"
"Algeria","Pacific_Region_tropical",0,0,"Area harvested"
"Angola","America_Central_and_Mexico",3395908.67,0.748754724676222,"Area harvested"
"Angola","America_Central_and_Mexico",3395908.67,0.748754724676222,"Area harvested"
"Angola","America_South_tropical",1439613.33,0.317416452352462,"Area harvested"
"Angola","America_South_tropical",1439613.33,0.317416452352462,"Area harvested"
"Angola","America_South_andean",826208,0.182168368964202,"Area harvested"
"Angola","America_South_andean",826208,0.182168368964202,"Area harvested"
"Angola","Africa_West",451538.33,0.0995584660290381,"Area harvested"
"Angola","Africa_West",451538.33,0.0995584660290381,"Area harvested"
"Angola","Africa_East",435591,0.0960422823374812,"Area harvested"
"Angola","Africa_East",435591,0.0960422823374812,"Area harvested"
"Angola","Africa_Southern",371574.67,0.0819274947498833,"Area harvested"
"Angola","Africa_Southern",371574.67,0.0819274947498833,"Area harvested"
"Angola","Asia_South",370599.33,0.0817124446692915,"Area harvested"
"Angola","Asia_South",370599.33,0.0817124446692915,"Area harvested"
"Angola","Asia_Southeast",341330,0.0752589292025144,"Area harvested"
"Angola","Asia_Southeast",341330,0.0752589292025144,"Area harvested"
"Angola","Africa_Central",254380.33,0.0560876314592396,"Area harvested"
"Angola","Africa_Central",254380.33,0.0560876314592396,"Area harvested"
"Angola","Asia_East",235593.33,0.0519453366040331,"Area harvested"
"Angola","Asia_East",235593.33,0.0519453366040331,"Area harvested"
"Angola","Not_Specified",85303.67,0.0188083756518462,"Area harvested"
"Angola","Not_Specified",85303.67,0.0188083756518462,"Area harvested"
"Angola","Asia_West",50448.33,0.0111232159372311,"Area harvested"
"Angola","Asia_West",50448.33,0.0111232159372311,"Area harvested"
"Angola","Mediterranean_SouthandEast",21827.67,0.00481272396562226,"Area harvested"
"Angola","Mediterranean_SouthandEast",21827.67,0.00481272396562226,"Area harvested"
"Angola","Asia_Central",21179,0.00466970047045397,"Area harvested"
"Angola","Asia_Central",21179,0.00466970047045397,"Area harvested"
"Angola","America_North",15840.33,0.00349259155074112,"Area harvested"
"Angola","America_North",15840.33,0.00349259155074112,"Area harvested"
"Angola","America_Caribbean",2333.33,0.000514469625512269,"Area harvested"
"Angola","America_Caribbean",2333.33,0.000514469625512269,"Area harvested"
"Angola","Europe_Western_south",0,0,"Area harvested"
"Angola","Europe_Western_south",0,0,"Area harvested"
"Angola","Europe_Eastern_south",0,0,"Area harvested"
"Angola","Europe_Eastern_south",0,0,"Area harvested"
"Angola","Europe_Western_north",0,0,"Area harvested"
"Angola","Europe_Western_north",0,0,"Area harvested"
"Angola","Europe_Eastern_north",0,0,"Area harvested"
"Angola","Europe_Eastern_north",0,0,"Area harvested"
"Angola","Pacific_Region_tropical",0,0,"Area harvested"
"Angola","Pacific_Region_tropical",0,0,"Area harvested"
"Angola","America_South_temperate",0,0,"Area harvested"
"Angola","America_South_temperate",0,0,"Area harvested"
"Antigua and Barbuda","America_South_tropical",1220,0.432624113475177,"Area harvested"
"Antigua and Barbuda","America_Central_and_Mexico",1217,0.431560283687943,"Area harvested"
"Antigua and Barbuda","Not_Specified",1051.67,0.372932624113475,"Area harvested"
"Antigua and Barbuda","Africa_Southern",823,0.291843971631206,"Area harvested"
"Antigua and Barbuda","Africa_East",789,0.279787234042553,"Area harvested"
"Antigua and Barbuda","America_Caribbean",720.33,0.255436170212766,"Area harvested"
"Antigua and Barbuda","Asia_South",662.33,0.234868794326241,"Area harvested"
"Antigua and Barbuda","Asia_Southeast",575,0.203900709219858,"Area harvested"
"Antigua and Barbuda","Asia_East",286,0.101418439716312,"Area harvested"
"Antigua and Barbuda","Asia_West",202.67,0.0718687943262411,"Area harvested"
