"Country","Region_crops","HA_value","PV_value","PQ_value","HA_percentage","PV_percentage","PQ_percentage"
"Argentina","Africa_West",1563487,825.32,16084362,0.0276749068705842,0.0181190656997252,0.0403719481754272
"Argentina","America_Caribbean",460475,428.7,1265340,0.00815075708415372,0.00941167482367105,0.00317601909881753
"Argentina","America_Central_and_Mexico",4447977.67,3777.9,39688127.67,0.0787325815818667,0.0829399727463188,0.0996176928542753
"Argentina","America_North",1929886.67,2764.06,5731949.5,0.034160459193477,0.0606821411549247,0.0143872643601385
"Argentina","America_South_andean",366879,679.91,3113147.33,0.00649403682779137,0.0149267362476375,0.00781403842248946
"Argentina","America_South_temperate",177514,193.21,261321.27,0.00314213256536503,0.00424173009722763,0.000655919629860159
"Argentina","America_South_tropical",947102.67,1068.15,3046629.6,0.0167644362819337,0.0234501527009663,0.00764707809491743
"Argentina","Asia_Central",6779937.33,3321.73,60318848,0.120010037944765,0.0729252218615182,0.151401056843751
"Argentina","Asia_East",18635676.67,15696.91,53333822.5,0.329865624922093,0.344609779931025,0.133868556176952
"Argentina","Asia_South",843880.33,1455.88,32662997,0.014937322499431,0.0319623726202151,0.0819845277131995
"Argentina","Asia_Southeast",683163.33,1426.66,29467725.67,0.0120925095860395,0.0313208770793995,0.0739643570318142
"Argentina","Asia_West",7173053.33,5275.19,62995676.17,0.126968489591205,0.115811460025849,0.158119928761317
"Argentina","Europe_Eastern_north",413051.33,213.49,4458612,0.00731132212197539,0.00468695698181837,0.0111911714370976
"Argentina","Europe_Eastern_south",493991.33,433.02,5583952,0.00874402157013523,0.0095065160535247,0.0140157887989634
"Argentina","Europe_Western_north",413051.33,213.49,4458612,0.00731132212197539,0.00468695698181837,0.0111911714370976
"Argentina","Europe_Western_south",363619.67,214.05,4655498,0.00643634421236796,0.00469925121531791,0.0116853577398224
"Argentina","Mediterranean_SouthandEast",5430194.33,4986.44,22171972.83,0.0961185621446959,0.109472245877645,0.0556519268864838
"Argentina","Not_Specified",80120,0,764190,0.00141818482563092,0,0.00191812638115081
"Argentina","Pacific_Region_tropical",5281.33,46.49,75966.67,9.34835504886336e-05,0.00102064092034632,0.000190677284203115
"Armenia","Africa_Central",0,0,0,0,0,0
"Armenia","Africa_East",158.67,0.55,477.87,0.000110090913571826,0.000140288228542278,4.73420544701687e-05
"Armenia","Africa_Southern",5465.67,35.73,176495.33,0.00379227707557902,0.00911363346511924,0.0174851979128014
"Armenia","Africa_West",0,0,0,0,0,0
"Armenia","America_Caribbean",0,0,0,0,0,0
"Armenia","America_Central_and_Mexico",5208.33,11.42,27380.13,0.00361372539158978,0.00291289376355057,0.00271251931667671
"Armenia","America_North",14461,134.23,220381,0.0100335583359311,0.034237979849509,0.0218329028944907
"Armenia","America_South_andean",38051.67,259.43,817820.47,0.0264016078227368,0.0661726820558602,0.0810205730377696
"Armenia","America_South_temperate",0,0,0,0,0,0
"Armenia","America_South_tropical",0,0,0,0,0,0
"Armenia","Asia_Central",173912,235.92,530491.3,0.120666357604484,0.0601759979594439,0.0525551886926373
"Armenia","Asia_East",46006.67,292.75,587527,0.0319210709692918,0.0746715980104578,0.0582056526601268
"Armenia","Asia_South",4071.67,37.79,76892.77,0.00282507008295833,0.00963907664838668,0.00761768201749881
"Armenia","Asia_Southeast",6758.33,51.17,104166.33,0.00468917075641193,0.0130519066445606,0.0103196435616749
"Armenia","Asia_West",175390.33,318.34,682209.63,0.121692075763308,0.0811988266802704,0.0675857565102091
"Armenia","Europe_Eastern_north",12329,48.32,118842.43,0.00855430058251117,0.0123249585512052,0.0117735886212301
"Armenia","Europe_Eastern_south",23293,120.56,312388.8,0.0161615154082596,0.0307511796964673,0.0309480142831118
"Armenia","Europe_Western_north",12329,48.32,118842.43,0.00855430058251117,0.0123249585512052,0.0117735886212301
"Armenia","Europe_Western_south",15987.67,81.14,269034.47,0.0110928165134233,0.0206963397525826,0.0266529485698892
"Armenia","Mediterranean_SouthandEast",170721.67,280.92,753120.57,0.118452792694321,0.0716541257492667,0.074610825219295
"Armenia","Not_Specified",16487,3.66,250922.1,0.0114392695031115,0.000933554393572248,0.0248585760268883
"Armenia","Pacific_Region_tropical",0,0,0,0,0,0
"Australia","Africa_Central",672913.33,480.27,2403160.67,0.00899826341823698,0.00763542518048026,0.0109673050594915
"Australia","Africa_East",1331975.67,3413.43,4706286.67,0.0178113100320701,0.0542673691336264,0.0214780818659572
"Australia","Africa_Southern",1011631,3348.76,4481501.67,0.0135276295092185,0.0532392329884962,0.0204522304950633
"Australia","Africa_West",715049.33,573.29,2517561.33,0.00956171016611287,0.00911427509883509,0.0114893953853236
"Australia","America_Caribbean",322538.67,2829.61,2107762.67,0.00431301890724592,0.0449856860618793,0.00961919711964093
