"Country","Region_crops","Fat_value","Calories_value","Food_weight_value","Protein_value","Fat_percentage","Calories_percentage","Food_weight_percentage","Protein_percentage"
"Afghanistan","Africa_Central",5.67,231.67,55.67,4.77,0.113604488078541,0.0369549161826706,0.0260177876234408,0.0322493408153607
"Afghanistan","Africa_East",1.67,44.33,10.67,2.13,0.0334602284111401,0.0070713145179686,0.0049867036813744,0.0144006490433372
"Afghanistan","Africa_Southern",0.5,32.33,8.67,1.83,0.0100180324584252,0.00515713057446255,0.00405198883950479,0.0123723886146981
"Afghanistan","Africa_West",5.67,236,57,4.87,0.113604488078541,0.037645617555619,0.0266393729932841,0.032925427624907
"Afghanistan","America_Caribbean",0.33,2.33,0,0,0.00661190142256061,0.000371670715697425,0,0
"Afghanistan","America_Central_and_Mexico",5.87,71.33,12.67,0.6,0.117611701061911,0.0113782283908572,0.00592141852324402,0.00405652085727807
"Afghanistan","America_North",1.37,28.33,26.67,0.17,0.027449408936085,0.00451906925996054,0.0124644224163313,0.00114934757622879
"Afghanistan","America_South_andean",0.03,15,20,0.23,0.00060108194750551,0.00239272992938256,0.00934714841869617,0.0015549996619566
"Afghanistan","America_South_temperate",0,1,3.33,0.33,0,0.000159515328625504,0.00155630021171291,0.00223108647150294
"Afghanistan","America_South_tropical",5.57,50,8.67,0.33,0.111600881586856,0.00797576643127521,0.00405198883950479,0.00223108647150294
"Afghanistan","Asia_Central",5,1412.33,457,38.07,0.100180324584252,0.225288284077658,0.213582341367207,0.257386248394294
"Afghanistan","Asia_East",1.6,198.33,89,3.7,0.0320577038669605,0.0316366751262963,0.0415948104631979,0.0250152119532148
"Afghanistan","Asia_South",1.53,287.67,83.67,5.5,0.030655179322781,0.0458877745856988,0.0391037954096154,0.037184774525049
"Afghanistan","Asia_Southeast",0.3,250,73.67,3.47,0.0060108194750551,0.0398788321563761,0.0344302212002673,0.0234602122912582
"Afghanistan","Asia_West",6.43,1465,487,40.27,0.128831897415348,0.233689956436364,0.227603063995252,0.272260158204313
"Afghanistan","Europe_Eastern_north",0,86.33,28.67,0,0,0.0137709583202398,0.013399137258201,0
"Afghanistan","Europe_Eastern_south",0.4,89.67,29,0,0.00801442596674013,0.014303739517849,0.0135533652071094,0
"Afghanistan","Europe_Western_north",0,86.33,28.67,0,0,0.0137709583202398,0.013399137258201,0
"Afghanistan","Europe_Western_south",0.4,89.67,29,0,0.00801442596674013,0.014303739517849,0.0135533652071094,0
"Afghanistan","Mediterranean_SouthandEast",5.67,1539.67,508.33,39.97,0.113604488078541,0.24560096602483,0.237571797783791,0.270231897775674
"Afghanistan","Not_Specified",1.9,51.67,122.33,1.67,0.0380685233420156,0.00824215703007981,0.0571718333029551,0.011290649719424
"Afghanistan","Pacific_Region_tropical",0,0,0,0,0,0,0,0
"Albania","Africa_Central",0.13,69.33,26.67,1.87,0.00160197165742452,0.0107777952234453,0.0063454222311047,0.013830337992752
"Albania","Africa_East",7.77,80.33,64.67,1.23,0.0957486136783734,0.0124878161012457,0.0153865187733611,0.00909696028400266
"Albania","Africa_Southern",0,2.67,1,0.2,0,0.000415068703975177,0.000237923593217274,0.00147918053398417
"Albania","Africa_West",0.13,69.33,26.67,1.87,0.00160197165742452,0.0107777952234453,0.0063454222311047,0.013830337992752
"Albania","America_Caribbean",0,0,0,0,0,0,0,0
"Albania","America_Central_and_Mexico",1.7,91.33,35,3.53,0.0209488601355514,0.014197836979046,0.0083273257626046,0.0261075364248206
"Albania","America_North",11.4,198.67,166.67,1,0.140480591497227,0.0308845316175087,0.0396547252815231,0.00739590266992086
"Albania","America_South_andean",0.6,134.67,255.33,5.6,0.00739371534195934,0.0209353192375794,0.0607490310561666,0.0414170549515568
"Albania","America_South_temperate",0,0,0,0,0,0,0,0
"Albania","America_South_tropical",1.03,21,12.67,0.27,0.0126925446703635,0.00326458531216431,0.00301449192606286,0.00199689372087863
"Albania","Asia_Central",6.33,1126,569.67,34.5,0.078003696857671,0.175043955309382,0.135537933348085,0.25515864211227
"Albania","Asia_East",0.97,209,275.67,2.67,0.0119531731361676,0.0324903966782067,0.065588396942206,0.0197470601286887
"Albania","Asia_South",0.13,264,96.67,1.7,0.00160197165742452,0.0410405010672085,0.0230000737563139,0.0125730345388655
"Albania","Asia_Southeast",0.13,246.33,84.33,1.37,0.00160197165742452,0.0382935857116874,0.0200640966160127,0.0101323866577916
"Albania","Asia_West",14.33,1296.67,739,36.37,0.176586568083795,0.201575706510671,0.175825535387566,0.268988980105022
"Albania","Europe_Eastern_north",0.2,200.67,104,0.2,0.00246457178065311,0.0311954445043815,0.0247440536945965,0.00147918053398417
"Albania","Europe_Eastern_south",8.03,276,161.67,0.83,0.0989525569932224,0.0429059783884452,0.0384651073154367,0.00613859921603432
"Albania","Europe_Western_north",0.2,200.67,104,0.2,0.00246457178065311,0.0311954445043815,0.0247440536945965,0.00147918053398417
"Albania","Europe_Western_south",8.03,276,161.67,0.83,0.0989525569932224,0.0429059783884452,0.0384651073154367,0.00613859921603432
"Albania","Mediterranean_SouthandEast",14.27,1443.33,713,35.5,0.1758471965496,0.224374948505053,0.169639521963917,0.262554544782191
"Albania","Not_Specified",5.77,226.67,604.67,5.47,0.0711028958718423,0.0352373120337278,0.143865259110689,0.0404555876044671
"Albania","Pacific_Region_tropical",0,0,0,0,0,0,0,0
"Algeria","Africa_Central",2.17,88.33,29.67,4,0.0242431013294604,0.0104474681478187,0.0078374915800457,0.0218471789830138
"Algeria","Africa_East",4.53,90.67,30.67,3.93,0.0506088705172606,0.0107242379368586,0.00810164700910015,0.0214648533508111
"Algeria","Africa_Southern",0.3,46,13.33,3.03,0.00335158082895766,0.00544077363069921,0.00352119186929589,0.016549238079633
"Algeria","Africa_West",2.17,88.33,29.67,4,0.0242431013294604,0.0104474681478187,0.0078374915800457,0.0218471789830138
"Algeria","America_Caribbean",0.1,3.67,1,0.17,0.00111719360965255,0.000434079113579698,0.000264155429054456,0.000928505106778087
"Algeria","America_Central_and_Mexico",4.07,170.33,52,4.4,0.0454697799128589,0.0201462385329782,0.0137360823108317,0.0240318968813152
"Algeria","America_North",4.9,62,37.33,0.2,0.0547424868729751,0.00733321663268154,0.00986092216660283,0.00109235894915069
"Algeria","America_South_andean",0.43,154.33,243,4.27,0.00480393252150598,0.0182537955309959,0.0641897692602327,0.0233218635643672
"Algeria","America_South_temperate",0,0,1,0.1,0,0,0.000264155429054456,0.000546179474575345
"Algeria","America_South_tropical",4.5,45.67,8.33,0.7,0.0502737124343649,0.00540174199378332,0.00220041472402362,0.00382325632202742
"Algeria","Asia_Central",5.73,1565,660.67,46.53,0.0640151938330913,0.185104581131397,0.174519567313407,0.254137309519908
"Algeria","Asia_East",20.17,252.67,158,1.07,0.22533795106692,0.0298852233319298,0.041736557790604,0.0058441203779562
"Algeria","Asia_South",0.87,436.67,163.33,4.43,0.00971958440397721,0.0516483178547266,0.0431445062274642,0.0241957507236878
"Algeria","Asia_Southeast",0.23,304.33,99.33,0.63,0.00256954530220087,0.0359954486745802,0.0262385587679791,0.00344093068982468
"Algeria","Asia_West",10.47,1739.67,729.33,50.77,0.116970170930622,0.205764144828663,0.192656479072286,0.277295319241903
"Algeria","Europe_Eastern_north",0.1,288.67,113.33,0.1,0.00111719360965255,0.03414322008639,0.0299367347747415,0.000546179474575345
"Algeria","Europe_Eastern_south",5.57,340.67,124.33,0.43,0.0622276840576472,0.0402936598428326,0.0328424444943405,0.00234857174067399
"Algeria","Europe_Western_north",0.1,288.67,113.33,0.1,0.00111719360965255,0.03414322008639,0.0299367347747415,0.000546179474575345
"Algeria","Europe_Western_south",5.57,340.67,124.33,0.43,0.0622276840576472,0.0402936598428326,0.0328424444943405,0.00234857174067399
"Algeria","Mediterranean_SouthandEast",11.6,1995,738,49.9,0.129594458719696,0.235963986809672,0.194946706642188,0.272543557813097
"Algeria","Not_Specified",5.73,151.33,315,3.9,0.0640151938330913,0.0178989624681242,0.0832089601521535,0.0213009995084385
"Algeria","Pacific_Region_tropical",0.2,2,0.67,0,0.00223438721930511,0.000236555375247792,0.000176984137466485,0
"Angola","Africa_Central",9.57,158.33,34.33,1.7,0.0685137457044673,0.0159041551903215,0.00514740500616249,0.0114002145922747
"Angola","Africa_East",0.77,26,11,0.7,0.00551260022909507,0.002611684677246,0.00164932872320965,0.00469420600858369
"Angola","Africa_Southern",0.2,18.67,5.67,0.3,0.00143184421534937,0.00187539049708395,0.000850153987327158,0.0020118025751073
"Angola","Africa_West",9.67,176,40,2,0.069229667812142,0.0176790962767421,0.00599755899348965,0.013412017167382
"Angola","America_Caribbean",0.1,1,0,0,0.000715922107674685,0.000100449410663308,0,0
"Angola","America_Central_and_Mexico",14.9,1179,795.67,20.47,0.106672394043528,0.11842985517204,0.119301944108748,0.137271995708154
"Angola","America_North",0.6,13.67,13.67,0,0.00429553264604811,0.00137314344376742,0.00204966578602509,0
"Angola","America_South_andean",0.5,137.33,113,6.43,0.00357961053837342,0.013794717566392,0.0169431041566083,0.043119635193133
"Angola","America_South_temperate",0,0,0,0,0,0,0,0
"Angola","America_South_tropical",15.5,824.33,710.67,7.77,0.110967926689576,0.0828034626920844,0.106557131247582,0.052105686695279
"Angola","Asia_Central",0.97,309.33,228,8.33,0.00694444444444444,0.0310720162004809,0.034186086262891,0.0558610515021459
"Angola","Asia_East",9.57,182.33,48.67,1.7,0.0685137457044673,0.0183149410462409,0.00729752990532853,0.0114002145922747
"Angola","Asia_South",0.6,296.33,202.67,3.1,0.00429553264604811,0.0297661738618579,0.0303881320302637,0.0207886266094421
"Angola","Asia_Southeast",0.43,294.33,202.67,3,0.00307846506300115,0.0295652750405313,0.0303881320302637,0.020118025751073
"Angola","Asia_West",1.53,322.33,239.33,8.43,0.0109536082474227,0.032377858539104,0.035884894847797,0.056531652360515
"Angola","Europe_Eastern_north",0,121.33,37.67,0,0,0.0121875269957791,0.00564820118211888,0
"Angola","Europe_Eastern_south",0.4,124.33,37.67,0,0.00286368843069874,0.012488875227769,0.00564820118211888,0
"Angola","Europe_Western_north",0,121.33,37.67,0,0,0.0121875269957791,0.00564820118211888,0
"Angola","Europe_Western_south",0.4,124.33,37.67,0,0.00286368843069874,0.012488875227769,0.00564820118211888,0
"Angola","Mediterranean_SouthandEast",1.37,441,275.33,8.33,0.00980813287514318,0.0442981901025187,0.0412826979419376,0.0558610515021459
"Angola","Not_Specified",2.73,106,263,2.3,0.0195446735395189,0.0106476375303106,0.0394339503821944,0.0154238197424893
"Angola","Pacific_Region_tropical",0.03,0.33,0.33,0,0.000214776632302405,3.31483055188915e-05,4.94798616962896e-05,0
"Antigua and Barbuda","Africa_Central",0.5,131.33,35.33,3.2,0.0100725221595488,0.0264635237412044,0.0144361406103795,0.0451594693762348
"Antigua and Barbuda","Africa_East",1.17,24,8.33,0.97,0.0235697018533441,0.00483609662521057,0.00340370934855536,0.0136889641546712
"Antigua and Barbuda","Africa_Southern",0.2,9.33,2,0.53,0.0040290088638195,0.00188003256305061,0.00081721713050549,0.00747953711543889
"Antigua and Barbuda","Africa_West",0.5,134.67,39,3.3,0.0100725221595488,0.0271365471882128,0.015935734044857,0.0465707027942422
"Antigua and Barbuda","America_Caribbean",0.2,6,4.33,0.07,0.0040290088638195,0.00120902415630264,0.00176927508754439,0.000987863392605137
"Antigua and Barbuda","America_Central_and_Mexico",2.13,73.67,31,1.77,0.0429089443996777,0.014844801599136,0.0126668655228351,0.0249788314987299
"Antigua and Barbuda","America_North",0,16.33,23,0.03,0,0.00329056074540369,0.00939799700081313,0.000423370025402202
"Antigua and Barbuda","America_South_andean",0.2,43.33,74.67,1.7,0.0040290088638195,0.00873116944876559,0.0305108015674225,0.0239909681061248
"Antigua and Barbuda","America_South_temperate",0,0.33,2,0.2,0,6.64963285966454e-05,0.00081721713050549,0.00282246683601468
"Antigua and Barbuda","America_South_tropical",2.43,49.67,40.67,0.97,0.0489524576954069,0.0100087049739254,0.0166181103488291,0.0136889641546712
"Antigua and Barbuda","Asia_Central",3.9,514.67,245.33,13.57,0.0785656728444803,0.10370807708738,0.100243939313456,0.191504374823596
"Antigua and Barbuda","Asia_East",11.53,256.67,205.67,3.1,0.232272360999194,0.0517200383663666,0.084038523615532,0.0437482359582275
"Antigua and Barbuda","Asia_South",1.13,429,149.67,3.77,0.0227639000805802,0.086445227175639,0.0611564439613783,0.0532034998588767
"Antigua and Barbuda","Asia_Southeast",1.13,420,142,3.1,0.0227639000805802,0.084631690941185,0.0580224162658898,0.0437482359582275
"Antigua and Barbuda","Asia_West",4.87,547.67,260,14.43,0.0981063658340048,0.110357709947045,0.106238226965714,0.203640982218459
"Antigua and Barbuda","Europe_Eastern_north",0.3,293.67,96,0.73,0.00604351329572925,0.0591756873302329,0.0392264222642635,0.0103020039514536
"Antigua and Barbuda","Europe_Eastern_south",0.97,288.67,90.33,0.3,0.0195406929895246,0.0581681671999807,0.0369096116992804,0.00423370025402202
"Antigua and Barbuda","Europe_Western_north",0.3,293.67,96,0.73,0.00604351329572925,0.0591756873302329,0.0392264222642635,0.0103020039514536
"Antigua and Barbuda","Europe_Western_south",0.97,288.67,90.33,0.3,0.0195406929895246,0.0581681671999807,0.0369096116992804,0.00423370025402202
"Antigua and Barbuda","Mediterranean_SouthandEast",4.87,814,320.67,14.23,0.0981063658340048,0.164024277205059,0.131028508619598,0.200818515382444
"Antigua and Barbuda","Not_Specified",11.77,317,483.33,3.73,0.237107171635778,0.0638767762579896,0.197492777843609,0.0526390064916737
"Antigua and Barbuda","Pacific_Region_tropical",0.57,10.33,7.67,0.13,0.0114826752618856,0.00208153658910105,0.00313402769548855,0.00183460344340954
