"Country","Region_crops","Fat_value","Calories_value","Food_weight_value","Protein_value","Fat_percentage","Calories_percentage","Food_weight_percentage","Protein_percentage"
"Argentina","Africa_Central",0.43,89,25.67,2.13,0.00765942287139295,0.0124226550144954,0.00759689968363515,0.0214479911388581
"Argentina","Africa_East",0.77,11.67,4,0.5,0.013715710723192,0.00162890319122653,0.00118377868073785,0.00503473970395731
"Argentina","Africa_Southern",0.43,7.33,1,0.3,0.00765942287139295,0.00102312428377811,0.000295944670184462,0.00302084382237438
"Argentina","Africa_West",0.43,89,25.67,2.13,0.00765942287139295,0.0124226550144954,0.00759689968363515,0.0214479911388581
"Argentina","America_Caribbean",0.43,4.33,0,0,0.00765942287139295,0.000604383103514216,0,0
"Argentina","America_Central_and_Mexico",2.13,127,58.33,2.37,0.0379408621303883,0.0177267099645047,0.0172624526118597,0.0238646661967576
"Argentina","America_North",30.43,316,100,0,0.542037762736017,0.0441074043211298,0.0295944670184462,0
"Argentina","America_South_andean",0.3,75.33,141.33,2.77,0.00534378339864624,0.0105145910364263,0.0418258602371701,0.0278924579599235
"Argentina","America_South_temperate",0,6,15,1.5,0,0.000837482360527781,0.00443917005276693,0.0151042191118719
"Argentina","America_South_tropical",1.03,42.33,47,1.9,0.0183469896686854,0.0059084380535235,0.0139093994986697,0.0191320108750378
"Argentina","Asia_Central",2.6,946.33,466.67,24.17,0.0463127894549341,0.132089113706376,0.138108499234983,0.243379317289296
"Argentina","Asia_East",7.83,238.33,243,3.6,0.139472746704667,0.0332661951640977,0.0719145548548243,0.0362501258684926
"Argentina","Asia_South",0.67,521,208,3.8,0.0119344495903099,0.0727213849724957,0.0615564913983682,0.0382640217500755
"Argentina","Asia_Southeast",0.6,515,194,3.43,0.0106875667972925,0.0718839026119679,0.0574132660157857,0.0345383143691471
"Argentina","Asia_West",2.83,982.67,500.67,24.37,0.0504096900605629,0.137161465203306,0.148170618021255,0.245393213170879
"Argentina","Europe_Eastern_north",0.2,424,151.67,0.3,0.00356252226576416,0.0591820868106299,0.0448859281268774,0.00302084382237438
"Argentina","Europe_Eastern_south",0.5,421.67,149,0.1,0.0089063056644104,0.0588568644939583,0.0440957558574849,0.00100694794079146
"Argentina","Europe_Western_north",0.2,424,151.67,0.3,0.00356252226576416,0.0591820868106299,0.0448859281268774,0.00302084382237438
"Argentina","Europe_Western_south",0.5,421.67,149,0.1,0.0089063056644104,0.0588568644939583,0.0440957558574849,0.00100694794079146
"Argentina","Mediterranean_SouthandEast",2.8,1370.67,581.33,23.97,0.0498753117206982,0.191318657850769,0.172041515118333,0.241365421407713
"Argentina","Not_Specified",0.63,127,165,1.57,0.0112219451371571,0.0177267099645047,0.0488308705804363,0.0158090826704259
"Argentina","Pacific_Region_tropical",0.4,4,1,0,0.00712504453152832,0.000558321573685188,0.000295944670184462,0
"Armenia","Africa_Central",0.17,45.67,20,1.4,0.00171717171717172,0.00336799906784523,0.00264177062034058,0.00604281767955801
"Armenia","Africa_East",0.53,10,12.67,0.63,0.00535353535353535,0.000737464214548989,0.00167356168798576,0.0027192679558011
"Armenia","Africa_Southern",0,0,0,0,0,0,0,0
"Armenia","Africa_West",0.17,45.67,20,1.4,0.00171717171717172,0.00336799906784523,0.00264177062034058,0.00604281767955801
"Armenia","America_Caribbean",0,0,0,0,0,0,0,0
"Armenia","America_Central_and_Mexico",3.6,39.33,5.33,0.4,0.0363636363636364,0.00290044675582117,0.000704031870320764,0.00172651933701657
"Armenia","America_North",11.8,138.33,77.33,0.33,0.119191919191919,0.0102013424798562,0.0102144061035468,0.00142437845303867
"Armenia","America_South_andean",0.63,133,368.67,4.1,0.00636363636363636,0.00980827405350155,0.048697078730048,0.0176968232044199
"Armenia","America_South_temperate",0,0,0,0,0,0,0,0
"Armenia","America_South_tropical",3.63,40.33,7,0.6,0.0366666666666667,0.00297419317727607,0.000924619717119202,0.00258977900552486
"Armenia","Asia_Central",4,1094,491,31.97,0.0404040404040404,0.0806785850716594,0.0648554687293612,0.13799205801105
"Armenia","Asia_East",1.13,114.67,153.67,1.37,0.0114141414141414,0.00845650214823326,0.0202980445613868,0.00591332872928177
"Armenia","Asia_South",1.73,401.33,122,1,0.0174747474747475,0.0295966513224946,0.0161148007840775,0.00431629834254144
"Armenia","Asia_Southeast",1.57,398.33,121.67,0.93,0.0158585858585859,0.0293754120581299,0.0160712115688419,0.00401415745856354
"Armenia","Asia_West",4.57,1108.67,498.33,32.27,0.0461616161616162,0.0817604450744028,0.065823677661716,0.139286947513812
"Armenia","Europe_Eastern_north",0.2,370,162.33,0.2,0.00202020202020202,0.0272861759383126,0.0214419312399943,0.000863259668508287
"Armenia","Europe_Eastern_south",0.57,372,163.67,0.1,0.00575757575757576,0.0274336687812224,0.0216189298715571,0.000431629834254144
"Armenia","Europe_Western_north",0.2,370,162.33,0.2,0.00202020202020202,0.0272861759383126,0.0214419312399943,0.000863259668508287
"Armenia","Europe_Western_south",0.57,372,163.67,0.1,0.00575757575757576,0.0274336687812224,0.0216189298715571,0.000431629834254144
"Armenia","Mediterranean_SouthandEast",4.3,1430.33,550,31.67,0.0434343434343434,0.105481718999586,0.0726486920593659,0.136697168508287
"Armenia","Not_Specified",8.73,284,684,7.17,0.0881818181818182,0.0209439836931913,0.0903485552156477,0.0309478591160221
"Armenia","Pacific_Region_tropical",1.4,12.33,1.67,0,0.0141414141414141,0.000909293376538904,0.000220587846798438,0
"Australia","Africa_Central",15.3,254.33,63.67,3.37,0.0668414154652687,0.031929544841093,0.0157897608348461,0.0355635289151541
"Australia","Africa_East",12.3,137.67,37.67,2.2,0.053735255570118,0.0172836096342282,0.00934192383616542,0.0232165470662727
"Australia","Africa_Southern",7.17,76.67,11,0.87,0.0313237221494102,0.00962544018781347,0.00272793103790336,0.00918108906711693
"Australia","Africa_West",15.3,254.33,63.67,3.37,0.0668414154652687,0.031929544841093,0.0157897608348461,0.0355635289151541
"Australia","America_Caribbean",7.07,62.67,6.67,0,0.0308868501529052,0.00786782752798057,0.00165411818389231,0
"Australia","America_Central_and_Mexico",23.9,261,51,1.73,0.104412407164701,0.0327669217297419,0.0126476802666429,0.0182566483748417
"Australia","America_North",3.97,91.33,90.67,0.17,0.0173438182612495,0.0114659117301813,0.0224855915642453,0.00179400590966653
"Australia","America_South_andean",0.27,96.67,215.33,2.87,0.00117955439056356,0.0121363154161462,0.0534004900356119,0.0302870409455466
"Australia","America_South_temperate",0,1,1.67,0.2,0,0.000125543761416636,0.000414149530299874,0.00211059518784297
"Australia","America_South_tropical",24.87,241.67,61.67,1.83,0.108650065530799,0.0303401608215584,0.0152937733734091,0.0193119459687632
"Australia","Asia_Central",2.6,687.33,528.67,19.77,0.0113586719091306,0.0862899935344963,0.131106845618943,0.208632334318278
"Australia","Asia_East",3.77,226.67,252.33,2.73,0.0164700742682394,0.0284570044003088,0.0625762580721959,0.0288096243140566
"Australia","Asia_South",2.7,539,180.33,3.33,0.0117955439056356,0.0676680874035667,0.0447207094604648,0.0351414098775855
"Australia","Asia_Southeast",2.1,517,172,2.47,0.00917431192660551,0.0649061246524007,0.0426549216835798,0.0260658505698607
"Australia","Asia_West",7.9,803.67,560.67,21.73,0.0345128877238969,0.100895754737708,0.139042645001934,0.229316167159139
"Australia","Europe_Eastern_north",0.17,402.67,179.33,0.23,0.000742682394058541,0.0505527064096367,0.0444727157297464,0.00242718446601942
"Australia","Europe_Eastern_south",29.1,667,216.67,0.93,0.127129750982962,0.0837376888648961,0.0537328016347747,0.00981426762346982
"Australia","Europe_Western_north",0.17,402.67,179.33,0.23,0.000742682394058541,0.0505527064096367,0.0444727157297464,0.00242718446601942
"Australia","Europe_Western_south",29.1,667,216.67,0.93,0.127129750982962,0.0837376888648961,0.0537328016347747,0.00981426762346982
"Australia","Mediterranean_SouthandEast",31.67,1377.33,657.67,21.2,0.138357361293141,0.172915188911975,0.163098036881628,0.223723089911355
"Australia","Not_Specified",7.67,180.67,278.67,4.5,0.0335080821319353,0.0226819913751436,0.0691084129393209,0.0474883917264669
"Australia","Pacific_Region_tropical",1.8,17,7,0.1,0.00786369593709043,0.00213424394408281,0.00173595611502941,0.00105529759392149
"Austria","Africa_Central",2.43,65.33,31,1.83,0.0140154573768601,0.00805980018900373,0.00659807506481012,0.0189539098912481
"Austria","Africa_East",3.67,46.67,26.33,1.53,0.0211673780136117,0.00575770510976281,0.00560410698246615,0.0158467115484205
"Austria","Africa_Southern",0.13,2.33,0.33,0.1,0.00074979813127235,0.000287453458447554,7.02375732705594e-05,0.00103573278094252
"Austria","Africa_West",2.43,65.33,31,1.83,0.0140154573768601,0.00805980018900373,0.00659807506481012,0.0189539098912481
"Austria","America_Caribbean",0.23,3.67,1,0.1,0.00132656592455877,0.000452770039700654,0.000212841131122907,0.00103573278094252
"Austria","America_Central_and_Mexico",6.33,166,45.67,3,0.0365094013150306,0.0204795167821004,0.00972045445838317,0.0310719834282755
"Austria","America_North",12.9,188.67,121.33,0.37,0.0744030453339486,0.0232763278992704,0.0258240144391423,0.00383221128948731
"Austria","America_South_andean",0.3,121.33,207.33,2.87,0.00173030337985927,0.014968552838387,0.0441283517157124,0.0297255308130502
"Austria","America_South_temperate",0,0,0.67,0.03,0,0,0.000142603557852348,0.000310719834282755
"Austria","America_South_tropical",4.47,50.33,15,0.9,0.0257815203599031,0.00620924144363321,0.00319261696684361,0.00932159502848265
"Austria","Asia_Central",3.67,854.67,679.67,22.9,0.0211673780136117,0.105441136193721,0.144661731590306,0.237182806835836
"Austria","Asia_East",5.43,232.67,307.67,3.17,0.0313184911754528,0.0287046335523572,0.0654848308125849,0.0328327291558778
"Austria","Asia_South",3.4,490.33,169.33,1.23,0.0196101049717384,0.0604922979745018,0.0360403887330419,0.012739513205593
"Austria","Asia_Southeast",2.93,482,161.33,1,0.0168992963432922,0.059464621017906,0.0343376596840586,0.0103573278094252
"Austria","Asia_West",7.1,994,696,25.43,0.040950513323336,0.122630359526553,0.148137427261543,0.263386846193682
"Austria","Europe_Eastern_north",0.77,479.33,249.67,0.9,0.00444111200830546,0.0591352215612301,0.0531400452074562,0.00932159502848265
"Austria","Europe_Eastern_south",32.43,752.67,279.67,0.63,0.187045795362787,0.0928573367252019,0.0595252791411435,0.00652511651993786
"Austria","Europe_Western_north",0.77,479.33,249.67,0.9,0.00444111200830546,0.0591352215612301,0.0531400452074562,0.00932159502848265
"Austria","Europe_Western_south",32.43,752.67,279.67,0.63,0.187045795362787,0.0928573367252019,0.0595252791411435,0.00652511651993786
"Austria","Mediterranean_SouthandEast",35.13,1540,762,22.5,0.20261852578152,0.18999069785804,0.162184941915655,0.233039875712066
"Austria","Not_Specified",13.6,313,379.33,4.7,0.0784404198869535,0.0386149924867315,0.0807370262688524,0.0486794407042983
"Austria","Pacific_Region_tropical",2.83,25.33,4.67,0,0.0163225285500058,0.00312497686801568,0.000993968082343977,0
"Azerbaijan","Africa_Central",0.27,24.67,7.67,0.43,0.00752508361204013,0.00354964028776978,0.00208746108123408,0.00267579340385812
"Azerbaijan","Africa_East",0.17,1.67,1,0,0.00473801560758082,0.000240287769784173,0.000272159202246946,0
"Azerbaijan","Africa_Southern",0,0,0,0,0,0,0,0
"Azerbaijan","Africa_West",0.27,24.67,7.67,0.43,0.00752508361204013,0.00354964028776978,0.00208746108123408,0.00267579340385812
"Azerbaijan","America_Caribbean",0,0,0,0,0,0,0,0
"Azerbaijan","America_Central_and_Mexico",5.3,132,37,2.13,0.147714604236343,0.0189928057553957,0.010069890483137,0.0132545115121344
"Azerbaijan","America_North",1.87,35,36.33,0.2,0.0521181716833891,0.00503597122302158,0.00988754381763156,0.00124455507156192
"Azerbaijan","America_South_andean",0.47,159.33,328,4.3,0.0130992196209588,0.0229251798561151,0.0892682183369984,0.0267579340385812
"Azerbaijan","America_South_temperate",0,1.33,3.67,0.37,0,0.00019136690647482,0.000998824272246293,0.00230242688238955
"Azerbaijan","America_South_tropical",2.27,26.33,8,0.7,0.0632664437012263,0.00378848920863309,0.00217727361797557,0.00435594275046671
"Azerbaijan","Asia_Central",6.47,1679.67,780,48.53,0.180323299888517,0.241679136690648,0.212284177752618,0.301991288114499
"Azerbaijan","Asia_East",1.43,71.33,88.67,1.07,0.0398550724637681,0.010263309352518,0.0241323564632367,0.00665836963285626
"Azerbaijan","Asia_South",0.13,181.67,59.33,0.87,0.0036231884057971,0.0261395683453237,0.0161472054693113,0.00541381456129434
"Azerbaijan","Asia_Southeast",0.13,181.33,56.33,0.87,0.0036231884057971,0.0260906474820144,0.0153307278625705,0.00541381456129434
"Azerbaijan","Asia_West",6.63,1686.67,782.67,48.73,0.184782608695652,0.242686330935252,0.213010842822618,0.303235843186061
"Azerbaijan","Europe_Eastern_north",0.1,168.33,71.33,0,0.00278706800445931,0.0242201438848921,0.0194131158962747,0
"Azerbaijan","Europe_Eastern_south",0.27,169.67,71.33,0,0.00752508361204013,0.0244129496402878,0.0194131158962747,0
"Azerbaijan","Europe_Western_north",0.1,168.33,71.33,0,0.00278706800445931,0.0242201438848921,0.0194131158962747,0
"Azerbaijan","Europe_Western_south",0.27,169.67,71.33,0,0.00752508361204013,0.0244129496402878,0.0194131158962747,0
"Azerbaijan","Mediterranean_SouthandEast",6.53,1823,771.33,48.17,0.181995540691193,0.262302158273381,0.209924557469137,0.299751088985688
"Azerbaijan","Not_Specified",3.17,245.33,421.33,3.9,0.0883500557413601,0.0352992805755396,0.114668836682706,0.0242688238954574
"Azerbaijan","Pacific_Region_tropical",0.03,0,0,0,0.000836120401337793,0,0,0
"Bahamas","Africa_Central",0.47,223,68.67,4.87,0.00856413994169096,0.0412912495880133,0.021290712635838,0.0720307646797811
"Bahamas","Africa_East",1.2,20,12.33,0.67,0.021865889212828,0.00370325108412675,0.00382284093199188,0.00990977666025736
"Bahamas","Africa_Southern",0,5.67,2,0.37,0,0.00104987168234993,0.000620087742415552,0.00547256323029138
"Bahamas","Africa_West",0.47,223,68.67,4.87,0.00856413994169096,0.0412912495880133,0.021290712635838,0.0720307646797811
"Bahamas","America_Caribbean",0,1,1,0,0,0.000185162554206338,0.000310043871207776,0
