"Region","Region_crops","HA_value","PV_value","PQ_value","HA_percentage","PV_percentage","PQ_percentage"
"Africa_Central","Africa_Central",1856549,958.87,4728729,0.156267854804102,0.0671526968019357,0.0958859751440464
"Africa_Central","Africa_East",2238957.33,565.63,2152301.67,0.188455601741198,0.0396128566876416,0.0436429206309157
"Africa_Central","Africa_Southern",2012808.33,497.6,2195648.67,0.169420381504031,0.0348485007651123,0.0445218818411202
"Africa_Central","Africa_West",2446580.67,1155.6,6155641,0.205931495967024,0.0809303205067599,0.124819933627339
"Africa_Central","America_Caribbean",189583.67,77.02,363175.67,0.0159574745491709,0.00539395403723663,0.00736423112141601
"Africa_Central","America_Central_and_Mexico",6563300.33,5383.03,28399919.49,0.55244050278455,0.376990605051492,0.575874399719472
"Africa_Central","America_North",170138.33,0,186140,0.0143207380193318,0,0.00377442129022678
"Africa_Central","America_South_andean",1282662,820.42,2445109.67,0.10796312899834,0.0574566057028003,0.0495802836326817
"Africa_Central","America_South_temperate",0,0,0,0,0,0
"Africa_Central","America_South_tropical",4084452,4987.61,27259778.99,0.343793000933626,0.349298092646868,0.552755400165105
"Africa_Central","Asia_Central",29143.67,79.39,133637.33,0.00245305606909306,0.00555993262809941,0.00270980758311519
"Africa_Central","Asia_East",858505,62.74,832057.67,0.0722613487112893,0.00439388050241789,0.0168719038591624
"Africa_Central","Asia_South",2127334.33,2373.58,14124535.37,0.179060166039367,0.166229309578085,0.286407795288972
"Africa_Central","Asia_Southeast",1995209,2373.75,14022770.04,0.1679390257493,0.166241215215404,0.284344266610778
"Africa_Central","Asia_West",337728,79.39,342982.33,0.0284269524086246,0.00555993262809941,0.00695476420180288
"Africa_Central","Europe_Eastern_north",139.33,1.82,1129.67,1.17275656122491e-05,0.000127460352476898,2.29066858221258e-05
"Africa_Central","Europe_Eastern_south",12597.67,8.22,68116,0.0010603603063695,0.000575672580967088,0.00138121027508911
"Africa_Central","Europe_Western_north",139.33,1.82,1129.67,1.17275656122491e-05,0.000127460352476898,2.29066858221258e-05
"Africa_Central","Europe_Western_south",12400.33,8.22,67563.67,0.00104374997264438,0.000575672580967088,0.00137001050012816
