"Region","Region_crops","Average","Percentage","Element"
"Africa_East","Asia_Southeast",6272216.63,0.147216063463359,"Area harvested"
"Africa_East","Not_Specified",5015246.67,0.117713547794844,"Area harvested"
"Africa_East","America_South_tropical",4445922.93,0.104350871601844,"Area harvested"
"Africa_East","Mediterranean_SouthandEast",4047756.05,0.0950054417270654,"Area harvested"
"Africa_East","Asia_East",3807202.19,0.0893593688298485,"Area harvested"
"Africa_East","Asia_Central",3431246.72,0.0805352660292224,"Area harvested"
"Africa_East","America_South_andean",3085116.99,0.0724112072946255,"Area harvested"
"Africa_East","America_Caribbean",796605.33,0.0186972338065642,"Area harvested"
"Africa_East","Europe_Eastern_south",714031.67,0.0167591360194407,"Area harvested"
"Africa_East","Europe_Western_south",707121.67,0.0165969504543462,"Area harvested"
"Africa_East","America_North",416663.33,0.00977956260929312,"Area harvested"
"Africa_East","Europe_Eastern_north",167585.33,0.00393341844393662,"Area harvested"
"Africa_East","Europe_Western_north",167585.33,0.00393341844393662,"Area harvested"
"Africa_East","Pacific_Region_tropical",132704.67,0.00311472965190045,"Area harvested"
"Africa_East","America_South_temperate",35.33,8.29235313283571e-07,"Area harvested"
"Africa_Indian_Ocean_Islands","Asia_Southeast",1920446.67,0.563879875752247,"Area harvested"
"Africa_Indian_Ocean_Islands","Asia_South",1883810,0.5531226486705,"Area harvested"
"Africa_Indian_Ocean_Islands","Africa_Central",1683124.67,0.494197597163759,"Area harvested"
"Africa_Indian_Ocean_Islands","Africa_West",1683124.67,0.494197597163759,"Area harvested"
"Africa_Indian_Ocean_Islands","Asia_East",1573541.67,0.462021932309416,"Area harvested"
"Africa_Indian_Ocean_Islands","America_Central_and_Mexico",1053762,0.309404679085642,"Area harvested"
"Africa_Indian_Ocean_Islands","America_South_tropical",783835.33,0.230149045737689,"Area harvested"
"Africa_Indian_Ocean_Islands","Africa_East",180247.33,0.0529240637778681,"Area harvested"
"Africa_Indian_Ocean_Islands","America_South_andean",124939,0.0366844801770049,"Area harvested"
"Africa_Indian_Ocean_Islands","Not_Specified",105665.33,0.0310253620069128,"Area harvested"
"Africa_Indian_Ocean_Islands","America_Caribbean",80097,0.0235180112593951,"Area harvested"
"Africa_Indian_Ocean_Islands","Pacific_Region_tropical",70795,0.0207867661349223,"Area harvested"
"Africa_Indian_Ocean_Islands","Asia_West",38826.33,0.0114001531405794,"Area harvested"
"Africa_Indian_Ocean_Islands","Mediterranean_SouthandEast",36271,0.0106498593753763,"Area harvested"
"Africa_Indian_Ocean_Islands","Europe_Eastern_south",26473.67,0.00777317588845412,"Area harvested"
"Africa_Indian_Ocean_Islands","Africa_Southern",26086,0.0076593485612767,"Area harvested"
"Africa_Indian_Ocean_Islands","Europe_Western_south",25017.67,0.0073456664387409,"Area harvested"
"Africa_Indian_Ocean_Islands","Asia_Central",15286.33,0.00448835887804573,"Area harvested"
"Africa_Indian_Ocean_Islands","Europe_Eastern_north",4836.33,0.00142003899514526,"Area harvested"
"Africa_Indian_Ocean_Islands","Europe_Western_north",4836.33,0.00142003899514526,"Area harvested"
"Africa_Indian_Ocean_Islands","America_North",3990.33,0.00117163721323772,"Area harvested"
"Africa_Indian_Ocean_Islands","America_South_temperate",0,0,"Area harvested"
"Africa_Southern","America_Central_and_Mexico",21917174,0.557822480490648,"Area harvested"
"Africa_Southern","America_South_tropical",8129080.67,0.206896379225168,"Area harvested"
"Africa_Southern","Asia_South",6240369.33,0.158826055714955,"Area harvested"
"Africa_Southern","Africa_East",6181801,0.157335410473977,"Area harvested"
"Africa_Southern","Africa_West",5575033.67,0.14189234025419,"Area harvested"
"Africa_Southern","Africa_Southern",5066959,0.128961135131948,"Area harvested"
"Africa_Southern","Asia_Southeast",5041267.67,0.128307255145974,"Area harvested"
"Africa_Southern","Africa_Central",4301069.33,0.109468180634184,"Area harvested"
"Africa_Southern","Asia_East",3539621,0.0900882644001818,"Area harvested"
"Africa_Southern","America_South_andean",3392192.67,0.0863360088979353,"Area harvested"
"Africa_Southern","Asia_West",2398691.67,0.0610500303228717,"Area harvested"
"Africa_Southern","Mediterranean_SouthandEast",1685583,0.0429004254897492,"Area harvested"
"Africa_Southern","Not_Specified",1648690.67,0.0419614645164194,"Area harvested"
"Africa_Southern","America_North",1377355.33,0.0350556037332922,"Area harvested"
"Africa_Southern","Asia_Central",1220924.33,0.0310742177915813,"Area harvested"
"Africa_Southern","America_Caribbean",1127324,0.0286919595563114,"Area harvested"
"Africa_Southern","Pacific_Region_tropical",754738,0.019209129027335,"Area harvested"
"Africa_Southern","Europe_Eastern_south",356770.33,0.00908029978892658,"Area harvested"
"Africa_Southern","Europe_Western_south",314124,0.00799489153399268,"Area harvested"
"Africa_Southern","Europe_Eastern_north",56086.33,0.00142747489809667,"Area harvested"
"Africa_Southern","Europe_Western_north",56086.33,0.00142747489809667,"Area harvested"
"Africa_Southern","America_South_temperate",613.67,1.56187527462572e-05,"Area harvested"
"Africa_West","Africa_West",55183627.74,0.558812638609949,"Area harvested"
"Africa_West","Africa_East",42432263.7,0.429686959909717,"Area harvested"
"Africa_West","Africa_Southern",40613668.51,0.411271099657191,"Area harvested"
"Africa_West","Africa_Central",33481743.33,0.339050223802817,"Area harvested"
"Africa_West","America_South_tropical",32556770.54,0.329683560055054,"Area harvested"
"Africa_West","Asia_South",31246383.93,0.316414033763972,"Area harvested"
"Africa_West","Asia_Southeast",30358934.07,0.307427342996971,"Area harvested"
"Africa_West","America_Central_and_Mexico",29636093.85,0.300107558720832,"Area harvested"
"Africa_West","Asia_East",23167946.76,0.234608379157829,"Area harvested"
"Africa_West","Not_Specified",3392311.39,0.0343519727946121,"Area harvested"
"Africa_West","America_Caribbean",1924974.85,0.0194931054597298,"Area harvested"
"Africa_West","Asia_West",1721994.19,0.0174376378718465,"Area harvested"
"Africa_West","Pacific_Region_tropical",1559073.67,0.0157878361209748,"Area harvested"
"Africa_West","America_South_andean",1197393.33,0.0121253087844067,"Area harvested"
"Africa_West","Asia_Central",336439.33,0.0034069262465901,"Area harvested"
"Africa_West","Mediterranean_SouthandEast",201452.33,0.00203999107510329,"Area harvested"
"Africa_West","Europe_Eastern_south",81012.67,0.000820368390726916,"Area harvested"
"Africa_West","Europe_Western_south",81012.67,0.000820368390726916,"Area harvested"
"Africa_West","America_North",14692.33,0.000148780716869704,"Area harvested"
"Africa_West","Europe_Eastern_north",4925,4.98726226938337e-05,"Area harvested"
"Africa_West","Europe_Western_north",4925,4.98726226938337e-05,"Area harvested"
"Africa_West","America_South_temperate",0,0,"Area harvested"
"America_Caribbean","Asia_South",1850810.36,0.417009660337011,"Area harvested"
"America_Caribbean","America_Central_and_Mexico",1725038.56,0.388671772927533,"Area harvested"
"America_Caribbean","Asia_Southeast",1719945.02,0.38752413758292,"Area harvested"
"America_Caribbean","Africa_West",1044685.27,0.235380057847622,"Area harvested"
"America_Caribbean","America_South_tropical",992873.75,0.223706304110506,"Area harvested"
"America_Caribbean","Africa_Central",908442.66,0.204682971994089,"Area harvested"
"America_Caribbean","Asia_East",582178.63,0.131171792636695,"Area harvested"
"America_Caribbean","Africa_East",477233.55,0.107526413774194,"Area harvested"
"America_Caribbean","America_South_andean",352260.39,0.0793684694871078,"Area harvested"
"America_Caribbean","Africa_Southern",277602.67,0.0625471942600037,"Area harvested"
"America_Caribbean","Not_Specified",216716,0.0488287009316263,"Area harvested"
"America_Caribbean","Pacific_Region_tropical",132081.62,0.0297595651522948,"Area harvested"
"America_Caribbean","America_North",73935.72,0.0166586000112796,"Area harvested"
"America_Caribbean","Asia_West",58024.24,0.013073553691213,"Area harvested"
"America_Caribbean","America_Caribbean",45689.43,0.0102943738035331,"Area harvested"
"America_Caribbean","Asia_Central",28052.56,0.00632057652691312,"Area harvested"
"America_Caribbean","Mediterranean_SouthandEast",22532.69,0.00507688394578641,"Area harvested"
"America_Caribbean","Europe_Eastern_south",19426.52,0.00437702677800558,"Area harvested"
"America_Caribbean","Europe_Western_south",19192.19,0.00432422943268125,"Area harvested"
"America_Caribbean","Europe_Eastern_north",2182.48,0.000491738788134036,"Area harvested"
"America_Caribbean","Europe_Western_north",2182.48,0.000491738788134036,"Area harvested"
"America_Caribbean","America_South_temperate",0,0,"Area harvested"
"America_Central_and_Mexico","America_Central_and_Mexico",11932681.66,0.54802282906415,"Area harvested"
"America_Central_and_Mexico","Africa_West",4447288.83,0.204247115252549,"Area harvested"
"America_Central_and_Mexico","Africa_Central",4376566.5,0.200999106760499,"Area harvested"
"America_Central_and_Mexico","Africa_East",4119589.79,0.18919714072885,"Area harvested"
"America_Central_and_Mexico","Asia_South",2841473.13,0.130498088173448,"Area harvested"
"America_Central_and_Mexico","Asia_Southeast",2465584.75,0.113234959960578,"Area harvested"
"America_Central_and_Mexico","Africa_Southern",2432382.52,0.111710107414077,"Area harvested"
"America_Central_and_Mexico","America_South_andean",2187395.51,0.100458782847679,"Area harvested"
"America_Central_and_Mexico","Asia_West",1990175.38,0.0914012099842962,"Area harvested"
"America_Central_and_Mexico","Asia_Central",1686356.33,0.0774479528666851,"Area harvested"
"America_Central_and_Mexico","Asia_East",1423093.81,0.0653573034127084,"Area harvested"
"America_Central_and_Mexico","Mediterranean_SouthandEast",1234503.67,0.0566960732717206,"Area harvested"
"America_Central_and_Mexico","America_South_tropical",1200942.02,0.0551547139272645,"Area harvested"
"America_Central_and_Mexico","Not_Specified",459207.08,0.0210896402232428,"Area harvested"
"America_Central_and_Mexico","Europe_Eastern_south",385675.67,0.0177126213366704,"Area harvested"
"America_Central_and_Mexico","America_Caribbean",317937.27,0.0146016534367458,"Area harvested"
"America_Central_and_Mexico","Pacific_Region_tropical",250489,0.0115040101077707,"Area harvested"
"America_Central_and_Mexico","Europe_Western_south",229459.67,0.0105382127079661,"Area harvested"
"America_Central_and_Mexico","Europe_Eastern_north",170304.33,0.00782143221345894,"Area harvested"
"America_Central_and_Mexico","Europe_Western_north",170304.33,0.00782143221345894,"Area harvested"
"America_Central_and_Mexico","America_North",72347.67,0.00332265419620685,"Area harvested"
"America_Central_and_Mexico","America_South_temperate",7200.33,0.000330683858769385,"Area harvested"
"America_North","Asia_West",45107546.33,0.333427475701177,"Area harvested"
"America_North","Mediterranean_SouthandEast",44041633.67,0.325548426706987,"Area harvested"
"America_North","America_Central_and_Mexico",41764446,0.308715834418522,"Area harvested"
"America_North","Asia_Central",41552345.33,0.307148021563546,"Area harvested"
"America_North","Asia_East",34718488.67,0.256633290419058,"Area harvested"
"America_North","Europe_Eastern_south",10912853,0.0806659932656996,"Area harvested"
"America_North","Europe_Western_south",10644446.33,0.0786819758291329,"Area harvested"
"America_North","Africa_East",7559930.67,0.0558817493936165,"Area harvested"
"America_North","Africa_Southern",6033784.33,0.044600729628674,"Area harvested"
"America_North","America_South_tropical",4322991,0.0319548300424903,"Area harvested"
"America_North","America_Caribbean",3767856,0.0278513645077163,"Area harvested"
"America_North","Africa_West",3466841,0.0256263117224479,"Area harvested"
"America_North","Asia_South",3366247,0.0248827376152397,"Area harvested"
"America_North","Africa_Central",3300014.67,0.0243931592542234,"Area harvested"
"America_North","Europe_Eastern_north",2793117,0.0206462560351826,"Area harvested"
"America_North","Europe_Western_north",2793117,0.0206462560351826,"Area harvested"
"America_North","Asia_Southeast",1942885,0.0143614825862704,"Area harvested"
"America_North","America_South_andean",1572352.33,0.01162256675345,"Area harvested"
"America_North","America_North",1315157,0.00972142167637901,"Area harvested"
"America_North","Not_Specified",179925,0.0013299756569919,"Area harvested"
"America_North","Pacific_Region_tropical",36706.33,0.000271327082715083,"Area harvested"
"America_North","America_South_temperate",26407,0.000195196149363263,"Area harvested"
"America_South_andean","America_Central_and_Mexico",4277032.09,0.303011109679768,"Area harvested"
"America_South_andean","Asia_South",3381187.92,0.239544030092845,"Area harvested"
"America_South_andean","Africa_West",3375263.01,0.239124273234334,"Area harvested"
"America_South_andean","Africa_Central",3328674.15,0.235823633475207,"Area harvested"
"America_South_andean","Asia_Southeast",3323565.14,0.235461679962376,"Area harvested"
"America_South_andean","Asia_East",3268948.99,0.231592337888317,"Area harvested"
"America_South_andean","Asia_West",1960681.83,0.138906691494395,"Area harvested"
"America_South_andean","Africa_East",1851837.67,0.131195505557569,"Area harvested"
"America_South_andean","America_South_tropical",1804020.77,0.127807863934696,"Area harvested"
