"Item","Average","Region","Element","Region_crops"
"Apples",0,"Africa_Central","Fat supply quantity (g/capita/day)","Asia_Central"
"Apples",0,"Africa_Central","Fat supply quantity (g/capita/day)","Europe_Western_north"
"Apples",0,"Africa_Central","Fat supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",0,"Africa_Central","Fat supply quantity (g/capita/day)","Asia_East"
"Apples",0,"Africa_Central","Fat supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",0,"Africa_Central","Fat supply quantity (g/capita/day)","Europe_Western_south"
"Apples",35.0860478157371,"America_South_temperate","Food supply quantity (g/capita/day)","Asia_Central"
"Apples",35.0860478157371,"America_South_temperate","Food supply quantity (g/capita/day)","Europe_Western_north"
"Apples",35.0860478157371,"America_South_temperate","Food supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",35.0860478157371,"America_South_temperate","Food supply quantity (g/capita/day)","Asia_East"
"Apples",35.0860478157371,"America_South_temperate","Food supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",35.0860478157371,"America_South_temperate","Food supply quantity (g/capita/day)","Europe_Western_south"
"Apples",0,"Asia_Southeast","Fat supply quantity (g/capita/day)","Asia_Central"
"Apples",0,"Asia_Southeast","Fat supply quantity (g/capita/day)","Europe_Western_north"
"Apples",0,"Asia_Southeast","Fat supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",0,"Asia_Southeast","Fat supply quantity (g/capita/day)","Asia_East"
"Apples",0,"Asia_Southeast","Fat supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",0,"Asia_Southeast","Fat supply quantity (g/capita/day)","Europe_Western_south"
"Apples",2.66056516223201,"Africa_Southern","Food supply (kcal/capita/day)","Asia_Central"
"Apples",2.66056516223201,"Africa_Southern","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",2.66056516223201,"Africa_Southern","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",2.66056516223201,"Africa_Southern","Food supply (kcal/capita/day)","Asia_East"
"Apples",2.66056516223201,"Africa_Southern","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",2.66056516223201,"Africa_Southern","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",21.262228377661,"Europe_Eastern_north","Food supply (kcal/capita/day)","Asia_Central"
"Apples",21.262228377661,"Europe_Eastern_north","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",21.262228377661,"Europe_Eastern_north","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",21.262228377661,"Europe_Eastern_north","Food supply (kcal/capita/day)","Asia_East"
"Apples",21.262228377661,"Europe_Eastern_north","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",21.262228377661,"Europe_Eastern_north","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",0.334369989139342,"Africa_Central","Food supply (kcal/capita/day)","Asia_Central"
"Apples",0.334369989139342,"Africa_Central","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",0.334369989139342,"Africa_Central","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",0.334369989139342,"Africa_Central","Food supply (kcal/capita/day)","Asia_East"
"Apples",0.334369989139342,"Africa_Central","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",0.334369989139342,"Africa_Central","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",0.1,"America_South_temperate","Protein supply quantity (g/capita/day)","Asia_Central"
"Apples",0.1,"America_South_temperate","Protein supply quantity (g/capita/day)","Europe_Western_north"
"Apples",0.1,"America_South_temperate","Protein supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",0.1,"America_South_temperate","Protein supply quantity (g/capita/day)","Asia_East"
"Apples",0.1,"America_South_temperate","Protein supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",0.1,"America_South_temperate","Protein supply quantity (g/capita/day)","Europe_Western_south"
"Apples",50.6314318564997,"Europe_Eastern_north","Food supply quantity (g/capita/day)","Asia_Central"
"Apples",50.6314318564997,"Europe_Eastern_north","Food supply quantity (g/capita/day)","Europe_Western_north"
"Apples",50.6314318564997,"Europe_Eastern_north","Food supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",50.6314318564997,"Europe_Eastern_north","Food supply quantity (g/capita/day)","Asia_East"
"Apples",50.6314318564997,"Europe_Eastern_north","Food supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",50.6314318564997,"Europe_Eastern_north","Food supply quantity (g/capita/day)","Europe_Western_south"
"Apples",0.106568131256873,"America_North","Fat supply quantity (g/capita/day)","Asia_Central"
"Apples",0.106568131256873,"America_North","Fat supply quantity (g/capita/day)","Europe_Western_north"
"Apples",0.106568131256873,"America_North","Fat supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",0.106568131256873,"America_North","Fat supply quantity (g/capita/day)","Asia_East"
"Apples",0.106568131256873,"America_North","Fat supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",0.106568131256873,"America_North","Fat supply quantity (g/capita/day)","Europe_Western_south"
"Apples",17.5299483791484,"Asia_East","Food supply (kcal/capita/day)","Asia_Central"
"Apples",17.5299483791484,"Asia_East","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",17.5299483791484,"Asia_East","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",17.5299483791484,"Asia_East","Food supply (kcal/capita/day)","Asia_East"
"Apples",17.5299483791484,"Asia_East","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",17.5299483791484,"Asia_East","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",1.19575147592766,"Africa_Central","Food supply quantity (g/capita/day)","Asia_Central"
"Apples",1.19575147592766,"Africa_Central","Food supply quantity (g/capita/day)","Europe_Western_north"
"Apples",1.19575147592766,"Africa_Central","Food supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",1.19575147592766,"Africa_Central","Food supply quantity (g/capita/day)","Asia_East"
"Apples",1.19575147592766,"Africa_Central","Food supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",1.19575147592766,"Africa_Central","Food supply quantity (g/capita/day)","Europe_Western_south"
"Apples",5.8031084658661,"America_South_tropical","Food supply (kcal/capita/day)","Asia_Central"
"Apples",5.8031084658661,"America_South_tropical","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",5.8031084658661,"America_South_tropical","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",5.8031084658661,"America_South_tropical","Food supply (kcal/capita/day)","Asia_East"
"Apples",5.8031084658661,"America_South_tropical","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",5.8031084658661,"America_South_tropical","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",0.0765973248192611,"Europe_Eastern_north","Protein supply quantity (g/capita/day)","Asia_Central"
"Apples",0.0765973248192611,"Europe_Eastern_north","Protein supply quantity (g/capita/day)","Europe_Western_north"
"Apples",0.0765973248192611,"Europe_Eastern_north","Protein supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",0.0765973248192611,"Europe_Eastern_north","Protein supply quantity (g/capita/day)","Asia_East"
"Apples",0.0765973248192611,"Europe_Eastern_north","Protein supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",0.0765973248192611,"Europe_Eastern_north","Protein supply quantity (g/capita/day)","Europe_Western_south"
"Apples",20.9244651401629,"America_North","Food supply (kcal/capita/day)","Asia_Central"
"Apples",20.9244651401629,"America_North","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",20.9244651401629,"America_North","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",20.9244651401629,"America_North","Food supply (kcal/capita/day)","Asia_East"
"Apples",20.9244651401629,"America_North","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",20.9244651401629,"America_North","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",0,"Africa_Central","Protein supply quantity (g/capita/day)","Asia_Central"
"Apples",0,"Africa_Central","Protein supply quantity (g/capita/day)","Europe_Western_north"
"Apples",0,"Africa_Central","Protein supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",0,"Africa_Central","Protein supply quantity (g/capita/day)","Asia_East"
"Apples",0,"Africa_Central","Protein supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",0,"Africa_Central","Protein supply quantity (g/capita/day)","Europe_Western_south"
"Apples",1.22210677580208,"America_Caribbean","Food supply (kcal/capita/day)","Asia_Central"
"Apples",1.22210677580208,"America_Caribbean","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",1.22210677580208,"America_Caribbean","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",1.22210677580208,"America_Caribbean","Food supply (kcal/capita/day)","Asia_East"
"Apples",1.22210677580208,"America_Caribbean","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",1.22210677580208,"America_Caribbean","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",0.207728538664331,"Africa_West","Food supply (kcal/capita/day)","Asia_Central"
"Apples",0.207728538664331,"Africa_West","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",0.207728538664331,"Africa_West","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",0.207728538664331,"Africa_West","Food supply (kcal/capita/day)","Asia_East"
"Apples",0.207728538664331,"Africa_West","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",0.207728538664331,"Africa_West","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",59.2019707058478,"America_North","Food supply quantity (g/capita/day)","Asia_Central"
"Apples",59.2019707058478,"America_North","Food supply quantity (g/capita/day)","Europe_Western_north"
"Apples",59.2019707058478,"America_North","Food supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",59.2019707058478,"America_North","Food supply quantity (g/capita/day)","Asia_East"
"Apples",59.2019707058478,"America_North","Food supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",59.2019707058478,"America_North","Food supply quantity (g/capita/day)","Europe_Western_south"
"Apples",0.0012148038124768,"Africa_East","Food supply (kcal/capita/day)","Asia_Central"
"Apples",0.0012148038124768,"Africa_East","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",0.0012148038124768,"Africa_East","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",0.0012148038124768,"Africa_East","Food supply (kcal/capita/day)","Asia_East"
"Apples",0.0012148038124768,"Africa_East","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",0.0012148038124768,"Africa_East","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",1.0778615794556,"Asia_Southeast","Food supply (kcal/capita/day)","Asia_Central"
"Apples",1.0778615794556,"Asia_Southeast","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",1.0778615794556,"Asia_Southeast","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",1.0778615794556,"Asia_Southeast","Food supply (kcal/capita/day)","Asia_East"
"Apples",1.0778615794556,"Asia_Southeast","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",1.0778615794556,"Asia_Southeast","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",0.110881794947865,"Pacific_Region_ausnz","Fat supply quantity (g/capita/day)","Asia_Central"
"Apples",0.110881794947865,"Pacific_Region_ausnz","Fat supply quantity (g/capita/day)","Europe_Western_north"
"Apples",0.110881794947865,"Pacific_Region_ausnz","Fat supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",0.110881794947865,"Pacific_Region_ausnz","Fat supply quantity (g/capita/day)","Asia_East"
"Apples",0.110881794947865,"Pacific_Region_ausnz","Fat supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",0.110881794947865,"Pacific_Region_ausnz","Fat supply quantity (g/capita/day)","Europe_Western_south"
"Apples",0.0699507325791753,"America_North","Protein supply quantity (g/capita/day)","Asia_Central"
"Apples",0.0699507325791753,"America_North","Protein supply quantity (g/capita/day)","Europe_Western_north"
"Apples",0.0699507325791753,"America_North","Protein supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",0.0699507325791753,"America_North","Protein supply quantity (g/capita/day)","Asia_East"
"Apples",0.0699507325791753,"America_North","Protein supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",0.0699507325791753,"America_North","Protein supply quantity (g/capita/day)","Europe_Western_south"
"Apples",2.19096214121373,"Asia_South","Food supply (kcal/capita/day)","Asia_Central"
"Apples",2.19096214121373,"Asia_South","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",2.19096214121373,"Asia_South","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",2.19096214121373,"Asia_South","Food supply (kcal/capita/day)","Asia_East"
"Apples",2.19096214121373,"Asia_South","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",2.19096214121373,"Asia_South","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",0.00158343890398519,"America_Caribbean","Fat supply quantity (g/capita/day)","Asia_Central"
"Apples",0.00158343890398519,"America_Caribbean","Fat supply quantity (g/capita/day)","Europe_Western_north"
"Apples",0.00158343890398519,"America_Caribbean","Fat supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",0.00158343890398519,"America_Caribbean","Fat supply quantity (g/capita/day)","Asia_East"
"Apples",0.00158343890398519,"America_Caribbean","Fat supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",0.00158343890398519,"America_Caribbean","Fat supply quantity (g/capita/day)","Europe_Western_south"
"Apples",2.56353191237986,"Asia_Southeast","Food supply quantity (g/capita/day)","Asia_Central"
"Apples",2.56353191237986,"Asia_Southeast","Food supply quantity (g/capita/day)","Europe_Western_north"
"Apples",2.56353191237986,"Asia_Southeast","Food supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",2.56353191237986,"Asia_Southeast","Food supply quantity (g/capita/day)","Asia_East"
"Apples",2.56353191237986,"Asia_Southeast","Food supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",2.56353191237986,"Asia_Southeast","Food supply quantity (g/capita/day)","Europe_Western_south"
"Apples",21.095058973086,"Pacific_Region_ausnz","Food supply (kcal/capita/day)","Asia_Central"
"Apples",21.095058973086,"Pacific_Region_ausnz","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",21.095058973086,"Pacific_Region_ausnz","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",21.095058973086,"Pacific_Region_ausnz","Food supply (kcal/capita/day)","Asia_East"
"Apples",21.095058973086,"Pacific_Region_ausnz","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",21.095058973086,"Pacific_Region_ausnz","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",15.0021474257479,"America_South_andean","Food supply (kcal/capita/day)","Asia_Central"
"Apples",15.0021474257479,"America_South_andean","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",15.0021474257479,"America_South_andean","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",15.0021474257479,"America_South_andean","Food supply (kcal/capita/day)","Asia_East"
"Apples",15.0021474257479,"America_South_andean","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",15.0021474257479,"America_South_andean","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",4.51162590474885e-05,"Asia_Southeast","Protein supply quantity (g/capita/day)","Asia_Central"
"Apples",4.51162590474885e-05,"Asia_Southeast","Protein supply quantity (g/capita/day)","Europe_Western_north"
"Apples",4.51162590474885e-05,"Asia_Southeast","Protein supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",4.51162590474885e-05,"Asia_Southeast","Protein supply quantity (g/capita/day)","Asia_East"
"Apples",4.51162590474885e-05,"Asia_Southeast","Protein supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",4.51162590474885e-05,"Asia_Southeast","Protein supply quantity (g/capita/day)","Europe_Western_south"
"Apples",7.46655815575382,"America_Central_and_Mexico","Food supply (kcal/capita/day)","Asia_Central"
"Apples",7.46655815575382,"America_Central_and_Mexico","Food supply (kcal/capita/day)","Europe_Western_north"
"Apples",7.46655815575382,"America_Central_and_Mexico","Food supply (kcal/capita/day)","Europe_Eastern_north"
"Apples",7.46655815575382,"America_Central_and_Mexico","Food supply (kcal/capita/day)","Asia_East"
"Apples",7.46655815575382,"America_Central_and_Mexico","Food supply (kcal/capita/day)","Europe_Eastern_south"
"Apples",7.46655815575382,"America_Central_and_Mexico","Food supply (kcal/capita/day)","Europe_Western_south"
"Apples",0.0559285639390876,"Asia_West","Fat supply quantity (g/capita/day)","Asia_Central"
"Apples",0.0559285639390876,"Asia_West","Fat supply quantity (g/capita/day)","Europe_Western_north"
"Apples",0.0559285639390876,"Asia_West","Fat supply quantity (g/capita/day)","Europe_Eastern_north"
"Apples",0.0559285639390876,"Asia_West","Fat supply quantity (g/capita/day)","Asia_East"
"Apples",0.0559285639390876,"Asia_West","Fat supply quantity (g/capita/day)","Europe_Eastern_south"
"Apples",0.0559285639390876,"Asia_West","Fat supply quantity (g/capita/day)","Europe_Western_south"
"Apples",72.6672935816474,"Pacific_Region_ausnz","Food supply quantity (g/capita/day)","Asia_Central"
"Apples",72.6672935816474,"Pacific_Region_ausnz","Food supply quantity (g/capita/day)","Europe_Western_north"
