"Region","Region_crops","Average","Percentage","Element"
"Africa_Central","America_South_tropical",24.5,0.604043392504931,"Fat supply quantity (g/capita/day)"
"Africa_Central","America_Central_and_Mexico",17.42,0.42948717948718,"Fat supply quantity (g/capita/day)"
"Africa_Central","Africa_West",13.91,0.342948717948718,"Fat supply quantity (g/capita/day)"
"Africa_Central","Africa_Central",13.66,0.336785009861933,"Fat supply quantity (g/capita/day)"
"Africa_Central","Asia_East",4.41,0.108727810650888,"Fat supply quantity (g/capita/day)"
"Africa_Central","Not_Specified",3.44,0.0848126232741617,"Fat supply quantity (g/capita/day)"
"Africa_Central","Africa_East",3.41,0.0840729783037475,"Fat supply quantity (g/capita/day)"
"Africa_Central","Asia_South",2.35,0.0579388560157791,"Fat supply quantity (g/capita/day)"
"Africa_Central","Asia_West",2.33,0.0574457593688363,"Fat supply quantity (g/capita/day)"
"Africa_Central","Africa_Southern",2.19,0.0539940828402367,"Fat supply quantity (g/capita/day)"
"Africa_Central","Mediterranean_SouthandEast",1.23,0.0303254437869822,"Fat supply quantity (g/capita/day)"
"Africa_Central","America_Caribbean",0.98,0.0241617357001972,"Fat supply quantity (g/capita/day)"
"Africa_Central","Asia_Southeast",0.93,0.0229289940828402,"Fat supply quantity (g/capita/day)"
"Africa_Central","Asia_Central",0.85,0.020956607495069,"Fat supply quantity (g/capita/day)"
"Africa_Central","Pacific_Region_tropical",0.28,0.00690335305719921,"Fat supply quantity (g/capita/day)"
"Africa_Central","America_South_andean",0.27,0.00665680473372781,"Fat supply quantity (g/capita/day)"
"Africa_Central","Europe_Eastern_south",0.12,0.0029585798816568,"Fat supply quantity (g/capita/day)"
"Africa_Central","Europe_Western_south",0.12,0.0029585798816568,"Fat supply quantity (g/capita/day)"
"Africa_Central","America_North",0.1,0.002465483234714,"Fat supply quantity (g/capita/day)"
"Africa_Central","Europe_Eastern_north",0.04,0.000986193293885602,"Fat supply quantity (g/capita/day)"
"Africa_Central","Europe_Western_north",0.04,0.000986193293885602,"Fat supply quantity (g/capita/day)"
"Africa_Central","America_South_temperate",0,0,"Fat supply quantity (g/capita/day)"
"Africa_East","America_Central_and_Mexico",10.59,0.396777819408018,"Fat supply quantity (g/capita/day)"
"Africa_East","America_South_tropical",10.54,0.394904458598726,"Fat supply quantity (g/capita/day)"
"Africa_East","Africa_West",10.51,0.393780442113151,"Fat supply quantity (g/capita/day)"
