"Element","Item","Average","R_origin","R_recipients"
"Area harvested","Coffee",966561.666666666,"Africa_Central","Africa_East"
"Area harvested","Cowpeas",392404.999999999,"Africa_Central","Africa_East"
"Area harvested","Rice",168889.333333333,"Africa_Central","Africa_East"
"Area harvested","Sorghum",9427831.76,"Africa_East","Africa_East"
"Area harvested","Millets",2966079.33333333,"Africa_East","Africa_East"
"Area harvested","Sesame",2060997,"Africa_East","Africa_East"
"Area harvested","Coffee",966561.666666666,"Africa_East","Africa_East"
"Area harvested","Cowpeas",392404.999999999,"Africa_East","Africa_East"
"Area harvested","NA",NA,"Africa_Indian_Ocean_Islands","Africa_East"
"Area harvested","Sorghum",9427831.76,"Africa_Southern","Africa_East"
"Area harvested","Millets",2966079.33333333,"Africa_Southern","Africa_East"
"Area harvested","Cowpeas",392404.999999999,"Africa_Southern","Africa_East"
"Area harvested","Cottonseed oil",304174.333333333,"Africa_Southern","Africa_East"
"Area harvested","Melons",54555,"Africa_Southern","Africa_East"
"Area harvested","Sorghum",9427831.76,"Africa_West","Africa_East"
"Area harvested","Millets",2966079.33333333,"Africa_West","Africa_East"
"Area harvested","Coffee",966561.666666666,"Africa_West","Africa_East"
"Area harvested","Cowpeas",392404.999999999,"Africa_West","Africa_East"
"Area harvested","Rice",168889.333333333,"Africa_West","Africa_East"
"Area harvested","Chillies & peppers",491949,"America_Caribbean","Africa_East"
"Area harvested","Cottonseed oil",304174.333333333,"America_Caribbean","Africa_East"
"Area harvested","Vanilla",482,"America_Caribbean","Africa_East"
"Area harvested","Maize",5236700.99999999,"America_Central_and_Mexico","Africa_East"
"Area harvested","Beans",2548529.98666667,"America_Central_and_Mexico","Africa_East"
"Area harvested","Sweet potatoes",847670.63,"America_Central_and_Mexico","Africa_East"
"Area harvested","Cassava",693851.333333333,"America_Central_and_Mexico","Africa_East"
"Area harvested","Chillies & peppers",491949,"America_Central_and_Mexico","Africa_East"
"Area harvested","Sunflower",367415.666666667,"America_North","Africa_East"
"Area harvested","Pumpkins & gourds",47097.6666666667,"America_North","Africa_East"
"Area harvested","Grapes",2114.66666666667,"America_North","Africa_East"
"Area harvested","Strawberries",35.3333333333333,"America_North","Africa_East"
"Area harvested","Beans",2548529.98666667,"America_South_andean","Africa_East"
"Area harvested","Potatoes",455611.666666666,"America_South_andean","Africa_East"
"Area harvested","Tomatoes",80975.3333333334,"America_South_andean","Africa_East"
"Area harvested","Strawberries",35.3333333333333,"America_South_temperate","Africa_East"
"Area harvested","Groundnut",1753261.33333333,"America_South_tropical","Africa_East"
"Area harvested","Sweet potatoes",847670.63,"America_South_tropical","Africa_East"
"Area harvested","Cassava",693851.333333333,"America_South_tropical","Africa_East"
"Area harvested","Chillies & peppers",491949,"America_South_tropical","Africa_East"
"Area harvested","Cottonseed oil",304174.333333333,"America_South_tropical","Africa_East"
"Area harvested","Wheat",2028740.05,"Asia_Central","Africa_East"
"Area harvested","Barley",1060474.33333333,"Asia_Central","Africa_East"
"Area harvested","Onions",157344.666666667,"Asia_Central","Africa_East"
"Area harvested","Linseed",111258.333333333,"Asia_Central","Africa_East"
"Area harvested","Hops",22743.6666666667,"Asia_Central","Africa_East"
"Area harvested","Millets",2966079.33333333,"Asia_East","Africa_East"
"Area harvested","Soybean",228568.86,"Asia_East","Africa_East"
"Area harvested","Tea",218926,"Asia_East","Africa_East"
"Area harvested","Rice",168889.333333333,"Asia_East","Africa_East"
"Area harvested","Cabbages",63551.3333333333,"Asia_East","Africa_East"
"Area harvested","Millets",2966079.33333333,"Asia_South","Africa_East"
"Area harvested","Bananas & plantains",2315133.66666667,"Asia_South","Africa_East"
"Area harvested","Sesame",2060997,"Asia_South","Africa_East"
"Area harvested","Pigeonpeas",235120.333333333,"Asia_South","Africa_East"
"Area harvested","Chickpeas",233003.333333333,"Asia_South","Africa_East"
"Area harvested","Millets",2966079.33333333,"Asia_Southeast","Africa_East"
"Area harvested","Bananas & plantains",2315133.66666667,"Asia_Southeast","Africa_East"
"Area harvested","Tea",218926,"Asia_Southeast","Africa_East"
"Area harvested","Sugarcane",211945.333333333,"Asia_Southeast","Africa_East"
"Area harvested","Rice",168889.333333333,"Asia_Southeast","Africa_East"
"Area harvested","Sesame",2060997,"Asia_West","Africa_East"
"Area harvested","Wheat",2028740.05,"Asia_West","Africa_East"
"Area harvested","Barley",1060474.33333333,"Asia_West","Africa_East"
"Area harvested","Faba_beans",546438,"Asia_West","Africa_East"
"Area harvested","Peas",304801.666666666,"Asia_West","Africa_East"
"Area harvested","Linseed",111258.333333333,"Europe_Eastern_north","Africa_East"
"Area harvested","Oats",32165.3333333334,"Europe_Eastern_north","Africa_East"
"Area harvested","Hops",22743.6666666667,"Europe_Eastern_north","Africa_East"
"Area harvested","Lettuce",1250.33333333333,"Europe_Eastern_north","Africa_East"
"Area harvested","Apples",122.333333333333,"Europe_Eastern_north","Africa_East"
"Area harvested","Peas",304801.666666666,"Europe_Eastern_south","Africa_East"
"Area harvested","Vetches",148856,"Europe_Eastern_south","Africa_East"
"Area harvested","Linseed",111258.333333333,"Europe_Eastern_south","Africa_East"
"Area harvested","Cabbages",63551.3333333333,"Europe_Eastern_south","Africa_East"
"Area harvested","Rapeseed",26623.3333333333,"Europe_Eastern_south","Africa_East"
"Area harvested","Linseed",111258.333333333,"Europe_Western_north","Africa_East"
"Area harvested","Oats",32165.3333333334,"Europe_Western_north","Africa_East"
"Area harvested","Hops",22743.6666666667,"Europe_Western_north","Africa_East"
"Area harvested","Lettuce",1250.33333333333,"Europe_Western_north","Africa_East"
"Area harvested","Apples",122.333333333333,"Europe_Western_north","Africa_East"
"Area harvested","Peas",304801.666666666,"Europe_Western_south","Africa_East"
"Area harvested","Vetches",148856,"Europe_Western_south","Africa_East"
"Area harvested","Linseed",111258.333333333,"Europe_Western_south","Africa_East"
"Area harvested","Cabbages",63551.3333333333,"Europe_Western_south","Africa_East"
"Area harvested","Rapeseed",26623.3333333333,"Europe_Western_south","Africa_East"
"Area harvested","Wheat",2028740.05,"Mediterranean_SouthandEast","Africa_East"
"Area harvested","Barley",1060474.33333333,"Mediterranean_SouthandEast","Africa_East"
"Area harvested","Peas",304801.666666666,"Mediterranean_SouthandEast","Africa_East"
"Area harvested","Chickpeas",233003.333333333,"Mediterranean_SouthandEast","Africa_East"
"Area harvested","Linseed",111258.333333333,"Mediterranean_SouthandEast","Africa_East"
"Area harvested","NA",NA,"Pacific_Region_ausnz","Africa_East"
"Area harvested","Melons",54555,"Pacific_Region_tropical","Africa_East"
"Area harvested","Coconuts",52778.3333333333,"Pacific_Region_tropical","Africa_East"
"Area harvested","Taro",25371.3333333333,"Pacific_Region_tropical","Africa_East"
"Area harvested","Rice",1540706.66666667,"Africa_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Coffee",132328.333333333,"Africa_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Cowpeas",5629.66666666667,"Africa_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Sorghum",2643.33333333333,"Africa_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Palm oil",1816.66666666667,"Africa_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Coffee",132328.333333333,"Africa_East","Africa_Indian_Ocean_Islands"
"Area harvested","Cottonseed oil",16333.3333333333,"Africa_East","Africa_Indian_Ocean_Islands"
"Area harvested","Peas",16116.6666666667,"Africa_East","Africa_Indian_Ocean_Islands"
"Area harvested","Castor_oil",7196,"Africa_East","Africa_Indian_Ocean_Islands"
