"Region","Region_crops","Fat_value","Calories_value","Food_weight_value","Protein_value","Fat_percentage","Calories_percentage","Food_weight_percentage","Protein_percentage"
"Africa_Indian_Ocean_Islands","Europe_Western_north",0,91.53,40.37,0.01,0,0.0467163790595477,0.0385968602405492,0.000266808964781217
"Africa_Indian_Ocean_Islands","Europe_Western_south",0.24,100.59,42.8,0.52,0.0135135135135135,0.0513405503070021,0.0409201292617167,0.0138740661686233
"Africa_Indian_Ocean_Islands","Mediterranean_SouthandEast",0.83,219.29,99.01,4.06,0.0467342342342342,0.111924339167139,0.094661261640247,0.108324439701174
"Africa_Indian_Ocean_Islands","Not_Specified",1.72,60.16,116.58,1.08,0.0968468468468468,0.0307053137137812,0.111459548348854,0.0288153681963714
"Africa_Indian_Ocean_Islands","Pacific_Region_tropical",1.84,30.41,20.39,0.35,0.103603603603604,0.0155210869354402,0.0194944260665048,0.00933831376734258
"Africa_Southern","Africa_Central",8.9,280.69,73.93,6.11,0.226751592356688,0.129322816361509,0.0612378443748654,0.13580795732385
"Africa_Southern","Africa_East",2.33,108.04,31.72,4.14,0.0593630573248408,0.0497774665278328,0.0262743733744181,0.0920204489886641
"Africa_Southern","Africa_Southern",1.76,100.22,29.15,3.79,0.0448407643312102,0.0461745436451259,0.0241455858721402,0.0842409424316515
"Africa_Southern","Africa_West",9.06,296.88,79.24,6.58,0.230828025477707,0.136782064631461,0.0656362341169259,0.146254723271838
"Africa_Southern","America_Caribbean",1.14,16.51,7.26,0.16,0.0290445859872611,0.00760668245441059,0.0060136176134387,0.00355634585463436
"Africa_Southern","America_Central_and_Mexico",19.88,1116.07,679.86,27.24,0.506496815286624,0.514208969527197,0.563142984941106,0.6054678817515
"Africa_Southern","America_North",6.77,65.14,19.47,0.06,0.172484076433121,0.0300120711738525,0.016127429054222,0.00133362969548789
"Africa_Southern","America_South_andean",0.46,135.25,131.3,5.39,0.0117197452229299,0.0623139795250776,0.108758676672796,0.119804400977995
"Africa_Southern","America_South_temperate",0,0.42,0.91,0.1,0,0.000193507367101905,0.000753773006643142,0.00222271615914648
"Africa_Southern","America_South_tropical",13.92,389.28,467.98,4.8,0.354649681528662,0.17935368539388,0.387638122691052,0.106690375639031
"Africa_Southern","Asia_Central",1.03,286.18,209.94,7.97,0.0262420382165605,0.131852234088626,0.173897917598529,0.177150477883974
"Africa_Southern","Asia_East",10.02,250.78,89.69,4.16,0.255286624203822,0.115542327432894,0.0742921988635422,0.0924649922204934
"Africa_Southern","Asia_South",2.47,442.08,233.76,6.19,0.0629299363057325,0.203680325829548,0.193628547288902,0.137586130251167
"Africa_Southern","Asia_Southeast",1.97,405.53,224.74,4.05,0.0501910828025478,0.186840577573418,0.186157082981296,0.0900200044454323
"Africa_Southern","Asia_West",1.79,330.98,226.05,10.23,0.0456050955414013,0.15249301991283,0.187242184782068,0.227383863080685
"Africa_Southern","Europe_Eastern_north",0.03,170.96,56.6,0.08,0.000764331210191083,0.0787667130470039,0.0468830243692328,0.00177817292731718
"Africa_Southern","Europe_Eastern_south",0.24,173,56.35,0.16,0.00611464968152866,0.0797066059729274,0.0466759438729023,0.00355634585463436
"Africa_Southern","Europe_Western_north",0.03,170.96,56.6,0.08,0.000764331210191083,0.0787667130470039,0.0468830243692328,0.00177817292731718
"Africa_Southern","Europe_Western_south",0.24,173,56.35,0.16,0.00611464968152866,0.0797066059729274,0.0466759438729023,0.00355634585463436
"Africa_Southern","Mediterranean_SouthandEast",1.45,490.4,264.67,10.09,0.0369426751592357,0.225942887682795,0.219231979855209,0.22427206045788
"Africa_Southern","Not_Specified",1.97,98.91,179.73,2.22,0.0501910828025478,0.0455709849524985,0.148874310421947,0.0493442987330518
"Africa_Southern","Pacific_Region_tropical",1.43,18.91,12.18,0.16,0.0364331210191083,0.00871243883785004,0.0100889617812236,0.00355634585463436
"Africa_West","Africa_Central",21.11,831.46,222.37,19.7,0.404561134534304,0.328900316455696,0.148751429851964,0.380088751688211
"Africa_West","Africa_East",6.59,549.23,184.87,18.05,0.126293599080107,0.217258702531646,0.123666307670696,0.348253907003666
"Africa_West","Africa_Southern",5.91,540.59,182.71,17.73,0.113261786124952,0.213840981012658,0.122221404633055,0.34207987651939
"Africa_West","Africa_West",23.81,1278.52,525.27,28.67,0.456305097738597,0.505743670886076,0.351372323417463,0.55315454370056
"Africa_West","America_Caribbean",1.45,34.03,23.67,0.53,0.0277884246837869,0.0134612341772152,0.0158337291208166,0.0102257379895813
"Africa_West","America_Central_and_Mexico",22.54,698.5,401.71,9.25,0.431966270601763,0.276305379746835,0.268718518171662,0.178468068686089
"Africa_West","America_North",0.03,0.71,0.69,0,0.000574932924492143,0.000280854430379747,0.000461566248135339,0
"Africa_West","America_South_andean",0.11,20.04,37.65,0.92,0.00210808738980452,0.00792721518987342,0.0251854626699935,0.0177503376422921
"Africa_West","America_South_temperate",0,0.15,0.29,0.03,0,5.93354430379747e-05,0.000193991611535143,0.00057881535790083
"Africa_West","America_South_tropical",34.52,821.56,580.96,8.71,0.661556151782292,0.32498417721519,0.388625402198126,0.168049392243874
"Africa_West","Asia_Central",0.71,172.24,98.03,4.72,0.0136067458796474,0.0681329113924051,0.0655758540647932,0.0910669496430639
"Africa_West","Asia_East",4.42,613.05,193.44,13.74,0.084706784208509,0.242503955696203,0.129399094259855,0.26509743391858
"Africa_West","Asia_South",5.52,1090.61,556.95,23,0.105787658106554,0.431412183544304,0.372564234636199,0.443758441057303
"Africa_West","Asia_Southeast",4.45,998.76,530.03,17.29,0.0852817171330012,0.395079113924051,0.354556461593006,0.333590584603511
"Africa_West","Asia_West",1.81,265.19,124.86,10.48,0.0346876197776926,0.104901107594937,0.0835234228147514,0.202199498360023
"Africa_West","Europe_Eastern_north",0,96.47,29.51,0.01,0,0.0381606012658228,0.0197403188151795,0.00019293845263361
"Africa_West","Europe_Eastern_south",0.05,97.51,29.74,0.06,0.000958221540820238,0.0385719936708861,0.0198941742312246,0.00115763071580166
"Africa_West","Europe_Western_north",0,96.47,29.51,0.01,0,0.0381606012658228,0.0197403188151795,0.00019293845263361
"Africa_West","Europe_Western_south",0.05,97.51,29.74,0.06,0.000958221540820238,0.0385719936708861,0.0198941742312246,0.00115763071580166
"Africa_West","Mediterranean_SouthandEast",1.14,347.88,133.83,10.03,0.0218474511307014,0.137610759493671,0.0895237840405108,0.193517267991511
"Africa_West","Not_Specified",5.59,180.07,301.46,4.2,0.107129168263703,0.0712302215189873,0.201657624873738,0.0810341501061162
"Africa_West","Pacific_Region_tropical",0.88,26.27,24.26,0.33,0.0168646991184362,0.0103916139240506,0.0162284017098019,0.00636696893690913
"America_Caribbean","Africa_Central",8.85,586.25,157.14,12.17,0.20818630910374,0.258082551198295,0.116424147230537,0.305395232120452
"America_Caribbean","Africa_East",0.72,56.24,21.57,3.26,0.0169371912491179,0.0247583158710314,0.0159810923747148,0.0818067754077792
"America_Caribbean","Africa_Southern",0.29,45.24,13.44,2.52,0.00682192425311691,0.0199158287696561,0.0099576208398779,0.063237139272271
"America_Caribbean","Africa_West",8.93,632.29,205.96,12.98,0.210068219242531,0.278350560848052,0.152594612215867,0.325721455457967
"America_Caribbean","America_Caribbean",0.2,19.4,17.19,0.34,0.00470477534697718,0.00854038634242547,0.0127359748688617,0.00853199498117942
"America_Caribbean","America_Central_and_Mexico",10.93,428.54,199.9,10.27,0.257115972712303,0.188654492947578,0.148104792105029,0.25771643663739
"America_Caribbean","America_North",0.72,9.24,5.56,0.01,0.0169371912491179,0.00406768916515522,0.0041193729069733,0.000250941028858218
"America_Caribbean","America_South_andean",0.56,111.08,116.94,5.94,0.0131733709715361,0.0489003152018877,0.0866401920398305,0.149058971141782
"America_Caribbean","America_South_temperate",0,0.02,0.12,0.01,0,8.80452200250048e-06,8.89073289274812e-05,0.000250941028858218
"America_Caribbean","America_South_tropical",9.3,250.22,199.3,2.45,0.218772053634439,0.110153374773284,0.147660255460392,0.0614805520702635
"America_Caribbean","Asia_Central",1.31,341.21,190.04,9.12,0.0308162785227005,0.15020954762366,0.140799573244821,0.228858218318695
"America_Caribbean","Asia_East",20.04,665.16,214.96,11.26,0.471418489767114,0.292820792759161,0.159262661885428,0.282559598494354
"America_Caribbean","Asia_South",5.52,1089.51,480.2,13.9,0.12985179957657,0.479630738347215,0.355777494591471,0.348808030112923
"America_Caribbean","Asia_Southeast",5.14,1054.37,475.01,11.62,0.120912726417314,0.464161193188822,0.351932252615357,0.29159347553325
"America_Caribbean","Asia_West",1.92,385.93,202.82,11.71,0.0451658433309809,0.169896458821251,0.150268203775598,0.293851944792974
"America_Caribbean","Europe_Eastern_north",0.03,381.14,111.3,0.07,0.000705716302046577,0.167787775801652,0.0824615475802389,0.00175658720200753
"America_Caribbean","Europe_Eastern_south",0.27,385.84,111.85,0.28,0.0063514467184192,0.169856838472239,0.0828690395044898,0.00702634880803011
"America_Caribbean","Europe_Western_north",0.03,381.14,111.3,0.07,0.000705716302046577,0.167787775801652,0.0824615475802389,0.00175658720200753
"America_Caribbean","Europe_Western_south",0.27,385.84,111.85,0.28,0.0063514467184192,0.169856838472239,0.0828690395044898,0.00702634880803011
"America_Caribbean","Mediterranean_SouthandEast",1.74,756.13,293.38,11.45,0.0409315455187015,0.332868161087535,0.217363601339537,0.28732747804266
"America_Caribbean","Not_Specified",3.62,161.61,293.32,2.38,0.085156433780287,0.0711449400412052,0.217319147675073,0.059723964868256
"America_Caribbean","Pacific_Region_tropical",3.64,51.91,33.34,0.5,0.0856269113149847,0.02285213685749,0.0247014195536852,0.0125470514429109
"America_Central_and_Mexico","Africa_Central",8.67,197.09,45.69,3.51,0.192367428444642,0.0840418908892433,0.03823079047117,0.0783132530120482
"America_Central_and_Mexico","Africa_East",1.74,38.54,11.28,1.76,0.0386066119369869,0.0164339868835123,0.00943846173155609,0.0392681838464971
"America_Central_and_Mexico","Africa_Southern",0.81,26.8,6.98,1.29,0.0179720434879077,0.0114278891665316,0.00584046656793099,0.0287817938420348
"America_Central_and_Mexico","Africa_West",8.67,197.59,46.22,3.52,0.192367428444642,0.0842550977766786,0.0386742642936634,0.0785363676929942
"America_Central_and_Mexico","America_Caribbean",0.72,13.13,5.66,0.19,0.0159751497670291,0.00559881286405076,0.00473596572700421,0.00423917893797412
"America_Central_and_Mexico","America_Central_and_Mexico",20.23,1077.09,327.96,28.58,0.448857333037497,0.459286012775357,0.274418254386625,0.637661758143686
"America_Central_and_Mexico","America_North",0.57,7.15,5.34,0,0.0126469935655647,0.00304885849032467,0.0044682079473856,0
"America_Central_and_Mexico","America_South_andean",0.5,123.32,96.94,6.12,0.0110938540048813,0.0525853467170403,0.0811138723632134,0.136546184738956
"America_Central_and_Mexico","America_South_temperate",0,0,0.02,0,0,0,1.67348612261633e-05,0
"America_Central_and_Mexico","America_South_tropical",10.76,114.9,39.77,1.12,0.238739738185045,0.04899494273263,0.0332772715482257,0.0249888442659527
"America_Central_and_Mexico","Asia_Central",1.09,301.44,252.53,7.33,0.0241846017306412,0.128538168296989,0.211302725272151,0.163543061133423
"America_Central_and_Mexico","Asia_East",12.72,247.48,165.11,2.79,0.28222764588418,0.105528881004972,0.138154646852591,0.0622489959839357
"America_Central_and_Mexico","Asia_South",2.75,576.03,218.97,3.87,0.0610161970268471,0.245627126738702,0.183221628134649,0.0863453815261044
"America_Central_and_Mexico","Asia_Southeast",2.11,553.21,197.63,2.46,0.0468160639005991,0.235896364396155,0.165365531206332,0.0548862115127175
"America_Central_and_Mexico","Asia_West",2.03,319.56,245.4,8.59,0.0450410472598181,0.136264785897644,0.205336747245023,0.191655510932619
"America_Central_and_Mexico","Europe_Eastern_north",0.16,412.11,132.2,0.2,0.00355003328156201,0.175729380761916,0.110617432704939,0.00446229361892013
"America_Central_and_Mexico","Europe_Eastern_south",3.49,440.06,133.78,0.17,0.0774351009540715,0.187647645769549,0.111939486741806,0.00379294957608211
"America_Central_and_Mexico","Europe_Western_north",0.16,412.11,132.2,0.2,0.00355003328156201,0.175729380761916,0.110617432704939,0.00446229361892013
"America_Central_and_Mexico","Europe_Western_south",3.49,440.06,133.78,0.17,0.0774351009540715,0.187647645769549,0.111939486741806,0.00379294957608211
"America_Central_and_Mexico","Mediterranean_SouthandEast",4.49,735.35,340.69,8.2,0.099622808963834,0.313563369351084,0.285069993557078,0.182954038375725
"America_Central_and_Mexico","Not_Specified",2.83,159.68,200.39,2.41,0.0627912136676281,0.0680897515713348,0.167674942055543,0.0537706381079875
"America_Central_and_Mexico","Pacific_Region_tropical",1.84,20.66,8.02,0.05,0.0408253827379632,0.00880970858882625,0.00671067935169148,0.00111557340473003
"America_North","Africa_Central",0.53,100.71,37.08,3.04,0.00584601808956541,0.0383746318192037,0.0227712374951639,0.0764011058054788
"America_North","Africa_East",5.13,71.53,24.62,2.06,0.056585043017869,0.0272558575516596,0.01511941389242,0.0517718019602915
"America_North","Africa_Southern",2.29,34.93,6.98,0.92,0.0252592102360468,0.0133097596012788,0.0042864950840411,0.023121387283237
"America_North","Africa_West",0.53,100.71,37.08,3.04,0.00584601808956541,0.0383746318192037,0.0227712374951639,0.0764011058054788
"America_North","America_Caribbean",2.35,22.62,5.04,0.1,0.0259210236046768,0.00861914578244849,0.00309511965953684,0.00251319426991706
"America_North","America_Central_and_Mexico",10.45,223.34,69.96,4.24,0.115265828369733,0.0851016807715317,0.0429632086073804,0.106559437044484
"America_North","America_North",1.63,41.62,44.31,0.38,0.0179792631811163,0.0158589234069631,0.0272112603400947,0.00955013822568485
"America_North","America_South_andean",0.48,135.89,268.69,5,0.00529450694904037,0.051779651652384,0.16500549629384,0.125659713495853
"America_North","America_South_temperate",0,0.03,1,0.1,0,1.1431227828181e-05,0.000614111043558896,0.00251319426991706
"America_North","America_South_tropical",8.83,109.01,47.42,3.24,0.0973968674167218,0.0415372715183338,0.0291211456855629,0.0814274943453129
"America_North","Asia_Central",2.99,724.17,527.03,20.47,0.0329803662033973,0.275938408544462,0.323654943286845,0.514450867052023
"America_North","Asia_East",54.11,627.35,285.05,2.47,0.596845356276197,0.239046025933646,0.175052352966463,0.0620758984669515
"America_North","Asia_South",1.29,422.48,160.66,2.72,0.014228987425546,0.160982171094997,0.0986630802581723,0.0683588841417442
"America_North","Asia_Southeast",1.12,406.86,144.47,1.73,0.0123538495477609,0.155030311805791,0.0887206224629538,0.0434782608695652
"America_North","Asia_West",5.78,774.32,518.86,21.79,0.0637546878446945,0.295047611063904,0.318637656060969,0.547625031414928
"America_North","Europe_Eastern_north",0.38,339.78,151.24,0.81,0.00419148466799029,0.129470086381978,0.0928781542278475,0.0203568735863282
"America_North","Europe_Eastern_south",11.2,425.15,155.17,0.44,0.123538495477609,0.161999550371705,0.0952916106290339,0.0110580547876351
"America_North","Europe_Western_north",0.38,339.78,151.24,0.81,0.00419148466799029,0.129470086381978,0.0928781542278475,0.0203568735863282
"America_North","Europe_Western_south",11.2,425.15,155.17,0.44,0.123538495477609,0.161999550371705,0.0952916106290339,0.0110580547876351
"America_North","Mediterranean_SouthandEast",13.92,1136.01,579.87,21.32,0.153540701522171,0.432866304169731,0.356104570828497,0.535813018346318
"America_North","Not_Specified",3.58,403.84,354.81,3.51,0.0394881976615928,0.153879568204421,0.217892739365132,0.088213118874089
"America_North","Pacific_Region_tropical",0.91,9.13,5.3,0,0.0100375027575557,0.00347890366904309,0.00325478853086215,0
"America_South_andean","Africa_Central",5.89,338.84,98.29,6.36,0.0868859713822098,0.0828763605234193,0.0415330333185439,0.0910913778287024
"America_South_andean","Africa_East",1.08,24.9,9.32,1.57,0.0159315533264493,0.00609025314907668,0.00393822230673343,0.0224863935835004
"America_South_andean","Africa_Southern",0.69,14.65,4.27,1.11,0.0101784924030093,0.00358322123028005,0.00180431429718366,0.0158980234889716
"America_South_andean","Africa_West",5.89,341.26,105.77,6.4,0.0868859713822098,0.0834682646447352,0.0446937525089265,0.0916642795760527
"America_South_andean","America_Caribbean",0.99,8.65,5.48,0.14,0.0146039238825785,0.00211569035098447,0.00231560710739262,0.00200515611572615
"America_South_andean","America_Central_and_Mexico",8.25,402.24,103.43,6.16,0.121699365688155,0.098383270147976,0.0437049713718282,0.0882268690919507
"America_South_andean","America_North",1.64,26.37,15.69,0.03,0.0241923587549786,0.0064497982145041,0.0066299042910566,0.000429676310512747
"America_South_andean","America_South_andean",0.32,69.27,85.13,3.4,0.00472046024487387,0.0169426440014675,0.0359721958124696,0.048696648524778
"America_South_andean","America_South_temperate",0,0.24,0.61,0.07,0,5.87012351718234e-05,0.000257759185311952,0.00100257805786308
"America_South_andean","America_South_tropical",7.27,165.87,80.76,1.21,0.107242956188228,0.0405698911581265,0.0341256259111365,0.0173302778573475
"America_South_andean","Asia_Central",1.27,321.98,247.05,10.86,0.0187343265968432,0.0787525987525988,0.104392470051341,0.155542824405614
"America_South_andean","Asia_East",13.98,351.93,132.05,6.01,0.206225106947927,0.0860780237250826,0.0557985252794152,0.086078487539387
"America_South_andean","Asia_South",0.94,666.88,237.88,7.41,0.013866351969317,0.163111165464107,0.100517631150831,0.106130048696649
"America_South_andean","Asia_Southeast",0.67,653.33,226.07,6.26,0.00988346363770468,0.159796991561697,0.0955272443007754,0.0896591234603266
"America_South_andean","Asia_West",1.81,348.6,256.8,12.34,0.0267001032600679,0.0852635440870735,0.108512391455917,0.176740189057577
"America_South_andean","Europe_Eastern_north",0.1,354.57,71.61,0.27,0.00147514382652309,0.0867237373119726,0.0302592381314572,0.00386708679461472
"America_South_andean","Europe_Eastern_south",1.2,372.69,74.82,0.41,0.017701725918277,0.0911556805674453,0.0316156430246561,0.00587224291034088
"America_South_andean","Europe_Western_north",0.1,354.57,71.61,0.27,0.00147514382652309,0.0867237373119726,0.0302592381314572,0.00386708679461472
"America_South_andean","Europe_Western_south",1.2,372.69,74.82,0.41,0.017701725918277,0.0911556805674453,0.0316156430246561,0.00587224291034088
"America_South_andean","Mediterranean_SouthandEast",2.52,693.69,301.5,11.95,0.0371736244283818,0.169668582609759,0.127400646510743,0.171154397020911
"America_South_andean","Not_Specified",1.15,83.4,177.9,1.84,0.0169641540050155,0.0203986792222086,0.0751727197819611,0.0263534803781152
"America_South_andean","Pacific_Region_tropical",0.37,5.74,6.92,0.1,0.00545803215813542,0.00140393787452611,0.00292408780714542,0.00143225436837582
"America_South_temperate","Africa_Central",0.36,95.68,25.02,2.32,0.00888450148075025,0.0431805976144164,0.0202906542965582,0.0619492656875834
"America_South_temperate","Africa_East",0.77,14.44,6.45,0.68,0.0190029615004936,0.00651680423863057,0.00523080416517988,0.0181575433911883
"America_South_temperate","Africa_Southern",0.33,7.78,2.18,0.41,0.00814412635735439,0.00351113136956689,0.0017679307100918,0.0109479305740988
"America_South_temperate","Africa_West",0.36,95.68,25.02,2.32,0.00888450148075025,0.0431805976144164,0.0202906542965582,0.0619492656875834
"America_South_temperate","America_Caribbean",0.29,2.98,0.11,0,0.00715695952615992,0.00134488065312459,8.92075128945405e-05,0
"America_South_temperate","America_Central_and_Mexico",2.11,162.17,65.26,3.56,0.0520730503455084,0.0731876830594681,0.052924384468161,0.0950600801068091
"America_South_temperate","America_North",21.6,230.21,88.42,0.02,0.533070088845015,0.103894286965038,0.0717066208194116,0.000534045393858478
"America_South_temperate","America_South_andean",0.3,90.91,149.97,2.56,0.00740375123395854,0.0410278859649519,0.121622279170857,0.0683578104138852
