"Region","Region_crops","Fat_value","Calories_value","Food_weight_value","Protein_value","Fat_percentage","Calories_percentage","Food_weight_percentage","Protein_percentage"
"America_South_temperate","America_South_temperate",0,5.02,12.47,1.25,0,0.00226553720761257,0.0101128880526811,0.0333778371161549
"America_South_temperate","America_South_tropical",1.03,38.58,38.89,1.78,0.0254195459032577,0.0174112401334049,0.0315389106951698,0.0475300400534045
"America_South_temperate","Asia_Central",2.76,820.1,458.04,20.9,0.0681145113524185,0.370112960948818,0.371460083692867,0.558077436582109
"America_South_temperate","Asia_East",7.81,246.26,213.57,3.41,0.192744323790721,0.111137687798142,0.1732004411717,0.0910547396528705
"America_South_temperate","Asia_South",0.65,531.88,180.39,3.72,0.0160414610069102,0.24003863147111,0.146292211373147,0.0993324432576769
"America_South_temperate","Asia_Southeast",0.53,524.53,166.35,3.25,0.0130799605133268,0.236721560061558,0.134906088818244,0.0867823765020027
"America_South_temperate","Asia_West",3.18,854.39,494.16,21.38,0.0784797630799605,0.385588114504402,0.400752587017874,0.570894526034713
"America_South_temperate","Europe_Eastern_north",0.22,430.77,136.07,0.32,0.0054294175715696,0.194407462733718,0.110349693450547,0.00854472630173565
"America_South_temperate","Europe_Eastern_south",1.66,435.31,135.53,0.21,0.0409674234945706,0.196456374869686,0.109911765659973,0.00560747663551402
"America_South_temperate","Europe_Western_north",0.22,430.77,136.07,0.32,0.0054294175715696,0.194407462733718,0.110349693450547,0.00854472630173565
"America_South_temperate","Europe_Western_south",1.66,435.31,135.53,0.21,0.0409674234945706,0.196456374869686,0.109911765659973,0.00560747663551402
"America_South_temperate","Mediterranean_SouthandEast",4.22,1255.34,566.01,21.03,0.104146100691017,0.566537744662223,0.459021312485808,0.56154873164219
"America_South_temperate","Not_Specified",1.08,119.51,160.92,1.77,0.0266535044422507,0.0539351298170872,0.130502481590813,0.0472630173564753
"America_South_temperate","Pacific_Region_tropical",0.36,3.69,1.31,0.01,0.00888450148075025,0.00166530523826501,0.00106238038083498,0.000267022696929239
"America_South_tropical","Africa_Central",17.82,671.64,142.21,10.01,0.336798336798337,0.289828555647135,0.103224261076593,0.251570746418698
"America_South_tropical","Africa_East",3.67,65.99,17.53,2.59,0.0693630693630694,0.0284762467797546,0.0127242901109111,0.065091731590852
"America_South_tropical","Africa_Southern",2.78,40.6,4.91,1.17,0.0525420525420525,0.0175198608767698,0.00356396260379769,0.0294043729580297
"America_South_tropical","Africa_West",17.82,680.15,146.63,10.07,0.336798336798337,0.293500822052585,0.106432553277975,0.253078662980648
"America_South_tropical","America_Caribbean",3.13,29.59,9.29,0.39,0.0591570591570592,0.01276878530403,0.00674322048661518,0.00980145765267655
"America_South_tropical","America_Central_and_Mexico",24.17,704.49,273.17,14.87,0.456813456813457,0.304004108105309,0.198282620056907,0.373711987936667
"America_South_tropical","America_North",1.86,23,16.6,0.06,0.0351540351540352,0.00992504433905678,0.0120492422042855,0.00150791656195024
"America_South_tropical","America_South_andean",0.9,231.49,217.02,10.01,0.017010017010017,0.0998934136542719,0.15752569537193,0.251570746418698
"America_South_tropical","America_South_temperate",0,1.43,3.85,0.38,0,0.000617078843689182,0.00279455316183729,0.00955013822568485
