"Y2009","Y2010","Y2011","Country","Element"
6.3,6.6,6.4,"Afghanistan","Fat supply quantity (g/capita/day)"
8.7,7.9,7.5,"Albania","Fat supply quantity (g/capita/day)"
12.8,10.2,11.8,"Algeria","Fat supply quantity (g/capita/day)"
10.1,9.8,9.4,"Angola","Fat supply quantity (g/capita/day)"
0.2,0.2,0.2,"Antigua and Barbuda","Fat supply quantity (g/capita/day)"
0,0,0,"Argentina","Fat supply quantity (g/capita/day)"
4.5,4.2,4.4,"Armenia","Fat supply quantity (g/capita/day)"
0.7,0.8,0.8,"Austria","Fat supply quantity (g/capita/day)"
6.4,6.5,6.5,"Azerbaijan","Fat supply quantity (g/capita/day)"
0,0,0,"Bahamas","Fat supply quantity (g/capita/day)"
4.6,4.5,4.4,"Bangladesh","Fat supply quantity (g/capita/day)"
0.8,0.1,0.1,"Barbados","Fat supply quantity (g/capita/day)"
1.1,1.1,1.1,"Belarus","Fat supply quantity (g/capita/day)"
0.2,0.1,0,"Belgium","Fat supply quantity (g/capita/day)"
2.6,3.2,3.1,"Belize","Fat supply quantity (g/capita/day)"
10.3,10.7,11.3,"Benin","Fat supply quantity (g/capita/day)"
1.5,1.1,1.1,"Bermuda","Fat supply quantity (g/capita/day)"
4.8,4.7,4.7,"Bolivia (Plurinational State of)","Fat supply quantity (g/capita/day)"
0.7,0.8,0.8,"Bosnia and Herzegovina","Fat supply quantity (g/capita/day)"
4.3,5.5,4,"Botswana","Fat supply quantity (g/capita/day)"
8.8,9,9.4,"Brazil","Fat supply quantity (g/capita/day)"
3.1,2.9,2.3,"Brunei Darussalam","Fat supply quantity (g/capita/day)"
1.4,1.2,1.4,"Bulgaria","Fat supply quantity (g/capita/day)"
13.3,15,16.5,"Burkina Faso","Fat supply quantity (g/capita/day)"
1,1.2,1.2,"Cabo Verde","Fat supply quantity (g/capita/day)"
6.9,7.2,7.1,"Cambodia","Fat supply quantity (g/capita/day)"
18.4,18.5,18.7,"Cameroon","Fat supply quantity (g/capita/day)"
1.6,1.6,1.6,"Canada","Fat supply quantity (g/capita/day)"
5.1,5,4.2,"Central African Republic","Fat supply quantity (g/capita/day)"
7.4,7.5,7.8,"Chad","Fat supply quantity (g/capita/day)"
0.4,0.5,0.5,"Chile","Fat supply quantity (g/capita/day)"
18,17.4,17.4,"China, Hong Kong SAR","Fat supply quantity (g/capita/day)"
6.3,6.6,5.5,"China, Macao SAR","Fat supply quantity (g/capita/day)"
10,10,10.1,"China, mainland","Fat supply quantity (g/capita/day)"
54.9,53,52.5,"China, Taiwan Province of","Fat supply quantity (g/capita/day)"
21.1,30.6,31.7,"Colombia","Fat supply quantity (g/capita/day)"
19.9,21,20.5,"Congo","Fat supply quantity (g/capita/day)"
19.4,19.5,20.2,"Costa Rica","Fat supply quantity (g/capita/day)"
29.4,29.8,30,"Côte d'Ivoire","Fat supply quantity (g/capita/day)"
5.2,5.8,5.1,"Croatia","Fat supply quantity (g/capita/day)"
0.1,0.1,0.1,"Cuba","Fat supply quantity (g/capita/day)"
18.9,24.7,27.1,"Cyprus","Fat supply quantity (g/capita/day)"
0.3,0.2,0.2,"Czech Republic","Fat supply quantity (g/capita/day)"
13.6,13.3,13.9,"Democratic People's Republic of Korea","Fat supply quantity (g/capita/day)"
1.3,1.3,1.3,"Denmark","Fat supply quantity (g/capita/day)"
2.5,2.1,1.6,"Djibouti","Fat supply quantity (g/capita/day)"
0.4,0.4,0.4,"Dominica","Fat supply quantity (g/capita/day)"
0,0,0,"Dominican Republic","Fat supply quantity (g/capita/day)"
27.5,27.2,28,"Ecuador","Fat supply quantity (g/capita/day)"
8.7,8.9,9.1,"Egypt","Fat supply quantity (g/capita/day)"
9.3,9.9,9.5,"El Salvador","Fat supply quantity (g/capita/day)"
0.3,0.3,0.4,"Estonia","Fat supply quantity (g/capita/day)"
3.5,3.6,3.9,"Ethiopia","Fat supply quantity (g/capita/day)"
28.1,25.4,24.9,"Fiji","Fat supply quantity (g/capita/day)"
0.7,0.8,0.8,"Finland","Fat supply quantity (g/capita/day)"
13.9,14,13.9,"France","Fat supply quantity (g/capita/day)"
8,8.4,8.8,"French Polynesia","Fat supply quantity (g/capita/day)"
9,8.2,8.1,"Gabon","Fat supply quantity (g/capita/day)"
29.4,27.1,30.8,"Gambia","Fat supply quantity (g/capita/day)"
4.9,5.2,5.2,"Georgia","Fat supply quantity (g/capita/day)"
0.6,0.6,0.5,"Germany","Fat supply quantity (g/capita/day)"
10.5,12.2,11,"Ghana","Fat supply quantity (g/capita/day)"
46.1,45.2,42.6,"Greece","Fat supply quantity (g/capita/day)"
0.7,0.7,0.8,"Grenada","Fat supply quantity (g/capita/day)"
18.1,17.7,18.8,"Guatemala","Fat supply quantity (g/capita/day)"
21.3,23.7,25.3,"Guinea","Fat supply quantity (g/capita/day)"
21,20.8,20.7,"Guinea-Bissau","Fat supply quantity (g/capita/day)"
2.2,2.4,2.8,"Guyana","Fat supply quantity (g/capita/day)"
0,0,0,"Haiti","Fat supply quantity (g/capita/day)"
37.3,37.6,39.1,"Honduras","Fat supply quantity (g/capita/day)"
0.2,0.2,0.3,"Hungary","Fat supply quantity (g/capita/day)"
0.5,0.6,0.7,"Iceland","Fat supply quantity (g/capita/day)"
8.4,8.6,8,"India","Fat supply quantity (g/capita/day)"
11.2,11.5,11.3,"Indonesia","Fat supply quantity (g/capita/day)"
8.9,8.7,8.7,"Iran (Islamic Republic of)","Fat supply quantity (g/capita/day)"
8.1,10.1,9.3,"Iraq","Fat supply quantity (g/capita/day)"
0.5,0.5,0.5,"Ireland","Fat supply quantity (g/capita/day)"
29.6,33.4,34.9,"Israel","Fat supply quantity (g/capita/day)"
32.3,33.3,34.6,"Italy","Fat supply quantity (g/capita/day)"
1.7,1.8,2.3,"Jamaica","Fat supply quantity (g/capita/day)"
18.1,17.4,16.1,"Japan","Fat supply quantity (g/capita/day)"
21.2,21.3,18.9,"Jordan","Fat supply quantity (g/capita/day)"
4.8,4.2,4.7,"Kazakhstan","Fat supply quantity (g/capita/day)"
0.9,0.9,1.2,"Kenya","Fat supply quantity (g/capita/day)"
70.6,72.1,73,"Kiribati","Fat supply quantity (g/capita/day)"
9.8,8.8,9.7,"Kuwait","Fat supply quantity (g/capita/day)"
4,4.4,4.5,"Kyrgyzstan","Fat supply quantity (g/capita/day)"
8.4,8.5,8.5,"Lao People's Democratic Republic","Fat supply quantity (g/capita/day)"
0.7,0.4,0.4,"Latvia","Fat supply quantity (g/capita/day)"
18.1,18.1,20.2,"Lebanon","Fat supply quantity (g/capita/day)"
1.1,0.8,0.4,"Lesotho","Fat supply quantity (g/capita/day)"
44.6,46,46.5,"Liberia","Fat supply quantity (g/capita/day)"
16.2,16.3,16.9,"Libya","Fat supply quantity (g/capita/day)"
0.3,0.3,0.3,"Lithuania","Fat supply quantity (g/capita/day)"
0.3,0.6,0.5,"Luxembourg","Fat supply quantity (g/capita/day)"
1.2,1.3,2.2,"Malawi","Fat supply quantity (g/capita/day)"
7.3,8.4,8.2,"Malaysia","Fat supply quantity (g/capita/day)"
13.6,14.8,14.5,"Maldives","Fat supply quantity (g/capita/day)"
12.6,13.1,13.5,"Mali","Fat supply quantity (g/capita/day)"
12.8,20.4,15.1,"Malta","Fat supply quantity (g/capita/day)"
20,23.7,25.9,"Mauritania","Fat supply quantity (g/capita/day)"
20.2,20.4,21.3,"Mexico","Fat supply quantity (g/capita/day)"
7.9,7.8,7.5,"Mongolia","Fat supply quantity (g/capita/day)"
2.4,3.7,2.9,"Montenegro","Fat supply quantity (g/capita/day)"
15.3,14.7,15.3,"Morocco","Fat supply quantity (g/capita/day)"
3.3,2.3,2.5,"Mozambique","Fat supply quantity (g/capita/day)"
8.2,8.3,8.3,"Myanmar","Fat supply quantity (g/capita/day)"
3.2,3.8,2.6,"Namibia","Fat supply quantity (g/capita/day)"
4.9,4.7,4.8,"Nepal","Fat supply quantity (g/capita/day)"
0.4,0.4,0.5,"Netherlands","Fat supply quantity (g/capita/day)"
6.9,6.8,6.7,"New Caledonia","Fat supply quantity (g/capita/day)"
18.1,17.2,17.2,"Nicaragua","Fat supply quantity (g/capita/day)"
19,17.8,18.9,"Niger","Fat supply quantity (g/capita/day)"
29.9,30.3,28.5,"Nigeria","Fat supply quantity (g/capita/day)"
0.7,0.7,0.7,"Norway","Fat supply quantity (g/capita/day)"
16.9,17.9,15,"Occupied Palestinian Territory","Fat supply quantity (g/capita/day)"
5,5,5.1,"Pakistan","Fat supply quantity (g/capita/day)"
2.7,2.3,3.3,"Panama","Fat supply quantity (g/capita/day)"
9.4,8.8,8.9,"Paraguay","Fat supply quantity (g/capita/day)"
12.1,11.7,12,"Peru","Fat supply quantity (g/capita/day)"
13.5,13.2,13,"Philippines","Fat supply quantity (g/capita/day)"
0.3,0.3,0.3,"Poland","Fat supply quantity (g/capita/day)"
20.9,20.6,22,"Portugal","Fat supply quantity (g/capita/day)"
31,32.2,30.8,"Republic of Korea","Fat supply quantity (g/capita/day)"
0.1,0.1,0.1,"Republic of Moldova","Fat supply quantity (g/capita/day)"
0.2,0.2,0.2,"Romania","Fat supply quantity (g/capita/day)"
0.3,0.3,0.3,"Russian Federation","Fat supply quantity (g/capita/day)"
1.1,1.1,1,"Rwanda","Fat supply quantity (g/capita/day)"
0.1,0.1,0.1,"Saint Kitts and Nevis","Fat supply quantity (g/capita/day)"
0,0,0,"Saint Lucia","Fat supply quantity (g/capita/day)"
0.1,0.1,0.2,"Saint Vincent and the Grenadines","Fat supply quantity (g/capita/day)"
58.1,57.7,57.5,"Samoa","Fat supply quantity (g/capita/day)"
11.3,12.6,13,"Sao Tome and Principe","Fat supply quantity (g/capita/day)"
7.7,8.6,8.7,"Saudi Arabia","Fat supply quantity (g/capita/day)"
11.1,11.1,11.3,"Senegal","Fat supply quantity (g/capita/day)"
0.5,0.4,0.5,"Serbia","Fat supply quantity (g/capita/day)"
