"Y2009","Y2010","Y2011","Country","Element"
3620280,3412225,3257862,"Afghanistan","Area harvested"
513883,516416,521598,"Albania","Area harvested"
4502478,4212064,3992051,"Algeria","Area harvested"
4297698,4368618,4939910,"Angola","Area harvested"
2813,2896,2751,"Antigua and Barbuda","Area harvested"
30981277,34471946,37153643,"Argentina","Area harvested"
275639,263360,271225,"Armenia","Area harvested"
24954072,24312243,25004998,"Australia","Area harvested"
1314655.48,1330149.23,1333196.35,"Austria","Area harvested"
1488417,1353312,1373243.5,"Azerbaijan","Area harvested"
8917,9791,8263,"Bahamas","Area harvested"
14379923,14640404,14714717,"Bangladesh","Area harvested"
10484,9163,8621,"Barbados","Area harvested"
4312910,4224948,4315376,"Belarus","Area harvested"
762509,756324,756854.56,"Belgium","Area harvested"
83024,88874,85082,"Belize","Area harvested"
2768274,2775016,2692296,"Benin","Area harvested"
348,370,337,"Bermuda","Area harvested"
3119873.25,3104702.58,3242384.35,"Bolivia (Plurinational State of)","Area harvested"
704454,679664,704799,"Bosnia and Herzegovina","Area harvested"
190535,174601,252883,"Botswana","Area harvested"
64610889,64619259,67302935,"Brazil","Area harvested"
10459,10749,10779,"Brunei Darussalam","Area harvested"
3007600,3101427,3099140,"Bulgaria","Area harvested"
5730159,6836750.41,5738855,"Burkina Faso","Area harvested"
64513,65747,65525,"Cabo Verde","Area harvested"
3470749,3646981,3926639,"Cambodia","Area harvested"
5485338,5865984,5970734,"Cameroon","Area harvested"
26918254,25380196,25347545,"Canada","Area harvested"
1041844,882514,911719,"Central African Republic","Area harvested"
3533979,3635758,3131497,"Chad","Area harvested"
1254289.93,1221830.8,1285104,"Chile","Area harvested"
2077,2111,2127,"China, Hong Kong SAR","Area harvested"
107,128,127,"China, Macao SAR","Area harvested"
165788342,168180031,170213435,"China, mainland","Area harvested"
695527,673693,678415,"China, Taiwan Province of","Area harvested"
3937500.98,3766387.2,3951138.57,"Colombia","Area harvested"
325718,335395,362648,"Congo","Area harvested"
514665.6,526376.5,544773.5,"Costa Rica","Area harvested"
7293746,7131122,7245955,"Côte d'Ivoire","Area harvested"
888650,863211,861513,"Croatia","Area harvested"
1825383,1745920,1658677.7,"Cuba","Area harvested"
77623,72774,77192,"Cyprus","Area harvested"
2481148,2422800,2394637,"Czech Republic","Area harvested"
2727331,2756670,2688300,"Democratic People's Republic of Korea","Area harvested"
2262826,2293791,2272477,"Denmark","Area harvested"
11147,11096,11058,"Djibouti","Area harvested"
