"Y2009","Y2010","Y2011","Country","Element"
144617,160450,154348,"Afghanistan","Area harvested"
11397,9447,9511,"Albania","Area harvested"
67461,82599,87986,"Algeria","Area harvested"
80743,89231,85937,"Angola","Area harvested"
1032,1118,1005,"Antigua and Barbuda","Area harvested"
82540,79315,78505,"Argentina","Area harvested"
16310,14524,18627,"Armenia","Area harvested"
21666,21758,22702,"Australia","Area harvested"
65934.54,72465,69024,"Austria","Area harvested"
62603,68409,69467,"Azerbaijan","Area harvested"
4788,4658,3072,"Bahamas","Area harvested"
493132,500005,493603,"Bangladesh","Area harvested"
1683,1661,1362,"Barbados","Area harvested"
27770,33624,40665,"Belarus","Area harvested"
15678,16509,16525,"Belgium","Area harvested"
1350,1292,1289,"Belize","Area harvested"
67613,74723,74605,"Benin","Area harvested"
217,244,209,"Bermuda","Area harvested"
58879,59516.62,60478.52,"Bolivia (Plurinational State of)","Area harvested"
100269,97960,100264,"Bosnia and Herzegovina","Area harvested"
35280,32984,51622,"Botswana","Area harvested"
284528,302916,286989,"Brazil","Area harvested"
6656,6829,7138,"Brunei Darussalam","Area harvested"
38505,31980,26543,"Bulgaria","Area harvested"
55405,59438,57157,"Burkina Faso","Area harvested"
26079,27116,27647,"Cabo Verde","Area harvested"
105325,109178,113108,"Cambodia","Area harvested"
134807,95163,92196,"Cameroon","Area harvested"
86353,92927,87346,"Canada","Area harvested"
76310,71600,75648,"Central African Republic","Area harvested"
410337,423700,276046,"Chad","Area harvested"
11533.4,11200.4,11135,"Chile","Area harvested"
992,1005,1003,"China, Hong Kong SAR","Area harvested"
0,0,0,"China, Macao SAR","Area harvested"
10601288,10958272,11308997,"China, mainland","Area harvested"
129523,127571,126463,"China, Taiwan Province of","Area harvested"
120693,121229,123507,"Colombia","Area harvested"
19699,21050,22327,"Congo","Area harvested"
40558,38648,41417,"Costa Rica","Area harvested"
91858,100730,99006,"Côte d'Ivoire","Area harvested"
4571,2184,2997,"Croatia","Area harvested"
112115,119499,77266,"Cuba","Area harvested"
1474,1334,1487,"Cyprus","Area harvested"
26292,25624,24214,"Czech Republic","Area harvested"
304728,326346,279600,"Democratic People's Republic of Korea","Area harvested"
14356,17530,8416,"Denmark","Area harvested"
4943,4980,4751,"Djibouti","Area harvested"
811,850,645,"Dominica","Area harvested"
12690,13785,15824,"Dominican Republic","Area harvested"
62859,69106,72315,"Ecuador","Area harvested"
148053,175959,174017,"Egypt","Area harvested"
3096,2970,2965,"El Salvador","Area harvested"
4665,5805,6000,"Estonia","Area harvested"
3908984,4040980,4088438,"Ethiopia","Area harvested"
5319,7834,8852,"Fiji","Area harvested"
18511,23904,23738,"Finland","Area harvested"
107699,106156,148731,"France","Area harvested"
1727,1746,1785,"French Polynesia","Area harvested"
17708,19427,18726,"Gabon","Area harvested"
16864,17780,17919,"Gambia","Area harvested"
10723,13227,13376,"Georgia","Area harvested"
45340,32965,33420,"Germany","Area harvested"
264472,278177,274889,"Ghana","Area harvested"
12404,11838,13263,"Greece","Area harvested"
1817,1947,1778,"Grenada","Area harvested"
60992,62700,62992,"Guatemala","Area harvested"
181343,177752,174514,"Guinea","Area harvested"
30229,29547,29387,"Guinea-Bissau","Area harvested"
5788,6392,6311,"Guyana","Area harvested"
72045,73477,61273,"Haiti","Area harvested"
12332,11960,11897,"Honduras","Area harvested"
26155.9,30381,26868.6,"Hungary","Area harvested"
0,0,0,"Iceland","Area harvested"
6378446,6718205,6625377,"India","Area harvested"
676860,654768,719245,"Indonesia","Area harvested"
321737,363565,412573,"Iran (Islamic Republic of)","Area harvested"
51863,51126,56973,"Iraq","Area harvested"
3496,3727,3553,"Ireland","Area harvested"
30932,28997,31673,"Israel","Area harvested"
197825,201167,197359,"Italy","Area harvested"
6645,7020,7600,"Jamaica","Area harvested"
134933,133915,132129,"Japan","Area harvested"
5723,6619,6981,"Jordan","Area harvested"
125300,142336,245631,"Kazakhstan","Area harvested"
258124,289355,298806,"Kenya","Area harvested"
1977,2148,2018,"Kiribati","Area harvested"
1861.43,2010.68,2140,"Kuwait","Area harvested"
11135,10331,9842,"Kyrgyzstan","Area harvested"
140605,149175,156165,"Lao People's Democratic Republic","Area harvested"
11530,12416,14160,"Latvia","Area harvested"
6433,6640,7078,"Lebanon","Area harvested"
9105,7682,7564,"Lesotho","Area harvested"
18928,24253,25356,"Liberia","Area harvested"
