Country,Type,Element,Unit,Y2009,Y2010,Y2011,Yaverage
Latvia,C,Total Population - Both sexes,1000,2112,2091,2073,2092
Lebanon,C,Total Population - Both sexes,1000,4247,4341,4478,4355.333333
Lesotho,C,Total Population - Both sexes,1000,1990,2009,2030,2009.666667
Liberia,C,Total Population - Both sexes,1000,3821,3958,4080,3953
Libya,C,Total Population - Both sexes,1000,5964,6041,6103,6036
Lithuania,C,Total Population - Both sexes,1000,3102,3068,3044,3071.333333
Luxembourg,C,Total Population - Both sexes,1000,498,508,516,507.3333333
Madagascar,C,Total Population - Both sexes,1000,20496,21080,21679,21085
Malawi,C,Total Population - Both sexes,1000,14573,15014,15458,15015
Malaysia,C,Total Population - Both sexes,1000,27790,28276,28759,28275
Maldives,C,Total Population - Both sexes,1000,320,326,332,326
Mali,C,Total Population - Both sexes,1000,13559,13986,14417,13987.33333
Malta,C,Total Population - Both sexes,1000,423,425,426,424.6666667
Mauritania,C,Total Population - Both sexes,1000,3516,3609,3703,3609.333333
Mauritius,C,Total Population - Both sexes,1000,1227,1231,1235,1231
Mexico,C,Total Population - Both sexes,1000,116423,117886,119361,117890
Mongolia,C,Total Population - Both sexes,1000,2672,2713,2754,2713
Montenegro,C,Total Population - Both sexes,1000,619,620,621,620
Morocco,C,Total Population - Both sexes,1000,31277,31642,32059,31659.33333
Mozambique,C,Total Population - Both sexes,1000,23361,23967,24581,23969.66667
Myanmar,C,Total Population - Both sexes,1000,51540,51931,52351,51940.66667
Namibia,C,Total Population - Both sexes,1000,2143,2179,2218,2180
Nepal,C,Total Population - Both sexes,1000,26545,26846,27156,26849
Netherlands,C,Total Population - Both sexes,1000,16561,16615,16666,16614
New Caledonia,C,Total Population - Both sexes,1000,243,246,250,246.3333333
New Zealand,C,Total Population - Both sexes,1000,4323,4368,4414,4368.333333
Nicaragua,C,Total Population - Both sexes,1000,5743,5822,5905,5823.333333
Niger,C,Total Population - Both sexes,1000,15303,15894,16511,15902.66667
Nigeria,C,Total Population - Both sexes,1000,155381,159708,164193,159760.6667
Norway,C,Total Population - Both sexes,1000,4836,4891,4944,4890.333333
Occupied Palestinian Territory,C,Total Population - Both sexes,1000,3914,4013,4114,4013.666667
Pakistan,C,Total Population - Both sexes,1000,170094,173149,176166,173136.3333
Panama,C,Total Population - Both sexes,1000,3616,3678,3740,3678
Paraguay,C,Total Population - Both sexes,1000,6347,6460,6573,6460
Peru,C,Total Population - Both sexes,1000,28934,29263,29615,29270.66667
Philippines,C,Total Population - Both sexes,1000,91886,93444,95053,93461
Poland,C,Total Population - Both sexes,1000,38194,38199,38205,38199.33333
Portugal,C,Total Population - Both sexes,1000,10581,10590,10598,10589.66667
Republic of Korea,C,Total Population - Both sexes,1000,48165,48454,48733,48450.66667
Republic of Moldova,C,Total Population - Both sexes,1000,3604,3573,3543,3573.333333
Romania,C,Total Population - Both sexes,1000,21913,21861,21809,21861
Russian Federation,C,Total Population - Both sexes,1000,143690,143618,143438,143582
Rwanda,C,Total Population - Both sexes,1000,10530,10837,11144,10837
Saint Kitts and Nevis,C,Total Population - Both sexes,1000,52,52,53,52.33333333
Saint Lucia,C,Total Population - Both sexes,1000,175,177,179,177
Saint Vincent and the Grenadines,C,Total Population - Both sexes,1000,109,109,109,109
Samoa,C,Total Population - Both sexes,1000,185,186,187,186
Sao Tome and Principe,C,Total Population - Both sexes,1000,173,178,183,178
Saudi Arabia,C,Total Population - Both sexes,1000,26796,27258,27762,27272
Senegal,C,Total Population - Both sexes,1000,12587,12951,13331,12956.33333
Serbia,C,Total Population - Both sexes,1000,9702,9647,9597,9648.666667
Sierra Leone,C,Total Population - Both sexes,1000,5641,5752,5865,5752.666667
Slovakia,C,Total Population - Both sexes,1000,5425,5433,5440,5432.666667
Slovenia,C,Total Population - Both sexes,1000,2044,2054,2062,2053.333333
Solomon Islands,C,Total Population - Both sexes,1000,515,526,538,526.3333333
Somalia,C,Total Population - Both sexes,1000,9381,9636,9908,9641.666667
South Africa,C,Total Population - Both sexes,1000,50890,51452,51949,51430.33333
Spain,C,Total Population - Both sexes,1000,45754,46182,46514,46150
Sri Lanka,C,Total Population - Both sexes,1000,20602,20759,20926,20762.33333
Sudan (former),C,Total Population - Both sexes,1000,44374,45593,46812,45593
Suriname,C,Total Population - Both sexes,1000,520,525,530,525
Swaziland,C,Total Population - Both sexes,1000,1174,1193,1212,1193
Sweden,C,Total Population - Both sexes,1000,9310,9382,9449,9380.333333
Switzerland,C,Total Population - Both sexes,1000,7743,7831,7915,7829.666667
Syrian Arab Republic,C,Total Population - Both sexes,1000,21032,21533,21804,21456.33333
Tajikistan,C,Total Population - Both sexes,1000,7447,7627,7815,7629.666667
Thailand,C,Total Population - Both sexes,1000,66277,66402,66576,66418.33333
