colors,palette,r,g,b,Regions_macro,Region,Region_orignal
red1,Red,255,0,0,America,North America,N America
orangered2,Red,238,64,0,America,Latin America,Lat America
chartreuse3,Green,102,205,0,Africa,Africa,Africa
dodgerblue,Blue,30,144,255,Asia,Central Asia,C Asia
dodgerblue2,Blue,28,134,238,Asia,South Asia,S Asia
dodgerblue4,Blue,16,78,139,Asia,East Asia,E Asia
blue3,Blue,0,0,205,Asia,Southeast Asia,SE Asia
burlywood3,Brown,205,170,125,Europe,Europe,Europe
orange1,Orange,255,165,0,Pacific,Pacific,Pac
gold2,yellow,238,201,0,Mediterranean,W Asia and SE Mediterranean,W Asia & Med
