"","North
America","Latin
America","Africa","Europe","W Asia and
SE Mediterranean","Central
Asia","South
Asia","East
Asia","Southeast
Asia","Pacific"
"N
America",0.38028353258438,0.0365017383201584,0.0315783193859915,0.234174416228137,0.240465969283476,0.303621446958943,0,0.0618507388352658,0.0146563290995787,0.173106408548421
"C
America",4.24091805631587,14.555058627144,14.5854467545125,2.85919619942553,4.94201498008402,1.71615121078651,3.3203834355128,2.31528345932005,5.57941626007705,2.00889186465913
"Caribbean",0.1,0.198732374497148,0.582108769761839,0.0608698413520106,0.191800261864533,0.00227643304051065,0.28216605924344,0.012550996210528,0.29389989280593,0.262642047825111
"Andes",5.00102935270259,6.61889220778241,3.22718839527686,5.05766240793048,3.41462876411895,4.34012365485428,2.97871369527578,2.82885815029703,1.17052877323332,2.84431821262261
"Trop. S.
America",3.23760964070311,1.64071263309148,5.99964406201939,1.33702215589047,1.099769720796,0.591891348923704,0.741152558679139,2.63351024996866,2.61278196187991,2.19543115727621
"Temp. S.
America",0.1,0.297203400700847,0.0691465302980052,0.251355537950603,0.416784212149012,0.275135834683242,0.187817736644941,0.232764683321071,0.134881543061327,0.187861191336377
"W
Africa",3.04246239311796,6.79766872456432,17.9345795880432,2.5908413505464,7.51088628363823,1.15714013207606,22.7778997646306,15.2588242532857,24.6325650125413,3.88589554644495
"C
Africa",3.04246239311796,6.70324166609432,13.8579315916854,2.53460002014213,7.42701518522934,1.13676651957264,20.9561272059182,15.1624257842269,24.6237917216037,3.81444523217569
"E
Africa",2.05892561129442,1.7347833693244,12.5208648104981,2.38903076148652,4.61475391866998,0.269430443788192,8.36058143015144,0.973651449156941,1.21976459818221,2.31304400713133
"S
Africa",0.916677203154634,1.00317058691953,11.8651163831448,0.91070072310534,3.93012546120672,0.0203736125034064,7.24416404411592,0.581019940222895,0.890590870962766,0.890650097271521
"IOI",0,0,0,0,0,0,0,0,0,0
"NW
Europe",0.807547846415185,0.277905535116969,0.0593129300366727,0.55776566884069,0.171983320002404,0.168226664705443,0.128586492570686,0.135760537852206,0.0716632639712071,0.338195577698271
"SW
Europe",0.442254405756928,0.458200588445482,0.362928264987191,0.934731185800765,0.535495481867007,0.137639156472059,1.21287028835559,0.314698529297525,0.186857066215831,1.03530311933007
"NE
Europe",0.807547846415185,0.277905535116969,0.0593129300366727,0.55776566884069,0.171983320002404,0.168226664705443,0.128586492570686,0.135760537852206,0.0716632639712071,0.338195577698271
"SE
Europe",0.442254405756928,0.458200588445482,0.362928264987191,0.934731185800765,0.535495481867007,0.137639156472059,1.21287028835559,0.314698529297525,0.186857066215831,1.03530311933007
"SE
Mediterranean",21.3188534157089,12.2280884822207,11.1554838309103,33.536808469571,39.3425391044555,36.7006443580112,19.0830048312867,17.5996181350917,4.63896143946868,20.7057244323503
"W
Asia",21.7888042105649,12.5385630542793,11.5417466181072,35.2292234400718,40.1878170453204,37.5510308496686,19.3786764600404,18.3346807876884,4.90560512183786,21.143639906965
"C
Asia",20.4702791289039,11.1636304091918,6.72152628693509,32.2169344240933,35.5276005733657,37.1355830537533,13.9872347980343,17.7103252867007,3.83178915652335,19.0774115328452
"S
Asia",2.71898114739787,7.79753543992868,14.3922484791326,2.48231781338136,8.22161497391946,1.51328083829869,22.5871177687428,15.5496354043926,25.7372384971387,4.39358827032167
"E
Asia",2.4717800866013,7.13009463923644,7.96599277862117,2.12296631855356,5.01997214482146,1.67291404435283,17.7873617985839,19.2315461661899,25.0410871031899,3.19643463645734
"SE
Asia",1.72907531576982,6.75345138247822,9.90383557175426,1.54076351256026,4.18287288816164,1.41600199482905,18.2759795599286,15.0588451288567,24.7697052282097,3.48530163740902
"Pacific",0.00329012580650393,0.262025397422202,0.45836173567432,0.0167579634694484,0.0291404645996978,0,0.243662920443046,0.0109630525933456,0.40938739225573,0.554077174933536
"ANZ",0,0,0,0,0,0,0,0,0,0
