"","North
America","Latin
America","Africa","Europe","W Asia and
SE Mediterranean","Central
Asia","South
Asia","East
Asia","Southeast
Asia","Pacific"
"N
America",1.62998174658124,2.96626286237935,2.12857097104185,19.7125991748346,9.02012132084593,12.7524628802957,1.49947397429746,0.407142666508237,0.376536874010383,3.79549812767997
"C
America",10.4475862129365,15.5161983222564,16.7459038004352,8.92985185930124,17.1636452229483,13.1952307127422,7.78279909801291,8.37432993689347,12.7420112701749,19.0272020043901
"Caribbean",2.3456690161836,1.51876937069234,1.06154630366291,0.897574228736575,3.25743944614951,10.662840558987,2.2647236803465,1.3365086130222,0.456603203447376,5.50780292554633
"Andes",0.480295824773497,0.601586331477743,0.245491269022598,0.468602936939915,0.458355722137205,0.501267473261989,0.273359300952855,0.287198321577458,0.0775726594069253,0.260253420624475
"Trop. S.
America",8.826452082599,11.8333676034694,20.7364351899771,8.89555024667812,14.5521208346189,12.6054207422438,10.7368737914011,12.2284312886351,15.5479691366108,20.1980123656148
"Temp. S.
America",0,0,0,0,0,0,0,0,0,0
"W
Africa",0.52710954417009,9.7614330645454,14.8010433115064,4.72479942541762,10.9576410195187,0.162052244643599,9.73570683237424,9.26515208001468,14.3662625521367,12.157936853787
"C
Africa",0.52710954417009,9.75716442042983,13.5517035763679,4.70873201052792,10.922514855637,0.162052244643599,9.03442545925683,9.26361456863557,14.3662625521367,12.1540482540415
"E
Africa",5.13059761077663,2.18059503905954,5.05385278469174,9.04849727544237,9.40313785775634,10.9833020617724,4.36021056211074,2.34500187580974,1.12607099932872,10.0848369718467
"S
Africa",2.28508965882573,1.44489700700248,3.92536662097658,0.917894416132642,3.74372041331,10.6250267536615,3.88863141732119,1.35808855562615,0.307359605497355,5.55787058746152
"IOI",0,0,0,0,0,0,0,0,0,0
"NW
Europe",0.383579656008028,0.15308697868096,0.0230455533864274,0.359437458090213,0.115831477539267,0.127946535161817,0.0921379539472297,0.0998610977627518,0.0618039817264287,0.219524925821486
"SW
Europe",11.1975900341269,1.55170919885784,0.131360459722198,14.8215742569125,6.22891764791993,0.833262184045835,4.96824695939494,6.11271292462894,0.154113670388131,23.7068400380973
"NE
Europe",0.383579656008028,0.15308697868096,0.0230455533864274,0.359437458090213,0.115831477539267,0.127946535161817,0.0921379539472297,0.0998610977627518,0.0618039817264287,0.219524925821486
"SE
Europe",11.1975900341269,1.55170919885784,0.131360459722198,14.8215742569125,6.22891764791993,0.833262184045835,4.96824695939494,6.11271292462894,0.154113670388131,23.7068400380973
"SE
Mediterranean",13.9243494104191,2.9537825565575,1.395481587976,18.8373886786323,12.3211391895264,6.31685388288325,7.89565412753992,8.76462866975356,0.6677018744148,26.2715404876092
"W
Asia",5.7788352876671,2.21236436478238,2.41545652014107,12.5557721645612,11.923357000894,6.06175312090045,3.49203793251885,3.83530335527986,1.34591613516969,7.27289672302172
"C
Asia",2.99062256488471,1.38476572489978,0.914899266773722,4.22872823364575,5.72749389210733,5.62375913090278,2.21896766884468,2.94190125509893,0.419019915963751,2.61070479726994
"S
Asia",1.28540295013616,3.12085164794006,4.11738550138019,2.34066925486882,2.64051111452791,0.575761378133336,8.23502522749218,4.82005044195228,11.5318915930976,5.1118566920793
"E
Asia",54.1119533834427,20.6843220014306,4.30062151350564,8.8919180645793,8.98769722609864,1.22878638786808,8.25493041756655,11.9679262345214,8.35776000747319,4.62534636451324
"SE
Asia",1.11971017284364,2.80276625549091,2.69107777374139,1.86659021817807,0.966403669303023,0.310948405128742,7.00878253046193,3.8997792469396,10.6277728601681,4.57040345660299
"Pacific",0.909858085230395,2.12598276069166,0.821253959807058,1.70410866848332,0.453946978253676,0.168300260697193,3.10158042815527,0.615375586266464,6.55883615711307,4.20558190342597
"ANZ",0,0,0,0,0,0,0,0,0,0
