"","North
America","Latin
America","Africa","Europe","W Asia and
SE Mediterranean","Central
Asia","South
Asia","East
Asia","Southeast
Asia","Pacific"
"N
America",41.6182366385798,35.9693515904444,21.2294449435539,230.483547511943,103.042049920256,139.667167197222,14.2117670722571,10.6663949370297,3.87425114625581,82.4541202309416
"C
America",223.339936344422,614.724146630071,793.620823240323,170.32288406619,305.597135267839,179.40279125073,159.858118874811,205.004814333904,362.415064305676,238.704329973786
"Caribbean",22.6208906322074,19.372916024738,44.5695697178513,8.83109362613263,32.8321521398229,94.3224782057295,23.8590647840613,14.3880673850545,12.4612886793367,61.2372204780043
"Andes",135.887434325184,140.840900594148,69.0272008721472,178.864227544971,100.666471163407,151.979240524459,77.1732427613079,90.2131315644112,24.2992386941517,94.9139430227541
"Trop. S.
America",109.006728902528,190.745216918586,555.550848485517,91.495302343744,138.647962762185,116.763458406348,117.744564477412,185.508643677432,247.078611121422,227.254800543798
"Temp. S.
America",0.0329012580650393,1.14244616623288,0.284739419973487,0.841415113075547,1.63386177093595,1.18613194380992,0.87820204647978,0.971807827027366,0.398775683102776,0.905273488501728
"W
Africa",100.712524569897,377.042187782783,754.490155625626,116.800971357814,340.138240122043,59.2451180272083,1056.44849723354,860.145234105723,1351.3168489584,255.98623134766
"C
Africa",100.712524569897,371.49179040379,555.181377360214,114.668391512482,336.818165329673,58.6339096521061,993.146540059398,856.811621527863,1350.83026489539,252.130125184489
"E
Africa",71.5330569109227,41.4864140945692,363.257235764443,112.36025646966,156.170313567687,100.579358676246,214.373692873531,37.6020484339668,28.1391273858015,120.104280239766
"S
Africa",34.9277676826503,26.9424750334147,346.18192932286,23.4328441930963,98.2969025446065,94.5100301659449,194.534431567092,23.7308730774783,17.6302634190865,62.5808767527091
"IOI",0,0,0,0,0,0,0,0,0,0
"NW
Europe",339.784356346437,381.062317013678,124.006220550125,407.715455739861,306.036255902427,190.659472144365,207.98480480637,95.961864061028,185.760285543863,409.502445036614
"SW
Europe",425.152007756198,394.639897058191,128.954151453172,537.744197510089,365.185140151075,195.384538037448,266.35718461388,152.227596094743,188.055894804561,624.89184288688
"NE
Europe",339.784356346437,381.062317013678,124.006220550125,407.715455739861,306.036255902427,190.659472144365,207.98480480637,95.961864061028,185.760285543863,409.502445036614
"SE
Europe",425.152007756198,394.639897058191,128.954151453172,537.744197510089,365.185140151075,195.384538037448,266.35718461388,152.227596094743,188.055894804561,624.89184288688
"SE
Mediterranean",1136.00787137139,836.341752537677,429.659963783009,1655.4701047077,1629.0190922723,1453.69591629557,807.974484521986,713.805021093354,342.029731609596,1319.29555784003
"W
Asia",774.319925900252,470.293755666774,323.380063221022,1284.06766724957,1357.39086277625,1297.97845383644,574.428163617185,607.226351978525,169.90583811956,780.266208581666
"C
Asia",724.160072387941,441.773450583515,238.999637521391,1104.9617112414,1202.07833885555,1275.61201473604,479.663630823938,597.391821044014,146.223117418159,675.848158073039
"S
Asia",422.486962094079,757.967183817974,733.444874952724,480.836989462567,588.799418623162,240.865353147329,1250.01727402145,912.166989924337,1563.36919787835,613.557176640902
"E
Asia",627.352950128158,498.365945284839,367.306628777126,233.273236198717,316.094969142746,109.181598629323,947.715146398877,939.796915867642,1298.61934375078,250.285025120203
"SE
Asia",406.856613525935,740.628318555146,655.912518088176,461.221624386844,491.079786581784,237.568730100839,1169.22117406534,897.051672283121,1540.54635924174,592.298077417777
"Pacific",9.13142213419755,25.8430689994415,40.7241352314054,15.3653037406203,5.96358418368112,1.20717683968461,32.6399688023731,7.82142237495149,71.4019045029327,55.4826765475176
"ANZ",0,0,0,0,0,0,0,0,0,0
