"Region","Region_crops","Element","Y2009","Y2010","Y2011","Average"
"Africa_Central","Africa_Central","Area harvested",1716762,1911700,1941185,1856549
"Africa_Central","Africa_Central","Gross Production Value (current million US$)",863.29,956.43,1056.88,958.866666666667
"Africa_Central","Africa_Central","Production",4085993,4898735,5201459,4728729
"Africa_Central","Africa_East","Area harvested",2154013,2235388,2327471,2238957.33333333
"Africa_Central","Africa_East","Gross Production Value (current million US$)",530.2,548,618.7,565.633333333333
"Africa_Central","Africa_East","Production",1977010,2179017,2300878,2152301.66666667
"Africa_Central","Africa_Southern","Area harvested",1999487,1994662,2044276,2012808.33333333
"Africa_Central","Africa_Southern","Gross Production Value (current million US$)",484.88,460.68,547.23,497.596666666667
"Africa_Central","Africa_Southern","Production",2064121,2214182,2308643,2195648.66666667
"Africa_Central","Africa_West","Area harvested",2283337,2495870,2560535,2446580.66666667
"Africa_Central","Africa_West","Gross Production Value (current million US$)",963.82,1210.44,1292.53,1155.59666666667
"Africa_Central","Africa_West","Production",5445470,6335258,6686195,6155641
"Africa_Central","America_Caribbean","Area harvested",169664,191906,207181,189583.666666667
"Africa_Central","America_Caribbean","Gross Production Value (current million US$)",63.37,80.46,87.23,77.02
"Africa_Central","America_Caribbean","Production",296405,391585,401537,363175.666666667
"Africa_Central","America_Central_and_Mexico","Area harvested",6300764,6445696,6943441,6563300.33333333
"Africa_Central","America_Central_and_Mexico","Gross Production Value (current million US$)",2949.53,9458.81,3740.76,5383.03333333333
"Africa_Central","America_Central_and_Mexico","Production",26342596,28812558,30044604.48,28399919.4933333
"Africa_Central","America_North","Area harvested",230635,139800,139980,170138.333333333
"Africa_Central","America_North","Gross Production Value (current million US$)",0,0,0,0
"Africa_Central","America_North","Production",197251,177700,183469,186140
"Africa_Central","America_South_andean","Area harvested",1215961,1294217,1337808,1282662
"Africa_Central","America_South_andean","Gross Production Value (current million US$)",472.4,1325.99,662.88,820.423333333333
"Africa_Central","America_South_andean","Production",2271215,2466102,2598012,2445109.66666667
"Africa_Central","America_South_temperate","Area harvested",0,0,0,0
"Africa_Central","America_South_temperate","Gross Production Value (current million US$)",0,0,0,0
"Africa_Central","America_South_temperate","Production",0,0,0,0
"Africa_Central","America_South_tropical","Area harvested",3875321,3973939,4404096,4084452
"Africa_Central","America_South_tropical","Gross Production Value (current million US$)",2612.18,8844.68,3505.97,4987.61
"Africa_Central","America_South_tropical","Production",25261092,27656052,28862192.98,27259778.9933333
"Africa_Central","Asia_Central","Area harvested",33778,22312,31341,29143.6666666667
"Africa_Central","Asia_Central","Gross Production Value (current million US$)",64.27,67.07,106.84,79.3933333333333
"Africa_Central","Asia_Central","Production",81777,99640,219495,133637.333333333
"Africa_Central","Asia_East","Area harvested",772116,868560,934839,858505
"Africa_Central","Asia_East","Gross Production Value (current million US$)",42.88,72.53,72.8,62.7366666666667
"Africa_Central","Asia_East","Production",770171,835424,890578,832057.666666667
"Africa_Central","Asia_South","Area harvested",2003691,2130199,2248113,2127334.33333333
"Africa_Central","Asia_South","Gross Production Value (current million US$)",1796.1,2715.01,2609.63,2373.58
"Africa_Central","Asia_South","Production",13204595,14018112,15150899.11,14124535.37
"Africa_Central","Asia_Southeast","Area harvested",1851613,2026940,2107074,1995209
"Africa_Central","Asia_Southeast","Gross Production Value (current million US$)",1796.22,2715.17,2609.87,2373.75333333333
"Africa_Central","Asia_Southeast","Production",13106027,13931932,15030351.11,14022770.0366667
"Africa_Central","Asia_West","Area harvested",355288,297355,360541,337728
"Africa_Central","Asia_West","Gross Production Value (current million US$)",64.27,67.07,106.84,79.3933333333333
"Africa_Central","Asia_West","Production",295074,300678,433195,342982.333333333
"Africa_Central","Europe_Eastern_north","Area harvested",138,140,140,139.333333333333
"Africa_Central","Europe_Eastern_north","Gross Production Value (current million US$)",1.64,1.68,2.14,1.82
"Africa_Central","Europe_Eastern_north","Production",1080,1115,1194,1129.66666666667
"Africa_Central","Europe_Eastern_south","Area harvested",13376,11825,12592,12597.6666666667
"Africa_Central","Europe_Eastern_south","Gross Production Value (current million US$)",7.09,7.73,9.85,8.22333333333333
"Africa_Central","Europe_Eastern_south","Production",69040,66550,68758,68116
"Africa_Central","Europe_Western_north","Area harvested",138,140,140,139.333333333333
"Africa_Central","Europe_Western_north","Gross Production Value (current million US$)",1.64,1.68,2.14,1.82
"Africa_Central","Europe_Western_north","Production",1080,1115,1194,1129.66666666667
