"Country","Region_crops","Element","Y2009","Y2010","Y2011","Region"
"Afghanistan","Africa_Central","Area harvested",2e+05,208000,210000,"Asia_West"
"Afghanistan","Africa_Central","Production",645000,672000,672000,"Asia_West"
"Afghanistan","America_South_tropical","Area harvested",33000,33000,33000,"Asia_West"
"Afghanistan","Europe_Western_south","Area harvested",25970,32632,36509,"Asia_West"
"Afghanistan","Europe_Western_south","Production",119382,102408,106656,"Asia_West"
"Afghanistan","Pacific_Region_tropical","Production",424800,350000,250000,"Asia_West"
"Afghanistan","Asia_West","Area harvested",3020688,2751614,2603360,"Asia_West"
"Afghanistan","Asia_West","Production",6541702,5908485,4639412,"Asia_West"
"Afghanistan","America_Central_and_Mexico","Production",370738.8,355450,354570,"Asia_West"
"Afghanistan","Asia_East","Area harvested",339968,349857,343635,"Asia_West"
"Afghanistan","Africa_East","Area harvested",127400,122660,111917,"Asia_West"
"Afghanistan","Africa_East","Production",555538.8,458750,358050,"Asia_West"
"Afghanistan","Asia_Central","Area harvested",2877835,2601972,2462768,"Asia_West"
"Afghanistan","Mediterranean_SouthandEast","Area harvested",2920252,2651214,2511204,"Asia_West"
"Afghanistan","Mediterranean_SouthandEast","Production",6008417,5442358,4264729,"Asia_West"
"Afghanistan","Africa_West","Area harvested",245400,248460,239717,"Asia_West"
"Afghanistan","Europe_Eastern_north","Area harvested",11430,11508,13978,"Asia_West"
"Afghanistan","Europe_Eastern_north","Production",90465,76250,79777,"Asia_West"
"Afghanistan","America_North","Production",414300,433199,528577,"Asia_West"
"Afghanistan","Asia_South","Production",1265546,1181958,1083586,"Asia_West"
"Afghanistan","Africa_Southern","Area harvested",103500,98602,85309,"Asia_West"
"Afghanistan","Africa_Southern","Production",764538.8,670870,522778,"Asia_West"
"Afghanistan","Europe_Western_north","Production",90465,76250,79777,"Asia_West"
"Afghanistan","Asia_East","Production",1700090,1649237,1645775,"Asia_West"
"Afghanistan","America_South_andean","Area harvested",21600,20500,20500,"Asia_West"
"Afghanistan","Europe_Eastern_south","Area harvested",30153,36808,40795,"Asia_West"
"Afghanistan","Europe_Eastern_south","Production",155440,135077,143740,"Asia_West"
"Afghanistan","Asia_Southeast","Area harvested",262821,272280,265099,"Asia_West"
"Afghanistan","Asia_Southeast","Production",1257973,1169027,1072921,"Asia_West"
"Afghanistan","Africa_West","Production",1088800,1037000,937000,"Asia_West"
"Afghanistan","Pacific_Region_tropical","Area harvested",35400,35460,24717,"Asia_West"
"Afghanistan","Asia_South","Area harvested",299786,302864,294172,"Asia_West"
"Afghanistan","America_South_temperate","Production",0,0,0,"Asia_West"
"Afghanistan","Europe_Western_north","Area harvested",11430,11508,13978,"Asia_West"
"Afghanistan","Not_Specified","Production",932934,887523,678859,"Asia_West"
"Afghanistan","Asia_Central","Production",5750894,5175168,3899221,"Asia_West"
"Afghanistan","America_Caribbean","Area harvested",33000,33000,33000,"Asia_West"
"Afghanistan","America_Caribbean","Production",70738.8,54450,54450,"Asia_West"
"Afghanistan","America_South_temperate","Area harvested",0,0,0,"Asia_West"
"Afghanistan","America_South_tropical","Production",70738.8,54450,54450,"Asia_West"
"Afghanistan","America_South_andean","Production",302400,246000,205000,"Asia_West"
"Afghanistan","America_Central_and_Mexico","Area harvested",173000,216000,216000,"Asia_West"
"Afghanistan","America_North","Area harvested",62532,62836,63306,"Asia_West"
"Afghanistan","Not_Specified","Area harvested",144617,160450,154348,"Asia_West"
"Albania","Pacific_Region_tropical","Gross Production Value (current million US$)",9.65,24.28,11.6,"Europe_Eastern_south"
"Albania","Europe_Western_north","Gross Production Value (current million US$)",39.9,36.68,43.21,"Europe_Eastern_south"
"Albania","Mediterranean_SouthandEast","Area harvested",212101,207436,203534,"Europe_Eastern_south"
"Albania","Africa_Central","Area harvested",0,0,0,"Europe_Eastern_south"
"Albania","Africa_West","Production",32696,64622,34400,"Europe_Eastern_south"
"Albania","Europe_Western_south","Gross Production Value (current million US$)",171.41,150.53,175.65,"Europe_Eastern_south"
"Albania","Europe_Western_north","Area harvested",77609,77958,76490,"Europe_Eastern_south"
"Albania","America_Central_and_Mexico","Gross Production Value (current million US$)",145.11,181.18,222.98,"Europe_Eastern_south"
"Albania","America_Central_and_Mexico","Production",434730,551946,554365,"Europe_Eastern_south"
"Albania","Europe_Eastern_south","Area harvested",121750,125896,124748,"Europe_Eastern_south"
"Albania","Africa_East","Production",114867,139131,104165,"Europe_Eastern_south"
"Albania","Asia_Central","Gross Production Value (current million US$)",476.6,480.77,483.52,"Europe_Eastern_south"
"Albania","Europe_Eastern_north","Gross Production Value (current million US$)",39.9,36.68,43.21,"Europe_Eastern_south"
"Albania","Europe_Eastern_north","Area harvested",77609,77958,76490,"Europe_Eastern_south"
"Albania","America_South_tropical","Gross Production Value (current million US$)",20.11,31.35,36.57,"Europe_Eastern_south"
"Albania","America_North","Gross Production Value (current million US$)",90.77,115.25,120.11,"Europe_Eastern_south"
"Albania","Europe_Western_south","Area harvested",124181,126346,125648,"Europe_Eastern_south"
"Albania","Asia_West","Gross Production Value (current million US$)",673.4,692.4,682.71,"Europe_Eastern_south"
"Albania","America_Central_and_Mexico","Area harvested",70233,76992,84540,"Europe_Eastern_south"
"Albania","Africa_Southern","Gross Production Value (current million US$)",32.03,52.53,36.34,"Europe_Eastern_south"
"Albania","Africa_Southern","Production",236207,275150,276365,"Europe_Eastern_south"
"Albania","Africa_East","Area harvested",43001,46155,44540,"Europe_Eastern_south"
"Albania","America_South_andean","Area harvested",28755,29658,30800,"Europe_Eastern_south"
"Albania","America_South_andean","Gross Production Value (current million US$)",193.92,200.91,181.81,"Europe_Eastern_south"
"Albania","America_South_andean","Production",392278,440590,463600,"Europe_Eastern_south"
"Albania","Europe_Eastern_south","Gross Production Value (current million US$)",191.87,166.66,193.55,"Europe_Eastern_south"
"Albania","Africa_Central","Production",0,0,0,"Europe_Eastern_south"
"Albania","America_North","Area harvested",10105,10418,10937,"Europe_Eastern_south"
"Albania","Pacific_Region_tropical","Area harvested",1980,2368,1500,"Europe_Eastern_south"
"Albania","Asia_South","Gross Production Value (current million US$)",62.78,78.84,74.76,"Europe_Eastern_south"
"Albania","Asia_West","Area harvested",376504,372861,370027,"Europe_Eastern_south"
"Albania","Africa_Southern","Area harvested",9366,9084,9040,"Europe_Eastern_south"
"Albania","America_South_temperate","Area harvested",0,0,0,"Europe_Eastern_south"
"Albania","America_South_temperate","Gross Production Value (current million US$)",0,0,0,"Europe_Eastern_south"
"Albania","America_South_temperate","Production",0,0,0,"Europe_Eastern_south"
"Albania","Europe_Western_north","Production",922377,932449,944600,"Europe_Eastern_south"
"Albania","America_Caribbean","Area harvested",3673,3807,3740,"Europe_Eastern_south"
"Albania","America_Caribbean","Gross Production Value (current million US$)",18.33,28.07,32.47,"Europe_Eastern_south"
"Albania","America_Caribbean","Production",53356,66913,65065,"Europe_Eastern_south"
"Albania","Africa_Central","Gross Production Value (current million US$)",0,0,0,"Europe_Eastern_south"
"Albania","America_South_tropical","Area harvested",4046,4295,4140,"Europe_Eastern_south"
"Albania","Mediterranean_SouthandEast","Production",1521568,1512732,1539786,"Europe_Eastern_south"
"Albania","America_South_tropical","Production",59838,76639,74465,"Europe_Eastern_south"
"Albania","Asia_West","Production",5723110,6042080,5818909,"Europe_Eastern_south"
