"","N
America","C
America","Caribbean","Andes","Trop. S
America","Temp. S
America","W
Africa","C
Africa","E
Africa","S
Africa","IOI","NW
Europe","SW
Europe","NE
Europe","SE
Europe","SE
Mediterranean","W
Asia","C
Asia","S
Asia","E
Asia","SE
Asia","Pacific","ANZ"
"N
America",1315157,72347.6666666667,73935.7166666667,478365.936666667,630440.903333333,2173631.7,14692.3333333333,170138.333333333,416663.333333333,1377355.33333333,3990.33333333333,1769374.66666667,4438910.66666667,13153377.6666667,2563030,1608913,2071996.7,1093626.33333333,1670676,1961424,854471.22,275,255674.333333333
"C
America",41764446,11932681.6633333,1725038.56,4277032.09,26593335.5566667,4766973.86666667,29636093.8533333,6563300.33333333,10353423.6166667,21917174,1053762,6619920.71333333,5193565.40333333,12509446.3333333,4468393.33333333,3363636.33333333,7127739.43333333,3013066.16666667,35043643,45619417.6666667,31609192.5866667,51651,527003.333333333
"Caribbean",3767856,317937.266666667,45689.43,237547.206666667,1303920.97333333,462122.233333333,1924974.85333333,189583.666666667,796605.333333333,1127324,80097,2357,95378,103919.666666667,893847.333333333,1049434.66666667,3902609.7,2301759,12156783.6666667,5768271.33333333,905211.09,593.333333333333,322698.666666667
"Andes",1572352.33333333,2187395.51,352260.386666667,1200590.54,5207974.37333333,477833.833333333,1197393.33333333,1282662,3085116.98666667,3392192.66666667,124939,1048139.70333333,629815.666666667,5421999.66666667,1091430.33333333,1529747.66666667,1763688.46666667,727778.166666667,12856459.6666667,8414986.66666667,4042591.66666667,568.333333333333,729803
"Trop. S
America",4322991,1200942.01666667,992873.75,1804020.77333333,7575270.50666667,968736.6,32556770.5366667,4084452,4445922.93,8129080.66666667,783835.333333333,10300.6666666667,129322,199636.666666667,958409.333333333,1367256.33333333,4372922.5,2309249.33333333,22404394,15195201,20901272.2633333,61120,362965.333333333
"Temp. S
America",26407,7200.33333333333,0,101192.24,190228.24,179163.666666667,0,0,35.3333333333333,613.666666666667,0,34137,17932.3333333333,94487.3333333333,23565,21895,15283.2333333333,2166.66666666667,0,13674.3333333333,106.666666666667,0,1855.33333333333
"W
Africa",3466841,4447288.83,1044685.27,3375263.01,10108865.1433333,1809084.2,55183627.7366667,2446580.66666667,14090554.06,5575033.66666667,1683124.66666667,115134.333333333,642996.666666667,845370.666666667,274990.666666667,1016447.33333333,5402324.43333333,271505.766666667,76393875.6666667,35248848.3333333,62194533.4633333,26316,715461.666666667
"C
Africa",3300014.66666667,4376566.49666667,908442.66,3328674.14666667,9991886.81333333,1795520,33481743.3333333,1856549,10955687.76,4301069.33333333,1683124.66666667,84660.6666666667,555869.666666667,325467.333333333,158386,817529.666666667,4488932.06666667,207256.766666667,64872825,33823469.6666667,61980239.13,17689,673063.333333333
"E
Africa",7559930.66666667,4119589.79333333,477233.546666667,1851837.67333333,6565471.27333333,1982666.73333333,42432263.6966667,2238957.33333333,16502590.4266667,6181801,180247.333333333,542122.203333333,4757997.33333333,1983265.33333333,2628730,6179539.66666667,7602770.43333333,2474792.1,34857663.3333333,9789297,4950532.65666667,428.333333333333,1348826.33333333
"S
Africa",6033784.33333333,2432382.51666667,277602.67,416367.706666667,2599785.40666667,1880574.3,40613668.5066667,2012808.33333333,13212398.76,5066959,26086,101703.333333333,348896.333333333,941693,1107656.33333333,1662248.33333333,6126007.83333333,2522371.43333333,30874995.3333333,9201167.33333333,1170276.75666667,768.333333333333,1020172.66666667
