"Region_crops","Region","Element","Average"
"Africa_East","Africa_Indian_Ocean_Islands","Area harvested",180247.333333333
"Africa_East","Africa_Indian_Ocean_Islands","Production",122100
"Africa_East","Africa_Indian_Ocean_Islands","Gross Production Value (current million US$)",23.6266666666667
"Africa_East","Africa_Southern","Area harvested",6181801
"Africa_East","Africa_Southern","Production",4430677
"Africa_East","Africa_Southern","Gross Production Value (current million US$)",962.173333333333
"Africa_East","Africa_West","Area harvested",42432263.6966667
"Africa_East","Africa_West","Production",32801534.9733333
"Africa_East","Africa_West","Gross Production Value (current million US$)",16876.34
"Africa_East","America_Caribbean","Area harvested",477233.546666667
"Africa_East","America_Caribbean","Production",319246.26
"Africa_East","America_Caribbean","Gross Production Value (current million US$)",94.2566666666667
"Africa_East","America_Central_and_Mexico","Area harvested",4119589.79333333
"Africa_East","America_Central_and_Mexico","Production",14885114.3
"Africa_East","America_Central_and_Mexico","Gross Production Value (current million US$)",3753.83
"Africa_East","America_North","Area harvested",7559930.66666667
"Africa_East","America_North","Production",28751447.3333333
"Africa_East","America_North","Gross Production Value (current million US$)",3897.16333333333
"Africa_East","America_South_andean","Area harvested",1851837.67333333
"Africa_East","America_South_andean","Production",2366539.22
"Africa_East","America_South_andean","Gross Production Value (current million US$)",2737.71
"Africa_East","America_South_temperate","Area harvested",1982666.73333333
"Africa_East","America_South_temperate","Production",16362360.8666667
"Africa_East","America_South_temperate","Gross Production Value (current million US$)",898.433333333333
"Africa_East","America_South_tropical","Area harvested",6565471.27333333
"Africa_East","America_South_tropical","Production",14146344.6866667
"Africa_East","America_South_tropical","Gross Production Value (current million US$)",14048.8066666667
"Africa_East","Asia_Central","Area harvested",2474792.1
"Africa_East","Asia_Central","Production",8198233.23333333
"Africa_East","Asia_Central","Gross Production Value (current million US$)",436.95
"Africa_East","Asia_East","Area harvested",9789297
"Africa_East","Asia_East","Production",64177228.6666667
"Africa_East","Asia_East","Gross Production Value (current million US$)",51405.6833333333
"Africa_East","Asia_South","Area harvested",34857663.3333333
"Africa_East","Asia_South","Production",53866169.2966667
"Africa_East","Asia_South","Gross Production Value (current million US$)",19968.1633333333
"Africa_East","Asia_Southeast","Area harvested",4950532.65666667
"Africa_East","Asia_Southeast","Production",4589319.19666667
"Africa_East","Asia_Southeast","Gross Production Value (current million US$)",3084.38
"Africa_East","Asia_West","Area harvested",7602770.43333333
"Africa_East","Asia_West","Production",26061594.7433333
"Africa_East","Asia_West","Gross Production Value (current million US$)",10917.77
"Africa_East","Europe_Eastern_north","Area harvested",1983265.33333333
"Africa_East","Europe_Eastern_north","Production",3606151
"Africa_East","Europe_Eastern_north","Gross Production Value (current million US$)",764.603333333333
"Africa_East","Europe_Eastern_south","Area harvested",2628730
"Africa_East","Europe_Eastern_south","Production",10394227.2
"Africa_East","Europe_Eastern_south","Gross Production Value (current million US$)",13781.7233333333
"Africa_East","Europe_Western_north","Area harvested",542122.203333333
"Africa_East","Europe_Western_north","Production",3479664.26666667
"Africa_East","Europe_Western_north","Gross Production Value (current million US$)",2020.74
"Africa_East","Europe_Western_south","Area harvested",4757997.33333333
"Africa_East","Europe_Western_south","Production",16660715.6
"Africa_East","Europe_Western_south","Gross Production Value (current million US$)",17660.8566666667
