"","N
America","C
America","Caribbean","Andes","Trop. S
America","Temp. S
America","W
Africa","C
Africa","E
Africa","S
Africa","IOI","NW
Europe","SW
Europe","NE
Europe","SE
Europe","SE
Mediterranean","W
Asia","C
Asia","S
Asia","E
Asia","SE
Asia","Pacific","ANZ"
"N
America",9109.17,1146.74666666667,52.1433333333333,1234.05333333333,2918.27666666667,3694.79666666667,26.5466666666667,0,152.313333333333,2975.69,14.42,17615.52,26254.6666666667,11078.07,8958.97333333333,7858.91333333333,7588.01,808.333333333333,1183.66666666667,36270.1133333333,457.893333333333,0,1766.46333333333
"C
America",72577.2366666667,11578.6933333333,818.746666666667,6755.56666666667,30473.69,4668.87666666667,55980.2066666667,5383.03333333333,9033.31,14404.6766666667,1019.96,10139.4833333333,9692.85666666667,8974.79,12009.7833333333,12829.87,13505.4266666667,832.883333333333,31689.73,152001.636666667,79553.3866666667,36.8433333333333,3535.72333333333
"Caribbean",1851.67666666667,1193.93,115.396666666667,171.41,3191.97333333333,484.083333333333,3057.37666666667,77.02,414.07,69.55,10.3566666666667,523.14,1245.38333333333,322.21,5424.14,6089.17333333333,6932.38666666667,371.303333333333,14695.2333333333,48695.3066666667,4441.81,0.93,2829.61
"Andes",19322.6066666667,3610.62333333333,289.083333333333,4147.36333333333,12651.7166666667,1605.08333333333,3327.36666666667,820.423333333333,3996.32666666667,1817.35666666667,160.13,10816.44,14573.68,24066.1966666667,11933.8566666667,15254.7733333333,14092.3633333333,3580.80333333333,10089.9233333333,71100.2233333333,3053.39666666667,6.30333333333333,1278.09333333333
"Trop. S
America",3952.45333333333,4642.94333333333,904.87,3764.69,15134.35,1224.67333333333,82745.7666666667,4987.61,7531.24,7929.13333333333,890.84,668.903333333333,2122.43666666667,507.38,6005.38,7699.4,8768.31,371.303333333333,29698.26,98848.48,72095.4333333333,42.0166666666667,3216.17
"Temp. S
America",2326.36666666667,171.47,0,254.296666666667,565.226666666667,237.303333333333,0,0,0.496666666666667,10.8466666666667,0,1694.45333333333,1282.02666666667,718.186666666667,435.28,725.496666666667,457.493333333333,6.56666666666667,0,2649.06333333333,0,0,208.066666666667
"W
Africa",4915.55,4487.9,1246.95333333333,6159.24,19646.4166666667,1230.42,72038.1833333333,1155.59666666667,4545.94,1019.07666666667,1392.42666666667,115.286666666667,2079.61333333333,615.31,1512.95,3836.36666666667,8193.85,324.863333333333,71939.45,108828.906666667,114484.476666667,5.43333333333333,573.29
"C
Africa",4465.37333333333,4265.71333333333,1043.62666666667,5979.83,18997.8666666667,1170.12666666667,34545.67,958.866666666667,3743.78,777.903333333333,1392.42666666667,115.286666666667,1450.60333333333,475.4,707.92,2476.06333333333,6605.93,283.353333333333,69576.11,101576.733333333,114418.633333333,3.55333333333333,480.27
"E
Africa",3897.16333333333,3753.83,94.2566666666667,2737.71,14048.8066666667,898.433333333333,16876.34,565.633333333333,5093.11,962.173333333333,23.6266666666667,2020.74,17660.8566666667,764.603333333333,13781.7233333333,10228.9533333333,10917.77,436.95,19968.1633333333,51405.6833333333,3084.38,0.0633333333333333,3441.60666666667
"S
Africa",3963.31666666667,2504.49333333333,75.6233333333333,412.316666666667,4184.17666666667,1067.49,16555.6966666667,497.596666666667,3798.87,941.086666666667,13.6233333333333,209.066666666667,2035.69333333333,679.943333333333,6500.66,8459.72333333333,10144.7733333333,811.51,16720.97,79252.1,896.27,0.456666666666667,3408.92
